Recipe Name,Recipe Qty,Recipe Unit,Item Name,Item Qty,Item Unit,Item Tab Type,Virtual Item Name
Islander Classic Cup (Green),1,PCS.,,,
,,,Comfy Cup - Celeste - Light Green,1,PCS,Base Recipe
Islander Mug (Pink),1,PCS.,,,
,,,Coffee Mug - Classic - Innocent - Light Pink,1,PCS,Base Recipe
Islander Classic Cup (Pink),1,PCS.,,,
,,,Comfy Cup - Innocent - Light Pink,1,PCS,Base Recipe
Dreamy Hazelnut Iced Chocolate-Lrg,1,PCS.,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
,,,Syrup- Roasted Hazelnut,26,GM,Base Recipe
,,,Disposable - Cup Holder,1,PCS,Takeout Add Ons
,,,Disposable - Lid (Cold) 12Oz - Dome,1,PCS,Takeout Add Ons
,,,Disposable - Paper Cup 16Oz,1,PCS,Takeout Add Ons
,,,Disposable - Cutlery Sleeve,1,PCS,Takeout Add Ons
,,,Disposable - Cup Holder,1,PCS,Delivery Add Ons
,,,Disposable - Lid (Cold) 12Oz - Dome,1,PCS,Delivery Add Ons
,,,Disposable - Paper Cup 16Oz,1,PCS,Delivery Add Ons
,,,Disposable - Sealing Foil,1,PCS,Delivery Add Ons
,,,Disposable - Cutlery Sleeve,1,PCS,Delivery Add Ons
Islander Mug (Coffee),1,PCS.,,,
,,,Coffee Mug - Classic - Coffee,1,PCS,Base Recipe
Islander Mug (Green),1,PCS.,,,
,,,Coffee Mug - Classic - Celeste - Light Green,1,PCS,Base Recipe
Dreamy Salted Caramel Hot Chocolate-Reg,1,PCS.,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Disposable - Cup Holder,1,PCS,Takeout Add Ons
,,,Disposable - Lid (Hot) 08Oz,1,PCS,Takeout Add Ons
,,,Disposable - Paper Cup 08Oz,1,PCS,Takeout Add Ons
,,,Disposable - Stirrer,1,PCS,Takeout Add Ons
,,,Disposable - Cutlery Sleeve,1,PCS,Takeout Add Ons
,,,Disposable - Cup Holder,1,PCS,Delivery Add Ons
,,,Disposable - Lid (Hot) 08Oz,1,PCS,Delivery Add Ons
,,,Disposable - Paper Cup 08Oz,1,PCS,Delivery Add Ons
,,,Disposable - Sealing Foil,1,PCS,Delivery Add Ons
,,,Disposable - Stirrer,1,PCS,Delivery Add Ons
,,,Disposable - Cutlery Sleeve,1,PCS,Delivery Add Ons
Islander Classic Cup (Brown),1,PCS.,,,
,,,Comfy Cup - Coffee,1,PCS,Base Recipe
Slushed Peach Paradise Granita,1,PCS.,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
,,,Juice Topping - Mint,2,GM,Base Recipe
,,,Peach Garden Syrup 750ML,40,GM,Base Recipe
,,,Disposable - Cup Holder,1,PCS,Takeout Add Ons
