  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Restaurant Packaging Charges,Packaging Charge,Delivery Charge,Restaurant Charge,Platform Fee Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,ECom_GST@5%,Packaging charge@20Rs,GST @12%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-05-12,"DINE IN",6.00,2,1295.24,388.57,0,0,0,0,0,0,0.00,906.67,45.33,0,0,0,0,45.33,952.00,-0.00,952.00,2.00,
"-","-","North","Coffee Island Beyond GK II",2025-05-20,"DINE IN",2.00,1,295.24,0.00,0,0,0,0,0,0,0.00,295.24,14.76,0,0,0,0,14.76,310.00,0.00,310.00,1.00,
"-","-","North","Coffee Island HQ-27",2025-05-01,"DELIVERY",47.00,15,7752.00,796.99,120.00,0,0,0,0,0,120.00,6955.01,0,353.75,40.00,0,0,393.75,7468.76,1.24,7470.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-01,"TAKEAWAY",18.00,7,2824.93,0.00,0,0,0,0,0,0,0.00,2824.93,121.18,0,0,16.61,47.29,185.08,3010.01,0.99,3011.00,10.00,
"-","-","North","Coffee Island HQ-27",2025-05-01,"DINE IN",222.00,58,35203.90,9449.10,0,0,0,0,0,0,0.00,25754.80,1178.44,0,0,164.41,85.87,1428.73,27183.53,1.47,27185.00,72.00,
"-","-","North","Coffee Island HQ-27",2025-05-02,"TAKEAWAY",20.00,7,2226.20,0.00,0,0,0,0,0,0,0.00,2226.20,96.30,0,0,0,54.00,150.30,2376.50,0.50,2377.00,11.00,
"-","-","North","Coffee Island HQ-27",2025-05-02,"DINE IN",121.00,29,20490.64,414.21,0,0,0,0,0,0,0.00,20076.43,949.39,0,0,50.78,119.67,1119.84,21196.27,1.73,21198.00,45.00,
"-","-","North","Coffee Island HQ-27",2025-05-02,"DELIVERY",19.00,5,3047.54,167.50,80.00,0,0,0,0,0,80.00,2880.04,0,148.03,0,0,0,148.03,3108.07,0.93,3109.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-02,"ONLINE",3.00,1,703.35,697.00,0,0,0,0,0,0,0.00,6.35,0.31,0,0,0,0,0.31,6.66,0.34,7.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-03,"DINE IN",105.00,34,14316.40,222.39,0,0,0,0,0,0,0.00,14094.01,690.15,0,0,34.82,0,724.97,14818.98,1.02,14820.00,49.00,
"-","-","North","Coffee Island HQ-27",2025-05-03,"DELIVERY",12.00,4,1430.00,166.00,40.00,0,0,0,0,0,40.00,1264.00,0,65.20,0,0,0,65.20,1369.20,0.80,1370.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-03,"TAKEAWAY",23.00,4,3508.47,0.00,0,0,0,0,0,0,0.00,3508.47,165.00,0,0,0,37.52,202.52,3710.99,0.01,3711.00,6.00,
"-","-","North","Coffee Island HQ-27",2025-05-04,"DINE IN",57.00,15,8401.32,0.00,0,0,0,0,0,0,0.00,8401.32,414.34,0,0,0,20.59,434.93,8836.25,2.75,8839.00,21.00,
"-","-","North","Coffee Island HQ-27",2025-05-04,"DELIVERY",18.00,7,2896.95,282.00,60.00,0,0,0,0,0,60.00,2614.95,0,133.75,0,0,0,133.75,2808.70,1.30,2810.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-05,"TAKEAWAY",31.00,7,5729.53,3847.96,0,0,0,0,0,0,0.00,1881.57,86.65,0,0,0,26.77,113.42,1994.99,0.01,1995.00,14.00,
"-","-","North","Coffee Island HQ-27",2025-05-05,"DELIVERY",18.00,8,2985.00,648.50,100.00,0,0,0,0,0,100.00,2336.50,0,121.83,0,0,0,121.83,2558.33,-0.33,2558.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-05,"DINE IN",94.00,30,12375.47,419.05,0,0,0,0,0,0,0.00,11956.42,579.65,0,0,0,65.43,645.08,12601.50,0.50,12602.00,38.00,
"-","-","North","Coffee Island HQ-27",2025-05-05,"ONLINE",0.00,1,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-06,"DINE IN",161.00,50,24869.97,316.19,0,0,0,0,0,0,0.00,24553.78,1185.27,0,0,45.53,84.19,1314.99,25868.77,2.23,25871.00,68.00,
"-","-","North","Coffee Island HQ-27",2025-05-06,"TAKEAWAY",93.00,24,13357.97,213.18,0,0,0,0,0,0,0.00,13144.79,591.67,0,0,49.18,162.30,803.15,13947.94,0.06,13948.00,34.00,
"-","-","North","Coffee Island HQ-27",2025-05-06,"DELIVERY",23.00,9,3930.00,397.98,80.00,0,0,0,0,0,80.00,3532.02,0,180.61,0,0,0,180.61,3792.63,0.37,3793.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-07,"DINE IN",88.00,38,12386.31,85.72,0,0,0,0,0,0,0.00,12300.59,570.68,0,0,45.53,91.22,707.43,13008.02,0.98,13009.00,52.00,
"-","-","North","Coffee Island HQ-27",2025-05-07,"DELIVERY",3.00,1,585.00,40.00,20.00,0,0,0,0,0,20.00,545.00,0,28.25,0,0,0,28.25,593.25,-0.25,593.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-07,"TAKEAWAY",51.00,17,8454.56,70.48,0,0,0,0,0,0,0.00,8384.08,397.91,0,0,35.36,23.64,456.91,8840.99,0.01,8841.00,21.00,
"-","-","North","Coffee Island HQ-27",2025-05-08,"DELIVERY",33.00,10,5445.00,1351.00,100.00,0,0,0,0,0,100.00,4094.00,0,209.71,0,0,0,209.71,4403.71,1.29,4405.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-08,"DINE IN",93.00,32,12737.58,335.22,0,0,0,0,0,0,0.00,12402.36,606.02,0,0,16.39,25.93,648.34,13050.70,1.30,13052.00,38.00,
"-","-","North","Coffee Island HQ-27",2025-05-08,"TAKEAWAY",91.00,29,13250.04,763.15,0,0,0,0,0,0,0.00,12486.89,583.13,0,0,18.21,120.97,722.31,13209.20,0.80,13210.00,45.00,
"-","-","North","Coffee Island HQ-27",2025-05-09,"DELIVERY",10.00,4,1700.00,217.00,40.00,0,0,0,0,0,40.00,1483.00,0,76.15,0,0,0,76.15,1599.15,-0.15,1599.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-09,"DINE IN",93.00,33,12457.83,102.85,0,0,0,0,0,0,0.00,12354.98,604.19,0,0,18.75,20.59,643.53,12998.51,1.49,13000.00,73.00,
"-","-","North","Coffee Island HQ-27",2025-05-09,"TAKEAWAY",73.00,23,10030.71,184.22,0,0,0,0,0,0,0.00,9846.49,426.85,0,0,16.61,210.72,654.18,10500.67,1.33,10502.00,37.00,
"-","-","North","Coffee Island HQ-27",2025-05-10,"DINE IN",50.00,20,5288.70,152.38,0,0,0,0,0,0,0.00,5136.32,241.18,0,0,37.50,0,278.68,5415.00,1.00,5416.00,25.00,
"-","-","North","Coffee Island HQ-27",2025-05-10,"DELIVERY",16.00,4,3241.00,644.99,40.00,0,0,0,0,0,40.00,2596.01,0,131.79,0,0,0,131.79,2767.80,0.20,2768.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-10,"TAKEAWAY",56.00,25,8805.14,209.53,0,0,0,0,0,0,0.00,8595.61,413.94,0,0,18.21,29.74,461.89,9057.50,-0.50,9057.00,30.00,
"-","-","North","Coffee Island HQ-27",2025-05-11,"DELIVERY",39.00,15,6565.00,1848.00,220.00,0,0,0,0,0,220.00,4717.00,0,246.86,0,0,0,246.86,5183.86,-0.86,5183.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-11,"TAKEAWAY",37.00,12,5569.28,97.75,0,0,0,0,0,0,0.00,5471.53,215.75,0,0,0,208.22,423.97,5895.50,1.50,5897.00,18.00,
"-","-","North","Coffee Island HQ-27",2025-05-11,"DINE IN",50.00,12,8451.85,4938.40,0,0,0,0,0,0,0.00,3513.45,170.52,0,0,0.00,18.53,189.05,3702.50,0.50,3703.00,18.00,
"-","-","North","Coffee Island HQ-27",2025-05-12,"DELIVERY",20.00,7,3663.47,835.99,80.00,0,0,0,0,0,80.00,2827.48,0,145.37,0,0,0,145.37,3052.85,0.15,3053.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-12,"TAKEAWAY",24.00,9,3311.62,105.24,0,0,0,0,0,0,0.00,3206.38,154.74,0,0,13.39,0,168.13,3374.51,0.49,3375.00,32.00,
"-","-","North","Coffee Island HQ-27",2025-05-12,"DINE IN",98.00,40,12557.16,164.04,0,0,0,0,0,0,0.00,12393.12,619.64,0,0,0,0,619.64,13012.76,2.24,13015.00,66.00,
"-","-","North","Coffee Island HQ-27",2025-05-13,"DINE IN",126.00,46,15944.42,937.54,0,0,0,0,0,0,0.00,15006.88,704.88,0,0,109.00,0,813.88,15820.76,1.24,15822.00,148.00,
"-","-","North","Coffee Island HQ-27",2025-05-13,"TAKEAWAY",38.00,10,3954.71,166.67,0,0,0,0,0,0,0.00,3788.04,176.55,0,0,18.75,18.15,213.45,4001.49,0.51,4002.00,15.00,
"-","-","North","Coffee Island HQ-27",2025-05-13,"DELIVERY",6.00,2,580.00,75.00,40.00,0,0,0,0,0,40.00,505.00,0,27.25,0,0,0,27.25,572.25,-0.25,572.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-13,"ONLINE",34.00,7,3331.18,684.50,0,35.00,0,0,0,0,35.00,2646.68,134.10,0,0,0,0,134.10,2815.78,-1.78,2814.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-05-14,"TAKEAWAY",48.00,13,7814.31,280.48,0,0,0,0,0,0,0.00,7533.83,366.17,0,0,0,37.80,403.97,7937.80,2.20,7940.00,57.00,
"-","-","North","Coffee Island HQ-27",2025-05-14,"DINE IN",141.00,45,20674.99,643.33,0,0,0,0,0,0,0.00,20031.66,957.85,0,0,48.21,84.90,1090.96,21122.62,3.38,21126.00,155.00,
