  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Packaging Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-06-03,"TAKEAWAY",447.00,7,67103.34,67103.34,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,8.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-03,"DINE IN",71.00,4,9096.44,9096.44,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,4.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-04,"DINE IN",224.00,71,36589.13,768.75,0,0,0,0,0,0,0,0.00,35820.38,1702.36,169.93,99.54,0,1971.85,37792.23,14.77,37807.00,614.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-04,"TAKEAWAY",114.00,45,18410.24,1373.95,0,0,0,0,0,0,0,0.00,17036.29,732.71,428.75,0,0,1161.48,18197.77,10.23,18208.00,146.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-04,"DELIVERY",4.00,4,1014.28,90.00,10.00,0,0,0,0,0,0,10.00,924.28,0,45.00,0,34.22,79.22,1013.50,0.50,1014.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-05,"TAKEAWAY",81.00,34,11280.41,662.00,0,0,0,0,0,0,0,0.00,10618.41,504.52,95.04,0,0,599.58,11217.99,11.01,11229.00,80.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-05,"DINE IN",236.00,62,34303.10,112.00,0,0,0,0,0,0,0,0.00,34191.10,1709.56,0,0,0,1709.59,35900.69,14.31,35915.00,72.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-05,"DELIVERY",2.00,1,257.14,50.00,0,0,0,0,0,0,0,0.00,207.14,0,0,0,10.36,10.36,217.50,0.50,218.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-06,"TAKEAWAY",108.00,38,15910.44,744.00,0,15.00,0,0,0,0,0,15.00,15166.44,702.03,44.24,112.10,0,858.38,16039.82,7.18,16047.00,36.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-06,"DINE IN",231.00,70,34921.28,433.80,0,5.00,0,0,0,0,0,5.00,34487.48,1711.45,0,33.22,0,1744.69,36237.17,11.83,36249.00,76.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-06,"DELIVERY",8.00,4,1466.68,191.43,0,0,0,0,0,0,0,0.00,1275.25,0,0,0,63.76,63.76,1339.01,0.99,1340.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-06,"ONLINE",1.00,1,38.00,0.00,0,20.00,30.00,5.00,0,0,0,55.00,38.00,11.80,0,0,0,11.80,104.80,0.20,105.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-07,"TAKEAWAY",173.00,55,27413.16,453.62,0,20.00,0,0,0,0,0,20.00,26959.54,1246.79,377.24,0,0,1624.06,28603.60,13.40,28617.00,55.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-07,"DINE IN",348.00,91,48288.78,350.00,0,0,0,0,0,0,0,0.00,47938.78,2344.13,101.89,58.82,0,2504.88,50443.66,22.34,50466.00,135.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-08,"DINE IN",327.00,77,47098.10,1285.75,0,0,0,0,0,0,0,0.00,45812.35,2290.62,0,0,0,2290.68,48103.03,18.97,48122.00,83.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-08,"TAKEAWAY",96.00,34,12411.75,192.00,0,10.00,0,0,0,0,0,10.00,12219.75,594.21,38.74,18.75,0,651.71,12881.46,10.54,12892.00,44.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-08,"DELIVERY",2.00,1,457.15,0.00,10.00,0,0,0,0,0,0,10.00,457.15,0,0,0,23.36,23.36,490.51,0.49,491.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-09,"DINE IN",363.00,76,56343.24,13950.41,0,0,0,0,0,0,0,0.00,42392.83,2060.67,131.96,53.56,0,2246.23,44639.06,12.94,44652.00,135.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-09,"TAKEAWAY",50.00,16,7853.60,348.00,0,15.00,0,0,0,0,0,15.00,7505.60,315.34,225.54,0,0,540.89,8061.49,3.51,8065.00,14.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-09,"DELIVERY",22.00,11,4533.32,328.21,20.00,0,0,0,0,0,0,20.00,4205.11,0,0,0,211.22,211.22,4436.33,1.67,4438.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-06-10,"DELIVERY",17.00,8,3459.25,353.34,10.00,0,0,0,0,0,0,10.00,3105.91,0,0,0,155.81,155.81,3271.72,0.28,3272.00,0.00,
