  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Smile Amount Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Total Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-07-01,"DINE IN",171.00,47,23439.75,0.00,0,0,0,0,0,0,0.00,23439.75,1144.89,77.48,13.39,0,1235.79,24675.54,8.46,24684.00,45.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-01,"DELIVERY",20.00,9,3856.14,733.50,10.00,0,0,0,0,0,10.00,3122.64,0,0,0,156.63,156.64,3289.28,0.72,3290.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-01,"TAKEAWAY",23.00,9,3178.47,740.00,0,10.00,0,0,0,0,10.00,2438.47,113.31,37.52,0,0,150.83,2599.30,1.70,2601.00,6.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-02,"DELIVERY",47.00,19,10785.60,4340.88,0,0,0,0,0,0,0.00,6444.73,0,0,0,322.25,322.26,6766.99,4.01,6771.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-02,"TAKEAWAY",62.00,23,11485.81,613.00,0,5.00,0,0,0,0,5.00,10872.81,424.38,391.80,27.21,0,843.40,11721.21,3.79,11725.00,23.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-02,"DINE IN",250.00,51,29632.92,408.00,0,0,0,0,0,0,0.00,29224.92,1386.03,270.77,0,0,1656.84,30881.76,8.24,30890.00,60.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-03,"DINE IN",164.00,47,25307.21,217.00,0,0,0,0,0,0,0.00,25090.21,1243.35,0,26.78,0,1270.17,26360.38,8.62,26369.00,53.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-03,"TAKEAWAY",57.00,19,8744.00,100.00,0,5.00,0,0,0,0,5.00,8644.00,426.49,23.79,0,0,450.31,9099.31,5.69,9105.00,19.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-03,"DELIVERY",30.00,12,6543.10,1910.00,10.00,0,0,0,0,0,10.00,4633.10,0,0,0,232.16,232.16,4875.26,1.74,4877.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-04,"TAKEAWAY",80.00,24,13233.18,616.00,0,15.00,0,0,0,0,15.00,12617.18,578.66,177.56,13.39,0,769.62,13401.80,3.20,13405.00,23.00,
