  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Restaurant Packaging Charges,Platform Fee Charge,Delivery Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,GST @12%,GST @18%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-08-01,"DINE IN",149.00,51,24173.72,954.45,0,0,0,0,0,0,0.00,23219.27,1094.40,60.45,148.93,0,1303.81,24523.08,9.92,24533.00,65.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-01,"TAKEAWAY",26.00,15,4412.27,540.00,0,0,0,0,0,0,0.00,3872.27,174.85,0,67.58,0,242.43,4114.70,4.30,4119.00,24.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-01,"DELIVERY",66.00,25,12219.45,4614.28,100.00,0,0,0,0,0,100.00,7605.17,0,0,18.15,380.23,398.38,8103.55,1.45,8105.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-02,"DINE IN",203.00,64,34304.55,57.00,0,0,0,0,0,0,0.00,34247.55,1685.09,26.78,58.11,0,1770.01,36017.56,17.44,36035.00,75.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-02,"TAKEAWAY",47.00,10,4513.64,0.00,0,10.00,0,0,0,0,10.00,4513.64,206.55,0,75.36,0,281.91,4805.55,2.45,4808.00,11.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-02,"DELIVERY",56.00,22,12987.92,4676.06,80.00,0,0,0,0,0,80.00,8311.85,0,0,45.08,407.09,452.18,8844.03,-0.03,8844.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-03,"DINE IN",332.00,72,53720.96,22656.00,0,0,0,0,0,0,0.00,31064.96,1547.67,13.39,0,0,1561.10,32626.06,15.94,32642.00,100.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-03,"TAKEAWAY",49.00,14,8631.16,1849.73,0,0,0,0,0,0,0.00,6781.43,299.61,15.00,119.59,0,434.20,7215.63,5.37,7221.00,15.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-03,"DELIVERY",45.00,16,9015.46,3479.85,40.00,0,0,0,0,0,40.00,5535.61,0,0,68.90,259.65,328.55,5904.16,1.84,5906.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-04,"DINE IN",182.00,53,28659.62,525.65,0,0,0,0,0,0,0.00,28133.97,1331.48,127.42,79.68,0,1538.61,29672.58,8.42,29681.00,68.00,
