  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Packaging Charges,Restaurant Charge,Platform Fee Charge,Delivery Charge,Total Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-09-01,"DINE IN",196.00,57,29150.03,156.00,0,0,0,0,0,0.00,28994.03,1410.02,122.79,13.39,0,0,1546.20,30540.23,13.77,30554.00,51.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-01,"DELIVERY",33.00,11,5541.61,1285.98,90.00,210.00,0,0,0,300.00,4255.63,0,0,13.39,222.22,0,235.61,4791.24,1.76,4793.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-01,"TAKEAWAY",12.00,6,2100.00,0.00,0,0,0,0,0,0.00,2100.00,105.00,0,0,0,0,105.00,2205.00,3.00,2208.00,6.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-02,"DINE IN",135.00,40,17374.07,417.00,0,0,0,0,0,0.00,16957.07,840.65,25.93,0,0,0,866.58,17823.65,7.35,17831.00,31.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-02,"TAKEAWAY",41.00,18,7414.83,913.02,0,0,0,0,0,0.00,6501.81,277.65,145.88,16.61,0,0,440.14,6941.95,3.05,6945.00,20.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-02,"DELIVERY",41.00,15,5381.61,1193.99,150.00,300.00,0,0,0,450.00,4187.62,0,0,9.47,227.93,0,237.41,4875.03,1.97,4877.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-03,"DELIVERY",50.00,17,6095.00,1817.98,270.00,240.00,0,0,0,510.00,4277.02,0,0,0,239.34,0,239.35,5026.37,1.63,5028.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-03,"DINE IN",127.00,39,16210.09,403.00,0,0,0,0,0,0.00,15807.09,756.85,100.52,13.39,0,0,870.76,16677.85,8.15,16686.00,75.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-03,"TAKEAWAY",11.00,5,1580.00,270.00,0,0,5.00,0,0,5.00,1310.00,66.40,0,0,0,0,66.40,1381.40,0.60,1382.00,3.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-04,"DINE IN",100.00,32,12220.00,230.00,0,0,0,0,0,0.00,11990.00,599.50,0,0,0,0,599.50,12589.50,6.50,12596.00,28.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-04,"DELIVERY",22.00,7,2805.00,764.49,150.00,60.00,0,0,0,210.00,2040.51,0,0,0,112.54,0,112.54,2363.05,0.95,2364.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-04,"TAKEAWAY",26.00,6,3690.00,520.00,0,0,0,0,0,0.00,3170.00,158.50,0,0,0,0,158.50,3328.50,0.50,3329.00,6.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-05,"DELIVERY",66.00,24,10243.83,2955.97,300.00,420.00,0,0,0,720.00,7287.86,0,179.40,0,350.57,0,529.97,8537.83,1.17,8539.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-05,"DINE IN",171.00,49,27294.11,790.14,0,0,0,0,0,0.00,26503.97,1240.48,233.34,47.74,0,0,1521.55,28025.52,12.48,28038.00,60.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-05,"TAKEAWAY",29.00,9,3625.87,268.00,0,0,10.00,0,0,10.00,3357.87,153.22,59.34,0,0,0,212.56,3580.43,0.57,3581.00,7.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-05,"ONLINE",8.00,2,1240.00,100.00,0,0,40.00,10.00,30.00,80.00,1140.00,34.40,133.20,0,0,0,167.60,1387.60,0.40,1388.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-06,"DELIVERY",47.00,16,7812.72,2119.99,60.00,420.00,0,0,0,480.00,5692.73,0,52.69,0,294.00,0,346.69,6519.42,1.58,6521.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-06,"TAKEAWAY",68.00,20,9238.71,778.10,0,0,20.00,0,0,20.00,8460.61,411.99,38.44,9.53,0,0,459.96,8940.57,2.43,8943.00,15.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-06,"DINE IN",223.00,59,31215.83,415.00,0,0,0,0,0,0.00,30800.83,1500.94,21.37,42.45,0,0,1564.76,32365.59,15.41,32381.00,70.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-06,"ONLINE",2.00,1,540.00,100.00,0,0,20.00,5.00,30.00,55.00,440.00,31.90,0,0,0,0,31.90,526.90,0.10,527.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-07,"DELIVERY",67.00,18,8455.42,2395.98,180.00,360.00,0,0,0,540.00,6059.44,0,57.30,0,316.57,0,371.37,6970.81,3.19,6974.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-07,"DINE IN",215.00,57,31880.79,1327.00,0,0,0,0,0,0.00,30553.79,1512.72,53.93,0,0,0,1566.65,32120.44,13.56,32134.00,70.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-07,"TAKEAWAY",34.00,12,4578.47,220.00,0,0,15.00,0,0,15.00,4358.47,211.21,33.92,0,0,0,245.13,4618.60,1.40,4620.00,11.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-08,"DINE IN",89.00,37,13482.46,372.00,0,0,0,0,0,0.00,13110.46,644.90,18.15,13.39,0,0,676.44,13786.90,10.10,13797.00,39.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-08,"DELIVERY",39.00,15,6805.00,1545.49,150.00,300.00,0,0,0,450.00,5259.51,0,0,0,285.49,0,285.49,5995.00,3.00,5998.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-08,"TAKEAWAY",30.00,11,4280.00,282.00,0,0,5.00,0,0,5.00,3998.00,200.80,0.00,0,0,0,200.80,4203.80,2.20,4206.00,9.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-09,"DELIVERY",51.00,15,7114.41,1809.98,150.00,300.00,0,0,0,450.00,5304.43,0,178.99,0,238.01,0,416.99,6171.42,1.58,6173.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-09,"DINE IN",106.00,32,14182.85,590.00,0,0,0,0,0,0.00,13592.85,670.40,33.25,0,0,0,703.65,14296.50,5.50,14302.00,36.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-09,"TAKEAWAY",40.00,16,7387.61,304.00,0,0,20.00,0,0,20.00,7083.61,352.14,0.18,13.39,0,0,365.71,7469.32,-0.32,7469.00,12.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-10,"DINE IN",221.00,42,32287.29,2879.00,0,0,0,0,0,0.00,29408.29,1429.94,92.75,35.36,0,0,1558.05,30966.34,8.66,30975.00,59.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-10,"DELIVERY",28.00,11,3310.00,871.99,120.00,210.00,0,0,0,330.00,2438.01,0,0,0,138.40,0,138.40,2906.41,1.59,2908.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-10,"TAKEAWAY",24.00,11,4094.84,463.00,0,0,10.00,0,0,10.00,3631.84,150.27,119.28,0,0,0,269.55,3911.39,2.61,3914.00,10.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-11,"DELIVERY",44.00,17,6343.80,1724.00,180.00,330.00,0,0,0,510.00,4619.80,0,0,0,256.49,0,256.50,5386.30,0.70,5387.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-11,"DINE IN",95.00,37,15034.36,47.00,0,0,0,0,0,0.00,14987.36,693.06,202.74,0,0,0,895.80,15883.16,4.84,15888.00,42.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-11,"TAKEAWAY",22.00,10,3840.00,0.00,0,0,5.00,0,0,5.00,3840.00,192.90,0,0,0,0,192.90,4037.90,3.10,4041.00,9.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-12,"DELIVERY",35.00,10,5433.47,1240.54,90.00,210.00,0,0,0,300.00,4192.93,0,31.67,0,215.86,0,247.53,4740.46,0.54,4741.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-12,"DINE IN",72.00,29,10039.00,151.00,0,0,0,0,0,0.00,9888.00,494.40,0,0,0,0,494.40,10382.40,1.60,10384.00,34.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-12,"TAKEAWAY",103.00,21,14321.34,480.00,0,0,15.00,0,0,15.00,13841.34,669.96,36.30,35.36,0,0,741.62,14597.96,1.04,14599.00,29.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-13,"DELIVERY",51.00,15,7644.49,1984.49,90.00,360.00,0,0,0,450.00,5660.00,0,66.51,0,287.03,0,353.54,6463.54,3.46,6467.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-13,"DINE IN",212.00,58,33682.44,2399.19,0,0,0,0,0,0.00,31283.25,1526.76,134.66,0,0,0,1661.42,32944.67,10.33,32955.00,67.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-13,"TAKEAWAY",32.00,14,5120.00,41.00,0,0,10.00,0,0,10.00,5079.00,255.75,0,0,0,0,255.75,5344.75,3.25,5348.00,13.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-14,"DINE IN",253.00,77,36055.38,968.00,0,0,0,0,0,0.00,35087.38,1702.51,186.72,0,0,0,1889.23,36976.61,21.39,36998.00,89.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-14,"TAKEAWAY",20.00,8,2770.00,470.00,0,0,15.00,0,0,15.00,2300.00,117.70,0,0,0,0,117.70,2432.70,0.30,2433.00,5.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-14,"DELIVERY",42.00,14,6774.32,2002.99,120.00,300.00,0,0,0,420.00,4771.33,0,42.18,0,247.84,0,290.03,5481.36,2.64,5484.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-15,"DELIVERY",55.00,15,6051.20,1195.50,150.00,300.00,0,0,0,450.00,4855.70,0,0,0,265.28,0,265.29,5570.99,3.01,5574.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-15,"ONLINE",2.00,1,600.00,37.00,0,0,20.00,5.00,0,25.00,563.00,4.50,0,67.56,0,0,72.06,660.06,-0.06,660.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-15,"TAKEAWAY",19.00,10,2712.30,138.00,0,0,5.00,0,0,5.00,2574.30,129.62,0,0,0,0,129.62,2708.92,3.08,2712.00,10.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-15,"DINE IN",93.00,35,13731.90,47.00,0,0,0,0,0,0.00,13684.90,684.25,0,0,0,0,684.25,14369.15,5.85,14375.00,38.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-16,"DELIVERY",47.00,15,5855.00,1988.50,120.00,330.00,0,0,0,450.00,3866.50,0,0,0,215.83,0,215.83,4532.33,3.67,4536.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-16,"DINE IN",164.00,38,21317.87,224.00,0,0,0,0,0,0.00,21093.87,1037.94,60.33,0,0,0,1098.27,22192.14,7.86,22200.00,42.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-16,"TAKEAWAY",8.00,4,970.00,119.00,0,0,10.00,0,0,10.00,851.00,44.37,0,0,0,0,44.37,905.37,-0.37,905.00,2.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-17,"DINE IN",163.00,56,23358.59,567.16,0,0,0,0,0,0.00,22791.43,1083.50,90.61,74.19,0,0,1248.30,24039.73,11.27,24051.00,56.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-17,"DELIVERY",45.00,15,6845.00,1889.98,120.00,330.00,0,0,0,450.00,4955.02,0,0,0,270.25,0,270.25,5675.27,1.73,5677.00,0.00,
