  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Restaurant Packaging Charges,Restaurant Charge,Packaging Charge [CART - SWIGGY],Delivery Charge,Platform Fee Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,GST @40%,ECom_GST@5%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-10-01,"DINE IN",278.00,76,44463.60,1268.98,0,0,0,0,0,0,0.00,43194.62,2153.84,47.14,0,0,2200.99,45395.61,9.39,45405.00,93.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-01,"DELIVERY",7.00,3,1040.00,360.00,90.00,0,0,0,0,0,90.00,680.00,0,0,38.50,0,38.50,808.50,1.50,810.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-01,"TAKEAWAY",65.00,21,13260.00,300.00,0,15.00,0,0,0,0,15.00,12960.00,563.99,0,0,312.14,876.13,13851.13,5.87,13857.00,18.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-02,"DELIVERY",27.00,7,4050.00,955.98,120.00,0,90.00,0,0,0,210.00,3094.02,0,0,165.19,0,165.19,3469.21,1.79,3471.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-02,"DINE IN",76.00,20,11949.35,286.87,0,0,0,0,0,0,0.00,11662.48,583.12,0,0,0,583.12,12245.60,5.40,12251.00,26.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-02,"TAKEAWAY",136.00,34,21308.35,0.00,0,0,0,0,0,0,0.00,21308.35,1065.42,0,0,0,1065.42,22373.77,8.23,22382.00,37.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-03,"DINE IN",113.00,34,17383.51,1124.94,0,0,0,0,0,0,0.00,16258.57,812.94,0,0,0,812.94,17071.51,5.49,17077.00,55.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-03,"DELIVERY",11.00,4,1610.00,495.00,90.00,0,30.00,0,0,0,120.00,1115.00,0,0,61.75,0,61.75,1296.75,1.25,1298.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-03,"TAKEAWAY",40.00,12,5880.00,0.00,0,5.00,0,0,0,0,5.00,5880.00,281.40,0,0,0,281.40,6166.40,4.60,6171.00,13.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-04,"DINE IN",136.00,43,23551.11,1283.00,0,0,0,0,0,0,0.00,22268.11,1113.41,0,0,0,1113.41,23381.52,6.48,23388.00,157.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-04,"DELIVERY",43.00,11,6810.00,659.97,120.00,0,180.00,0,0,0,300.00,6150.03,0,0,322.52,0,322.52,6772.55,3.45,6776.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-04,"TAKEAWAY",56.00,19,10033.31,43.00,0,0,0,0,0,0,0.00,9990.31,499.52,0,0,0,499.52,10489.83,5.17,10495.00,23.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-05,"DINE IN",138.00,38,22573.32,865.00,0,0,0,0,0,0,0.00,21708.32,1074.88,0,0,37.98,1112.86,22821.18,5.82,22827.00,44.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-05,"TAKEAWAY",35.00,13,5368.22,1155.00,0,0,0,0,0,0,0.00,4213.22,210.66,0,0,0,210.66,4423.88,2.12,4426.00,13.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-05,"DELIVERY",19.00,5,2770.00,574.99,0,0,150.00,0,0,0,150.00,2195.01,0,0,117.26,0,117.25,2462.26,-0.26,2462.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-06,"DINE IN",97.00,26,13858.00,3150.00,0,0,0,0,0,0,0.00,10708.00,535.41,0,0,0,535.41,11243.41,3.59,11247.00,26.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-06,"DELIVERY",27.00,6,3360.00,960.00,150.00,0,30.00,0,0,0,180.00,2400.00,0,0,129.00,0,129.00,2709.00,2.00,2711.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-06,"TAKEAWAY",39.00,10,6482.98,174.00,0,5.00,0,0,0,0,5.00,6308.98,257.20,0,0,212.94,470.14,6784.12,0.88,6785.00,8.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-07,"DINE IN",217.00,34,36304.58,4853.92,0,0,0,0,0,0,0.00,31450.66,1563.74,47.14,0,10.98,1621.86,33072.52,7.48,33080.00,41.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-07,"DELIVERY",12.00,5,2019.00,536.60,120.00,0,30.00,0,0,0,150.00,1482.40,0,0,81.62,0,81.62,1714.02,0.98,1715.00,0.00,
