  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Restaurant Charge,Packaging Charge [CART - SWIGGY],Restaurant Packaging Charges,Delivery Charge,Platform Fee Charge,Smile Amount Charge,Total Charges,Net Sale,GST @18%,GST @5%,ECom_GST@5%,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-11-01,"TAKEAWAY",65.00,21,9125.89,100.00,10.00,0,0,0,0,0,10.00,9025.89,1.80,451.30,0,0,453.10,9488.99,5.01,9494.00,21.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-01,"DINE IN",161.00,49,26185.58,922.50,0,0,0,0,0,0,0.00,25263.08,106.56,1233.55,0,0,1340.12,26603.20,4.80,26608.00,54.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-01,"DELIVERY",62.00,15,10075.92,2182.45,0,150.00,200.00,0,0,0,350.00,7893.47,12.20,0,408.78,0,420.98,8664.45,-0.45,8664.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-02,"DELIVERY",31.00,7,6406.61,1199.99,0,60.00,100.00,0,0,0,160.00,5206.62,0,0,268.33,0,268.33,5634.95,1.05,5636.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-02,"TAKEAWAY",56.00,15,8048.39,960.00,0,0,0,0,0,0,0.00,7088.39,18.18,349.37,0,0,367.55,7455.94,2.06,7458.00,16.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-02,"DINE IN",147.00,44,25597.05,835.50,0,0,0,0,0,0,0.00,24761.55,0,1233.56,0,36.19,1269.76,26031.31,6.69,26038.00,49.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-03,"DELIVERY",13.00,9,2760.00,690.00,0,90.00,120.00,0,0,0,210.00,2070.00,0,0,114.00,0,114.00,2394.00,2.00,2396.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-03,"TAKEAWAY",24.00,8,4239.10,115.00,5.00,0,0,0,0,0,5.00,4124.10,0.90,206.21,0,0,207.11,4336.21,1.79,4338.00,8.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-03,"DINE IN",63.00,31,11850.39,123.00,0,0,0,0,0,0,0.00,11727.39,106.56,556.78,0,0,663.34,12390.73,1.27,12392.00,32.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-04,"DINE IN",100.00,41,27085.80,2374.70,0,0,0,0,0,0,0.00,24711.10,0,1235.60,0,0,1235.60,25946.70,1.30,25948.00,43.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-04,"DELIVERY",14.00,11,3985.00,1401.00,0,60.00,180.00,0,0,0,240.00,2584.00,0,0,141.20,0,141.20,2965.20,2.80,2968.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-04,"TAKEAWAY",15.00,10,3275.20,228.00,5.00,0,0,0,0,0,5.00,3047.20,0.90,152.36,0,0,153.26,3205.46,0.54,3206.00,8.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-05,"TAKEAWAY",9.00,7,2730.00,142.00,5.00,0,0,0,0,0,5.00,2588.00,0.90,129.40,0,0,130.30,2723.30,1.70,2725.00,7.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-05,"DELIVERY",13.00,11,4020.00,1159.50,0,90.00,160.00,0,0,0,250.00,2860.50,0,0,155.52,0,155.52,3266.02,0.98,3267.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-05,"DINE IN",71.00,34,16412.61,325.50,0,0,0,0,0,0,0.00,16087.11,0,804.36,0,0,804.36,16891.47,3.53,16895.00,43.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-06,"DINE IN",75.00,38,19372.82,1404.65,0,0,0,0,0,0,0.00,17968.17,0,898.43,0,0,898.43,18866.60,5.40,18872.00,71.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-06,"TAKEAWAY",18.00,11,4516.61,577.50,0,0,0,0,0,0,0.00,3939.11,0,196.98,0,0,196.98,4136.09,0.91,4137.00,20.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-06,"DELIVERY",16.00,10,5085.00,1267.47,0,150.00,100.00,0,0,0,250.00,3817.53,0,0,203.39,0,203.39,4270.92,1.08,4272.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-07,"DELIVERY",13.00,8,4450.00,1395.48,0,180.00,40.00,0,0,0,220.00,3054.52,0,0,163.71,0,163.71,3438.23,-1.23,3437.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-07,"TAKEAWAY",28.00,18,6740.72,272.00,0,0,0,0,0,0,0.00,6468.72,0,303.09,0,0,303.09,6771.81,3.19,6775.00,18.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-07,"DINE IN",104.00,45,28492.00,3578.25,0,0,0,0,0,0,0.00,24913.75,0,1245.73,0,0,1245.73,26159.48,2.52,26162.00,47.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-08,"DINE IN",96.00,51,22451.42,608.94,0,0,0,0,0,0,0.00,21842.48,0,1092.14,0,0,1092.14,22934.62,4.38,22939.00,80.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-08,"TAKEAWAY",34.00,14,8116.88,111.00,0,0,0,0,0,0,0.00,8005.88,0,400.30,0,0,400.30,8406.18,1.82,8408.00,28.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-08,"DELIVERY",19.00,10,5980.00,1659.96,0,150.00,100.00,0,0,0,250.00,4320.04,0,0,228.50,0,228.50,4798.54,1.46,4800.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-09,"TAKEAWAY",19.00,11,4910.00,493.00,20.00,0,0,0,0,0,20.00,4417.00,0,224.45,0,0,224.45,4661.45,1.55,4663.00,18.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-09,"DELIVERY",19.00,11,6527.29,1883.98,0,120.00,140.00,0,0,0,260.00,4643.31,0,0,245.18,0,245.18,5148.49,0.51,5149.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-09,"DINE IN",120.00,51,31709.76,6054.36,0,0,0,0,0,0,0.00,25655.40,0,1282.78,0,0,1282.78,26938.18,4.82,26943.00,62.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-10,"DELIVERY",24.00,13,8110.00,2890.46,0,120.00,180.00,0,0,0,300.00,5219.54,0,0,275.98,0,275.98,5795.52,1.48,5797.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-10,"TAKEAWAY",25.00,12,6959.10,230.00,0,0,0,0,0,0,0.00,6729.10,0,336.46,0,0,336.46,7065.56,1.44,7067.00,14.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-10,"DINE IN",103.00,40,26601.10,3443.00,0,0,0,0,0,0,0.00,23158.10,106.56,1128.31,0,0,1234.87,24392.97,5.03,24398.00,55.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-11,"TAKEAWAY",8.00,6,1750.00,460.00,5.00,0,0,0,0,0,5.00,1290.00,0,65.40,0,0,65.40,1360.40,0.60,1361.00,3.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-11,"DELIVERY",18.00,13,5514.75,1889.36,0,90.00,200.00,0,0,0,290.00,3625.39,0,0,195.77,0,195.77,4111.16,0.84,4112.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-11,"DINE IN",105.00,42,25482.52,4001.10,0,0,0,0,0,0,0.00,21481.42,70.07,1031.28,0,0,1101.35,22582.77,1.23,22584.00,44.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-12,"DELIVERY",14.00,9,4670.00,1631.00,0,30.00,160.00,0,0,0,190.00,3039.00,0,0,161.45,0,161.45,3390.45,2.55,3393.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-12,"DINE IN",83.00,46,20547.46,395.00,0,0,0,0,0,0,0.00,20152.46,16.56,1003.03,0,0,1019.59,21172.05,5.95,21178.00,50.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-12,"TAKEAWAY",34.00,15,9168.71,100.00,5.00,0,0,0,0,0,5.00,9068.71,0,454.34,0,0,454.34,9528.05,2.95,9531.00,16.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-13,"DELIVERY",36.00,17,10820.00,3199.48,0,180.00,220.00,0,0,0,400.00,7620.52,0,0,401.03,0,401.03,8421.55,2.45,8424.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-13,"TAKEAWAY",24.00,15,6585.00,393.00,15.00,0,0,0,0,0,15.00,6192.00,0,312.30,0,0,312.30,6519.30,3.70,6523.00,23.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-13,"DINE IN",102.00,46,24456.04,859.00,0,0,0,0,0,0,0.00,23597.04,145.44,1139.48,0,0,1284.92,24881.96,3.04,24885.00,54.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-14,"DINE IN",110.00,52,27334.57,4604.51,0,0,0,0,0,0,0.00,22730.06,0,1136.51,0,0,1136.51,23866.57,0.43,23867.00,67.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-14,"TAKEAWAY",8.00,6,1875.00,127.00,5.00,0,0,0,0,0,5.00,1748.00,0,88.30,0,0,88.30,1841.30,1.70,1843.00,15.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-14,"DELIVERY",18.00,12,5730.00,2105.00,0,90.00,180.00,0,0,0,270.00,3625.00,0,0,194.75,0,194.75,4089.75,2.25,4092.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-15,"DELIVERY",37.00,17,11265.00,4581.00,0,90.00,280.00,0,0,0,370.00,6684.00,0,0,352.70,0,352.70,7406.70,2.30,7409.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-15,"DINE IN",91.00,47,21766.99,2872.50,0,0,0,0,0,0,0.00,18894.49,91.37,919.36,0,0,1010.73,19905.22,2.78,19908.00,59.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-15,"TAKEAWAY",36.00,22,9364.00,235.00,0,0,0,0,0,0,0.00,9129.00,0,434.00,0,0,434.00,9563.00,4.00,9567.00,23.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-16,"DINE IN",117.00,54,31825.86,4897.20,0,0,0,0,0,0,0.00,26928.66,0,1346.44,0,0,1346.44,28275.10,5.90,28281.00,59.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-16,"DELIVERY",32.00,20,9596.80,3341.42,0,150.00,300.00,0,0,0,450.00,6255.38,0,0,335.28,0,335.28,7040.66,0.34,7041.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-16,"TAKEAWAY",43.00,17,10603.15,1873.00,0,0,0,0,0,0,0.00,8730.15,0,436.52,0,0,436.52,9166.67,3.33,9170.00,18.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-17,"DELIVERY",44.00,25,13330.00,5059.98,0,210.00,360.00,0,0,0,570.00,8270.02,0,0,442.00,0,442.00,9282.02,1.98,9284.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-17,"DINE IN",69.00,36,18433.98,927.00,0,0,0,0,0,0,0.00,17506.98,154.23,832.51,0,0,986.74,18493.72,5.28,18499.00,46.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-17,"TAKEAWAY",23.00,14,5831.74,436.39,15.00,0,0,0,0,0,15.00,5395.35,0,272.47,0,0,272.47,5682.82,3.18,5686.00,11.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-18,"TAKEAWAY",16.00,11,3866.02,917.00,15.00,0,0,0,0,0,15.00,2949.02,0,150.15,0,0,150.15,3114.17,0.83,3115.00,26.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-18,"DINE IN",56.00,36,12341.10,517.28,0,0,0,0,0,0,0.00,11823.82,0,591.22,0,0,591.22,12415.04,2.96,12418.00,50.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-18,"DELIVERY",37.00,22,10496.25,4429.99,0,180.00,320.00,0,0,0,500.00,6066.26,0,0,328.31,0,328.31,6894.57,3.43,6898.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-19,"DINE IN",101.00,49,27053.91,3251.50,0,0,0,0,0,0,0.00,23802.41,150.00,1148.48,0,0,1298.48,25100.89,4.11,25105.00,57.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-19,"DELIVERY",33.00,19,8787.30,3716.46,0,60.00,340.00,0,0,0,400.00,5070.84,0,0,273.54,0,273.54,5744.38,3.62,5748.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-19,"TAKEAWAY",19.00,12,4610.00,129.00,5.00,0,0,0,0,0,5.00,4481.00,0,224.95,0,0,224.95,4710.95,1.05,4712.00,9.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-20,"DELIVERY",28.00,21,8403.33,3550.17,0,150.00,320.00,0,0,0,470.00,4853.16,0,0,266.16,0,266.16,5589.32,2.68,5592.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-20,"DINE IN",77.00,39,17931.82,1024.00,0,0,0,0,0,0,0.00,16907.82,0,845.42,0,0,845.42,17753.24,2.76,17756.00,61.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-20,"TAKEAWAY",10.00,6,2480.00,231.00,5.00,0,0,0,0,0,5.00,2249.00,0,113.35,0,0,113.35,2367.35,1.65,2369.00,5.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-21,"DELIVERY",38.00,22,10206.85,4232.71,0,120.00,360.00,0,0,0,480.00,5974.14,16.56,0,318.11,0,334.67,6788.81,1.19,6790.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-21,"TAKEAWAY",34.00,20,8174.72,140.88,5.00,0,0,0,0,0,5.00,8033.84,0,389.09,0,0,389.09,8427.93,5.07,8433.00,62.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-21,"DINE IN",79.00,40,18863.22,1991.07,0,0,0,0,0,0,0.00,16872.15,0,843.62,0,0,843.62,17715.77,5.23,17721.00,57.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-22,"DINE IN",131.00,59,34085.37,5205.43,0,0,0,0,0,0,0.00,28879.94,243.76,1376.31,0,0,1620.07,30500.01,5.99,30506.00,79.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-22,"TAKEAWAY",68.00,29,17983.20,781.00,20.00,0,0,0,0,0,20.00,17202.20,0,863.71,0,0,863.71,18085.91,5.09,18091.00,25.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-22,"DELIVERY",22.00,16,6510.00,3120.00,0,60.00,280.00,0,0,0,340.00,3390.00,0,0,186.50,0,186.50,3916.50,0.50,3917.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-23,"TAKEAWAY",85.00,41,23725.63,1651.00,5.00,0,0,0,0,0,5.00,22074.63,162.69,1059.45,0,0,1222.14,23301.77,9.23,23311.00,46.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-23,"DELIVERY",19.00,12,5412.46,2062.15,0,60.00,200.00,0,0,0,260.00,3350.31,0,0,180.52,0,180.52,3790.83,2.17,3793.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-23,"DINE IN",63.00,33,14950.64,1117.50,0,0,0,0,0,0,0.00,13833.14,0,691.67,0,0,691.67,14524.81,2.19,14527.00,35.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-24,"DELIVERY",26.00,17,7754.41,3315.38,0,150.00,240.00,0,0,0,390.00,4439.03,0,0,241.46,0,241.46,5070.49,2.51,5073.00,0.00,
