  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Total Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","South","MSFT Hyd",2025-07-01,"DINE IN",6.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-07-01,"TAKEAWAY",373.00,203,36612.00,0.00,0.00,36612.00,1830.60,1830.60,38442.60,0.00,38442.60,0.00,
"-","-","South","MSFT Hyd",2025-07-02,"DINE IN",6.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-07-02,"TAKEAWAY",348.00,177,32753.74,0.00,0.00,32753.74,1637.66,1637.66,34391.40,0.00,34391.40,0.00,
"-","-","South","MSFT Hyd",2025-07-03,"DINE IN",7.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-07-03,"TAKEAWAY",412.00,202,36995.41,0.00,0.00,36995.41,1849.76,1849.76,38845.17,0.00,38845.17,0.00,
"-","-","South","MSFT Hyd",2025-07-04,"DINE IN",3.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-07-04,"TAKEAWAY",568.00,273,51587.88,0.00,0.00,51587.88,2579.40,2579.40,54167.28,0.00,54167.28,0.00,
"-","-","South","MSFT Hyd",2025-07-07,"DINE IN",5.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-07-07,"TAKEAWAY",358.00,176,32381.27,0.00,0.00,32381.27,1619.05,1619.05,34000.32,0.00,34000.32,0.00,
"-","-","South","MSFT Hyd",2025-07-08,"DINE IN",6.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-07-08,"TAKEAWAY",537.00,257,45357.12,0.00,0.00,45357.12,2267.82,2267.82,47624.94,0.00,47624.94,0.00,
