  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Total Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","South","MSFT Hyd",2025-12-01,"TAKEAWAY",351.00,137,24248.92,0.00,0.00,24248.92,1212.55,1212.55,25461.47,-5.47,25456.00,0.00,
"-","-","South","MSFT Hyd",2025-12-01,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-02,"TAKEAWAY",350.00,153,26382.61,0.00,0.00,26382.61,1319.24,1319.24,27701.85,-11.85,27690.00,0.00,
"-","-","South","MSFT Hyd",2025-12-02,"DINE IN",3.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-03,"TAKEAWAY",380.00,153,26064.85,0.00,0.00,26064.85,1303.31,1303.31,27368.16,-5.16,27363.00,0.00,
"-","-","South","MSFT Hyd",2025-12-03,"DINE IN",8.00,1,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-04,"TAKEAWAY",439.00,185,33239.53,0.00,0.00,33239.53,1662.10,1662.10,34901.63,-11.63,34890.00,0.00,
"-","-","South","MSFT Hyd",2025-12-04,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-05,"TAKEAWAY",465.00,176,31122.69,0.00,0.00,31122.69,1556.28,1556.28,32678.97,-5.97,32673.00,0.00,
"-","-","South","MSFT Hyd",2025-12-05,"DINE IN",5.00,5,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-08,"TAKEAWAY",369.00,147,26847.67,0.00,0.00,26847.67,1342.45,1342.45,28190.12,-11.12,28179.00,0.00,
"-","-","South","MSFT Hyd",2025-12-08,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-09,"TAKEAWAY",402.00,168,29460.42,0.00,0.00,29460.42,1473.07,1473.06,30933.48,-10.48,30923.00,0.00,
"-","-","South","MSFT Hyd",2025-12-10,"TAKEAWAY",441.00,177,31011.94,0.00,0.00,31011.94,1550.74,1550.73,32562.67,-7.67,32555.00,0.00,
"-","-","South","MSFT Hyd",2025-12-10,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-11,"TAKEAWAY",388.00,165,28610.19,0.00,0.00,28610.19,1430.66,1430.65,30040.84,-11.84,30029.00,0.00,
"-","-","South","MSFT Hyd",2025-12-11,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-12,"TAKEAWAY",516.00,211,38335.06,0.00,0.00,38335.06,1916.90,1916.89,40251.95,-9.95,40242.00,0.00,
"-","-","South","MSFT Hyd",2025-12-12,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-15,"TAKEAWAY",373.00,155,27065.50,0.00,0.00,27065.50,1353.37,1353.36,28418.86,-10.86,28408.00,0.00,
"-","-","South","MSFT Hyd",2025-12-16,"TAKEAWAY",401.00,168,30538.30,0.00,0.00,30538.30,1527.00,1526.99,32065.29,-12.29,32053.00,0.00,
"-","-","South","MSFT Hyd",2025-12-16,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-17,"TAKEAWAY",400.00,174,29394.95,0.00,0.00,29394.95,1469.88,1469.87,30864.82,-8.82,30856.00,0.00,
"-","-","South","MSFT Hyd",2025-12-18,"TAKEAWAY",428.00,182,31123.99,0.00,0.00,31123.99,1556.31,1556.30,32680.29,-11.29,32669.00,0.00,
"-","-","South","MSFT Hyd",2025-12-18,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-19,"TAKEAWAY",393.00,162,27950.90,0.00,0.00,27950.90,1397.66,1397.65,29348.55,-4.55,29344.00,0.00,
"-","-","South","MSFT Hyd",2025-12-19,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-22,"TAKEAWAY",319.00,137,23840.83,0.00,0.00,23840.83,1192.15,1192.15,25032.98,-7.98,25025.00,0.00,
"-","-","South","MSFT Hyd",2025-12-22,"DINE IN",1.00,1,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-23,"TAKEAWAY",345.00,152,26085.79,0.00,0.00,26085.79,1304.32,1304.31,27390.10,-13.10,27377.00,0.00,
"-","-","South","MSFT Hyd",2025-12-24,"TAKEAWAY",401.00,172,30091.65,0.00,0.00,30091.65,1504.66,1504.65,31596.30,-13.30,31583.00,0.00,
"-","-","South","MSFT Hyd",2025-12-24,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-26,"TAKEAWAY",406.00,167,30504.77,0.00,0.00,30504.77,1525.27,1525.26,32030.03,-11.03,32019.00,0.00,
"-","-","South","MSFT Hyd",2025-12-26,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-29,"TAKEAWAY",313.00,147,25796.79,0.00,0.00,25796.79,1289.84,1289.83,27086.62,-15.62,27071.00,0.00,
"-","-","South","MSFT Hyd",2025-12-29,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-12-30,"TAKEAWAY",353.00,150,25488.18,0.00,0.00,25488.18,1274.49,1274.48,26762.66,-10.66,26752.00,0.00,
"-","-","South","MSFT Hyd",2025-12-31,"TAKEAWAY",428.00,192,32642.15,0.00,0.00,32642.15,1632.22,1632.21,34274.36,-14.36,34260.00,0.00,

