  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Restaurant Charge,Staff Welfare charge at 5%,Staff Welfare,Delivery Charge,Platform Fee Charge,Smile Amount Charge,Total Charges,Net Sale,ECom_GST@5%,GST @5%,GST @18%,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-12-01,"DELIVERY",40.00,25,11370.86,5079.62,380.00,180.00,0,0,0,0,0,0,560.00,6291.24,342.56,0,0,0,342.56,7193.80,0.20,7194.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-01,"TAKEAWAY",45.00,19,11111.49,294.00,0,0,5.00,0,0,0,0,0,5.00,10817.49,0,541.77,0,0,541.77,11364.26,1.74,11366.00,17.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-01,"DINE IN",83.00,41,19890.05,1678.75,0,0,0,0,0,0,0,0,0.00,18211.30,0,910.61,0,0,910.61,19121.91,5.09,19127.00,40.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-02,"DELIVERY",39.00,25,11392.00,4707.67,340.00,240.00,0,0,0,0,0,0,580.00,6684.33,358.63,0,16.56,0,375.19,7639.52,1.48,7641.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-02,"DINE IN",83.00,38,20580.88,1845.15,0,0,0,0,0,0,0,0,0.00,18735.73,0,936.84,0,0,936.84,19672.57,1.43,19674.00,47.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-02,"TAKEAWAY",45.00,20,10769.17,1447.00,0,0,35.00,0,0,0,0,0,35.00,9322.17,0,458.91,0,0,458.91,9816.08,2.92,9819.00,12.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-03,"DELIVERY",32.00,18,10130.00,3954.48,280.00,120.00,0,0,0,0,0,0,400.00,6175.52,328.77,0,0,0,328.77,6904.29,1.71,6906.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-03,"TAKEAWAY",31.00,21,7706.95,824.85,0,0,10.00,0,0,0,0,0,10.00,6882.10,0,332.41,0,0,332.41,7224.51,5.49,7230.00,18.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-03,"DINE IN",58.00,30,14131.10,2047.50,0,0,0,0,0,0,0,0,0.00,12083.60,0,604.24,0,0,604.24,12687.84,1.16,12689.00,44.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-04,"DINE IN",76.00,43,17397.30,1291.80,0,0,0,0,0,0,0,0,0.00,16105.50,0,805.29,0,0,805.29,16910.79,3.21,16914.00,51.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-04,"DELIVERY",40.00,25,11410.00,4514.99,320.00,270.00,0,0,0,0,0,0,590.00,6895.01,374.26,0,0,0,374.26,7859.27,5.73,7865.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-04,"TAKEAWAY",36.00,19,9580.00,1351.00,0,0,10.00,0,0,0,0,0,10.00,8229.00,0,413.25,0,0,413.25,8652.25,2.75,8655.00,15.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-05,"DINE IN",64.00,31,12268.69,976.75,0,0,0,0,0,0,0,0,0.00,11291.94,0,564.60,0,0,564.60,11856.54,2.46,11859.00,33.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-05,"DELIVERY",36.00,21,10630.00,4721.00,340.00,120.00,0,0,0,0,0,0,460.00,5909.00,318.44,0,0,0,318.44,6687.44,1.56,6689.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-05,"TAKEAWAY",39.00,23,9350.61,362.00,0,0,5.00,0,0,0,0,0,5.00,8988.61,0,450.33,0,0,450.33,9443.94,5.06,9449.00,29.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-06,"TAKEAWAY",26.00,14,5641.52,55.00,0,0,5.00,0,0,0,0,0,5.00,5586.52,0,280.24,0,0,280.24,5871.76,-0.76,5871.00,15.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-06,"DINE IN",106.00,48,23832.76,1640.75,0,0,0,0,0,0,0,0,0.00,22192.01,0,1109.63,0,0,1109.63,23301.64,5.36,23307.00,54.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-06,"DELIVERY",23.00,14,6900.00,2355.00,260.00,30.00,0,0,0,0,0,0,290.00,4545.00,241.75,0,0,0,241.75,5076.75,1.25,5078.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-07,"DINE IN",107.00,51,24054.10,1579.40,0,0,0,0,0,0,0,0,0.00,22474.70,0,1123.75,0,0,1123.75,23598.45,6.55,23605.00,52.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-07,"TAKEAWAY",16.00,10,4098.00,757.00,0,0,0,0,0,0,0,0,0.00,3341.00,0,167.05,0,0,167.05,3508.05,0.95,3509.00,10.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-07,"DELIVERY",41.00,21,11851.11,4320.98,260.00,240.00,0,0,0,0,0,0,500.00,7530.13,401.50,0,0,0,401.50,8431.63,1.37,8433.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-08,"DINE IN",88.00,39,21196.00,1994.50,0,0,0,0,0,0,0,0,0.00,19201.50,0,960.08,0,0,960.08,20161.58,1.42,20163.00,46.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-08,"DELIVERY",17.00,11,5009.32,2122.17,200.00,30.00,0,0,0,0,0,0,230.00,2887.15,155.87,0,0,0,155.87,3273.02,-0.02,3273.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-08,"TAKEAWAY",8.00,5,1980.00,131.00,0,0,5.00,0,0,0,0,0,5.00,1849.00,0,93.35,0,0,93.35,1947.35,0.65,1948.00,4.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-09,"DELIVERY",18.00,9,5178.33,2524.17,120.00,90.00,0,0,0,0,0,0,210.00,2654.16,143.21,0,0,0,143.21,3007.37,2.63,3010.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-09,"DINE IN",60.00,32,12365.57,2000.00,0,0,0,0,0,0,0,0,0.00,10365.57,0,518.33,0,0,518.33,10883.90,4.10,10888.00,28.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-09,"TAKEAWAY",37.00,19,8395.30,1169.09,0,0,10.00,0,0,0,0,0,10.00,7226.21,0,363.11,0,0,363.11,7599.32,-0.32,7599.00,17.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-10,"DELIVERY",43.00,21,12776.90,4966.70,280.00,210.00,0,0,0,0,0,0,490.00,7810.20,415.02,0,0,0,415.02,8715.22,1.78,8717.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-10,"DINE IN",35.00,23,7666.00,708.00,0,0,0,0,0,0,0,0,0.00,6958.00,0,347.92,0,0,347.92,7305.92,3.08,7309.00,21.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-10,"TAKEAWAY",32.00,15,9185.00,900.00,0,0,5.00,0,0,0,0,0,5.00,8285.00,0,415.14,0,0,415.14,8705.14,1.86,8707.00,14.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-11,"DINE IN",98.00,45,21877.83,2112.20,0,0,0,321.07,0,0,0,0,321.07,19765.63,0,1004.38,0,0,1004.38,21091.08,3.92,21095.00,40.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-11,"DELIVERY",29.00,20,8355.00,3803.50,220.00,240.00,0,0,0,0,0,0,460.00,4551.50,250.58,0,0,0,250.58,5262.08,3.92,5266.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-11,"TAKEAWAY",11.00,5,3275.00,52.00,0,0,5.00,0,0,0,0,0,5.00,3223.00,0,162.05,0,0,162.05,3390.05,0.95,3391.00,6.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-11,"ONLINE",1.00,1,350.00,350.00,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-12,"TAKEAWAY",1.00,1,280.00,0.00,0,0,0,0,0,0,0,0,0.00,280.00,0,14.00,0,0,14.00,294.00,0.00,294.00,1.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-12,"DINE IN",7.00,3,1850.00,46.00,0,0,0,69.50,0,0,0,0,69.50,1804.00,0,93.68,0,0,93.68,1967.18,0.82,1968.00,2.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-12,"DELIVERY",4.00,3,1205.00,495.00,0,60.00,0,0,0,0,0,0,60.00,710.00,38.50,0,0,0,38.50,808.50,0.50,809.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-13,"DINE IN",173.00,63,48369.17,946.50,0,0,0,0,2188.53,0,0,0,2188.53,47422.67,0,2480.72,0,0,2480.72,52091.92,3.08,52095.00,77.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-13,"DELIVERY",56.00,24,16351.00,6518.30,260.00,220.00,0,0,0,0,0,0,480.00,9832.70,515.63,0,0,0,515.63,10828.33,3.67,10832.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-13,"TAKEAWAY",18.00,12,4117.10,721.00,0,0,5.00,0,0,0,0,0,5.00,3396.10,0,170.70,0,0,170.70,3571.80,1.20,3573.00,10.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-14,"DINE IN",140.00,51,35270.05,2291.00,0,0,0,0,1648.95,0,0,0,1648.95,32979.05,0,1713.88,63.51,0,1777.39,36405.39,4.61,36410.00,74.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-14,"DELIVERY",31.00,19,9129.00,3110.99,100.00,280.00,0,0,0,0,0,0,380.00,6018.01,319.90,0,0,0,319.90,6717.91,2.09,6720.00,0.00,
