  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Packaging Charges,Staff Welfare,Restaurant Charge,Delivery Charge,Platform Fee Charge,Smile Amount Charge,Total Charges,Net Sale,ECom_GST@5%,GST @18%,GST @5%,Packaging charge@30Rs,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2026-01-01,"DELIVERY",33.00,16,9514.61,3593.86,100.00,220.00,0,0,0,0,0,320.00,5920.75,307.89,14.96,0,0,0,322.85,6563.60,2.40,6566.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-01,"TAKEAWAY",13.00,7,3508.30,106.00,0,0,0,0,0,0,0,0.00,3402.30,0,0,170.11,0,0,170.11,3572.41,1.59,3574.00,8.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-01,"DINE IN",183.00,63,47504.90,2616.75,0,0,2070.69,0,0,0,0,2070.69,44888.15,0,0,2348.07,0,0,2348.07,49306.91,4.09,49311.00,99.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-02,"DINE IN",169.00,51,45248.71,3476.25,0,0,1917.62,0,0,0,0,1917.62,41772.46,0,0,2184.65,0,0,2184.65,45874.73,3.27,45878.00,81.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-02,"TAKEAWAY",21.00,12,5544.75,214.00,0,0,0,5.00,0,0,0,5.00,5330.75,0,0,267.45,0,0,267.45,5603.20,1.80,5605.00,12.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-02,"DELIVERY",39.00,21,12183.00,4587.00,120.00,300.00,0,0,0,0,0,420.00,7596.00,400.80,0,0,0,0,400.80,8416.80,1.20,8418.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-03,"DELIVERY",36.00,16,11616.88,3613.76,80.00,240.00,0,0,0,0,0,320.00,8003.12,416.17,0,0,0,0,416.17,8739.29,1.71,8741.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-03,"DINE IN",188.00,64,48792.28,871.56,0,0,2358.23,0,0,0,0,2358.23,47920.72,0,0,2514.04,0,0,2514.04,52792.99,-0.99,52792.00,104.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-03,"TAKEAWAY",6.00,4,1394.25,0.00,0,0,0,0,0,0,0,0.00,1394.25,0,0,69.71,0,0,69.71,1463.96,1.04,1465.00,4.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-04,"DINE IN",204.00,58,57017.03,4723.67,0,0,2622.93,0,0,0,0,2622.93,52293.36,0,0,2745.95,0,0,2745.95,57662.24,1.76,57664.00,102.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-04,"DELIVERY",22.00,11,6909.00,1007.00,20.00,200.00,0,0,0,0,0,220.00,5902.00,306.10,0,0,0,0,306.10,6428.10,1.90,6430.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-04,"TAKEAWAY",12.00,10,3060.00,30.00,0,0,0,0,0,0,0,0.00,3030.00,0,0,151.50,0,0,151.50,3181.50,2.50,3184.00,10.00,
