Generated On: 2026-02-02 01:15:03 pm

*All the values shown here are in INR,


Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Staff Welfare,Total Charges,Net Sale,ECom_GST@5%,GST @5%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
-,-,North,Coffee Island Beyond GK II,2026-02-01,DELIVERY,33.00,24,10453.47,2611.94,300.00,180.00,0,480.00,7841.53,416.09,0,0,416.09,8737.62,3.38,8741.00,0,
-,-,North,Coffee Island Beyond GK II,2026-02-01,DINE IN,145.00,55,36005.28,2380.00,0,0,1681.27,1681.27,33625.28,0,1765.41,0,1765.41,37071.96,-0.96,37071.00,115,
-,-,North,Coffee Island Beyond GK II,2026-02-01,TAKEAWAY,16.00,12,4634.28,168.00,0,0,0,0.00,4466.28,0,223.32,0,223.32,4689.60,2.40,4692.00,25,
-,-,North,Coffee Island HQ-27,2026-02-01,DELIVERY,48.00,23,13259.42,5836.57,140.00,300.00,0,440.00,7422.85,388.08,0,18.30,406.38,8269.23,1.77,8271.00,0,
-,-,North,Coffee Island HQ-27,2026-02-01,DINE IN,147.00,50,38666.28,8223.16,0,0,0,0.00,30443.12,0,1514.13,29.09,1543.22,31986.34,4.66,31991.00,34,
-,-,North,Coffee Island HQ-27,2026-02-01,TAKEAWAY,16.00,9,3711.43,0.00,0,0,0,0.00,3711.43,0,185.58,0,185.58,3897.01,2.99,3900.00,8,
-,-,North,Coffee Island AIPL,2026-02-01,DELIVERY,35.00,19,11504.75,4903.93,200.00,180.00,0,380.00,6600.82,349.06,0,0,349.06,7329.88,2.12,7332.00,0,
-,-,North,Coffee Island AIPL,2026-02-01,DINE IN,100.00,39,26040.67,5344.05,0,0,0,0.00,20696.62,0,1034.84,0,1034.84,21731.46,3.54,21735.00,40,
-,-,North,Coffee Island AIPL,2026-02-01,TAKEAWAY,21.00,14,5524.42,0.00,0,0,0,0.00,5524.42,0,276.22,0,276.22,5800.64,2.36,5803.00,12,
-,-,West,Coffee Island - Amanora Mall,2026-02-01,DELIVERY,16.00,8,4987.29,2008.50,100.00,60.00,0,160.00,2978.79,156.96,0,0,156.96,3295.75,1.25,3297.00,0,
-,-,West,Coffee Island - Amanora Mall,2026-02-01,DINE IN,244.00,104,66206.00,1840.00,0,0,0,0.00,64366.00,0,3195.04,83.74,3278.78,67644.78,18.22,67663.00,49,
-,-,West,Coffee Island - Amanora Mall,2026-02-01,TAKEAWAY,23.00,14,6991.13,5.00,0,0,0,0.00,6986.13,0,277.36,259.01,536.37,7522.50,3.50,7526.00,14,
-,-,West,Coffee Island - Tribeca Pune,2026-02-01,DINE IN,116.00,58,29877.14,979.00,0,0,0,0.00,28898.14,0,1444.92,0,1444.92,30343.06,12.94,30356.00,73,
-,-,West,Coffee Island - Tribeca Pune,2026-02-01,DELIVERY,14.00,8,4710.00,1502.98,20.00,140.00,0,160.00,3207.02,168.36,0,0,168.36,3535.38,0.62,3536.00,0,
-,-,West,Coffee Island - Tribeca Pune,2026-02-01,TAKEAWAY,15.00,7,3588.57,344.00,0,0,0,0.00,3244.57,0,158.48,13.53,172.01,3416.58,0.42,3417.00,6,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-01,DINE IN,226.00,93,59951.91,901.00,0,0,0,0.00,59050.91,0,2952.56,0,2952.56,62003.47,21.53,62025.00,157,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-01,DELIVERY,29.00,19,8933.00,3864.99,0,100.00,0,100.00,5068.01,258.40,0,0,258.40,5426.41,2.59,5429.00,0,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-01,TAKEAWAY,48.00,27,13130.00,116.00,0,0,0,0.00,13014.00,0,650.71,0,650.71,13664.71,5.29,13670.00,38,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-01,ONLINE,1.00,1,340.00,340.00,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-01,DELIVERY,5.00,3,1485.00,564.99,0,40.00,0,40.00,920.01,46.00,0,0,46.00,1006.01,-0.01,1006.00,0,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-01,DINE IN,123.00,56,33565.74,665.00,0,0,0,0.00,32900.74,0,1645.07,0,1645.07,34545.81,12.19,34558.00,56,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-01,TAKEAWAY,15.00,12,3376.67,0.00,0,0,0,0.00,3376.67,0,168.84,0,168.84,3545.51,3.49,3549.00,13,
-,-,North,Coffee Island NSP - New Delhi,2026-02-01,DINE IN,141.00,62,35727.98,7737.00,0,0,0,0.00,27990.98,0,1399.58,0,1399.58,29390.56,5.44,29396.00,201,
-,-,North,Coffee Island NSP - New Delhi,2026-02-01,TAKEAWAY,14.00,9,3967.14,51.00,0,0,0,0.00,3916.14,0,195.81,0,195.81,4111.95,2.05,4114.00,8,
-,-,North,Coffee Island NSP - New Delhi,2026-02-01,DELIVERY,3.00,3,985.42,305.00,20.00,40.00,0,60.00,680.42,35.02,0,0,35.02,775.44,0.56,776.00,0,


