Generated On: 2026-02-03 10:50:43 am

*All the values shown here are in INR,


Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Staff Welfare,Total Charges,Net Sale,GST @5%,ECom_GST@5%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
-,-,North,Coffee Island Beyond GK II,2026-02-02,TAKEAWAY,19.00,14,5113.33,502.00,0,0,0,0.00,4611.33,230.57,0,0,230.57,4841.90,5.10,4847.00,14,
-,-,North,Coffee Island Beyond GK II,2026-02-02,DELIVERY,25.00,15,7428.42,2987.00,240.00,60.00,0,300.00,4441.42,0,237.07,0,237.07,4978.49,0.51,4979.00,0,
-,-,North,Coffee Island Beyond GK II,2026-02-02,DINE IN,79.00,38,19325.48,948.50,0,0,899.85,899.85,18376.98,963.91,0,0,963.91,20240.74,3.26,20244.00,52,
-,-,North,Coffee Island HQ-27,2026-02-02,DELIVERY,66.00,39,18959.00,8136.15,400.00,380.00,0,780.00,10822.85,0,580.14,0,580.14,12182.99,2.01,12185.00,0,
-,-,North,Coffee Island HQ-27,2026-02-02,TAKEAWAY,22.00,14,5170.00,467.00,0,0,0,0.00,4703.00,235.15,0,0,235.15,4938.15,2.85,4941.00,10,
-,-,North,Coffee Island HQ-27,2026-02-02,DINE IN,78.00,32,18185.00,1951.00,0,0,0,0.00,16234.00,811.73,0,0,811.73,17045.73,5.27,17051.00,33,
-,-,North,Coffee Island AIPL,2026-02-02,DELIVERY,19.00,12,5500.00,2184.00,160.00,80.00,0,240.00,3316.00,0,177.82,0,177.82,3733.82,1.18,3735.00,0,
-,-,North,Coffee Island AIPL,2026-02-02,TAKEAWAY,21.00,12,5109.00,265.00,0,0,0,0.00,4844.00,242.20,0,0,242.20,5086.20,2.80,5089.00,11,
-,-,North,Coffee Island AIPL,2026-02-02,DINE IN,16.00,11,3643.00,297.50,0,0,0,0.00,3345.50,167.27,0,0,167.27,3512.77,2.23,3515.00,10,
-,-,West,Coffee Island - Amanora Mall,2026-02-02,DINE IN,75.00,37,19225.24,1040.50,0,0,0,0.00,18184.74,909.25,0,0,909.25,19093.99,6.01,19100.00,18,
-,-,West,Coffee Island - Amanora Mall,2026-02-02,TAKEAWAY,3.00,3,750.00,190.00,0,0,0,0.00,560.00,28.00,0,0,28.00,588.00,0.00,588.00,4,
-,-,West,Coffee Island - Amanora Mall,2026-02-02,DELIVERY,7.00,4,2150.00,1075.00,60.00,20.00,0,80.00,1075.00,0,57.75,0,57.75,1212.75,0.25,1213.00,0,
-,-,West,Coffee Island - Tribeca Pune,2026-02-02,DINE IN,30.00,17,7731.33,128.00,0,0,0,0.00,7603.33,380.17,0,0,380.17,7983.50,2.50,7986.00,24,
-,-,West,Coffee Island - Tribeca Pune,2026-02-02,DELIVERY,13.00,9,4340.00,1620.00,100.00,80.00,0,180.00,2720.00,0,145.00,0,145.00,3045.00,2.00,3047.00,0,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-02,DINE IN,148.00,79,33576.32,239.00,0,0,0,0.00,33337.32,1666.87,0,0,1666.87,35004.19,15.81,35020.00,124,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-02,TAKEAWAY,35.00,24,9155.14,387.00,0,0,0,0.00,8768.14,438.42,0,0,438.42,9206.56,4.44,9211.00,28,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-02,DELIVERY,33.00,22,10422.00,4363.60,0,200.00,0,200.00,6058.40,0,312.95,0,312.95,6571.35,0.65,6572.00,0,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-02,DELIVERY,3.00,3,880.00,440.00,0,0,0,0.00,440.00,0,22.00,0,22.00,462.00,0.00,462.00,0,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-02,TAKEAWAY,4.00,4,736.67,0.00,0,0,0,0.00,736.67,36.84,0,0,36.84,773.51,0.49,774.00,4,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-02,DINE IN,28.00,14,7258.57,250.00,0,0,0,0.00,7008.57,310.00,0,145.54,455.54,7464.11,1.89,7466.00,13,
-,-,North,Coffee Island NSP - New Delhi,2026-02-02,DINE IN,66.00,34,15820.38,366.00,0,0,0,0.00,15454.38,772.73,0,0,772.73,16227.11,6.89,16234.00,163,
-,-,North,Coffee Island NSP - New Delhi,2026-02-02,TAKEAWAY,8.00,4,1735.00,165.50,0,0,0,0.00,1569.50,78.48,0,0,78.48,1647.98,1.02,1649.00,23,
-,-,North,Coffee Island NSP - New Delhi,2026-02-02,DELIVERY,29.00,14,8180.00,3537.50,100.00,180.00,0,280.00,4642.50,0,237.13,0,237.13,5159.63,2.37,5162.00,0,


