Generated On: 2026-02-04 10:26:31 am

*All the values shown here are in INR,


Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Staff Welfare,Packaging Charge [CART - SWIGGY],Restaurant Packaging Charges,Total Charges,Net Sale,GST @5%,ECom_GST@5%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
-,-,North,Coffee Island Beyond GK II,2026-02-03,DINE IN,130.00,49,34866.48,2725.02,1575.53,0,0,1575.53,32141.46,1685.94,0,0,1685.94,35402.93,3.07,35406.00,76,
-,-,North,Coffee Island Beyond GK II,2026-02-03,DELIVERY,50.00,26,14808.57,6348.99,0,100.00,420.00,520.00,8459.58,0,448.97,0,448.97,9428.55,4.45,9433.00,0,
-,-,North,Coffee Island Beyond GK II,2026-02-03,TAKEAWAY,25.00,14,6196.08,143.00,0,0,0,0.00,6053.08,297.89,0,17.14,315.03,6368.11,1.89,6370.00,20,
-,-,North,Coffee Island HQ-27,2026-02-03,DELIVERY,56.00,28,16412.33,7142.49,0,320.00,240.00,560.00,9269.84,0,491.50,0,491.50,10321.34,4.66,10326.00,0,
-,-,North,Coffee Island HQ-27,2026-02-03,TAKEAWAY,24.00,15,5768.11,293.57,0,0,0,0.00,5474.54,273.73,0,0,273.73,5748.27,2.73,5751.00,12,
-,-,North,Coffee Island HQ-27,2026-02-03,DINE IN,81.00,32,19883.77,2198.11,0,0,0,0.00,17685.66,859.03,0,91.17,950.20,18635.86,4.14,18640.00,29,
-,-,North,Coffee Island AIPL,2026-02-03,DELIVERY,24.00,14,7114.00,2798.49,0,180.00,100.00,280.00,4315.51,0,229.79,0,229.79,4825.30,1.70,4827.00,0,
-,-,North,Coffee Island AIPL,2026-02-03,DINE IN,50.00,24,12492.10,624.00,0,0,0,0.00,11868.10,593.42,0,0,593.42,12461.52,2.48,12464.00,19,
-,-,North,Coffee Island AIPL,2026-02-03,TAKEAWAY,7.00,3,1960.00,0.00,0,0,0,0.00,1960.00,98.00,0,0,98.00,2058.00,0.00,2058.00,3,
-,-,West,Coffee Island - Amanora Mall,2026-02-03,DINE IN,89.00,47,21495.72,748.00,0,0,0,0.00,20747.72,1037.40,0,0,1037.40,21785.12,10.88,21796.00,27,
-,-,West,Coffee Island - Amanora Mall,2026-02-03,DELIVERY,6.00,3,1890.00,715.00,0,0,60.00,60.00,1175.00,0,61.75,0,61.75,1296.75,0.25,1297.00,0,
-,-,West,Coffee Island - Amanora Mall,2026-02-03,TAKEAWAY,14.00,7,3320.00,0.00,0,0,0,0.00,3320.00,166.00,0,0,166.00,3486.00,2.00,3488.00,9,
-,-,West,Coffee Island - Tribeca Pune,2026-02-03,TAKEAWAY,1.00,1,290.00,0.00,0,0,0,0.00,290.00,14.50,0,0,14.50,304.50,0.50,305.00,1,
-,-,West,Coffee Island - Tribeca Pune,2026-02-03,DINE IN,55.00,30,13192.00,727.50,0,0,0,0.00,12464.50,623.24,0,0,623.24,13087.74,5.26,13093.00,36,
-,-,West,Coffee Island - Tribeca Pune,2026-02-03,DELIVERY,27.00,13,8196.95,3422.00,0,100.00,160.00,260.00,4774.95,0,251.74,0,251.74,5286.69,1.31,5288.00,0,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-03,DINE IN,156.00,79,39475.66,577.00,0,0,0,0.00,38898.66,1944.95,0,0,1944.95,40843.61,12.39,40856.00,107,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-03,TAKEAWAY,29.00,23,7740.00,43.00,0,0,0,0.00,7697.00,384.86,0,0,384.86,8081.86,6.14,8088.00,23,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-03,DELIVERY,55.00,35,16191.44,7260.50,0,440.00,0,440.00,8930.94,0,468.55,0,468.55,9839.49,4.51,9844.00,0,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-03,TAKEAWAY,2.00,2,550.00,0.00,0,0,0,0.00,550.00,27.50,0,0,27.50,577.50,0.50,578.00,2,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-03,DINE IN,34.00,21,6401.68,523.80,0,0,0,0.00,5877.88,293.93,0,0,293.93,6171.81,2.19,6174.00,18,
-,-,North,Coffee Island NSP - New Delhi,2026-02-03,DINE IN,65.00,29,13436.20,191.50,0,0,0,0.00,13244.70,556.73,0,379.83,936.56,14181.26,3.74,14185.00,109,
-,-,North,Coffee Island NSP - New Delhi,2026-02-03,DELIVERY,28.00,12,8962.02,3607.05,0,180.00,60.00,240.00,5354.97,0,264.43,22.81,287.24,5882.21,0.79,5883.00,0,
-,-,North,Coffee Island NSP - New Delhi,2026-02-03,TAKEAWAY,4.00,2,900.00,0.00,0,0,0,0.00,900.00,45.00,0,0,45.00,945.00,0.00,945.00,3,


