Generated On: 2026-02-05 01:49:03 pm

*All the values shown here are in INR,


Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Staff Welfare,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Total Charges,Net Sale,GST @5%,GST @18%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
-,-,North,Coffee Island Beyond GK II,2026-02-04,TAKEAWAY,20.00,15,5345.00,89.00,0,0,0,0.00,5256.00,262.80,0,0,262.80,5518.80,2.20,5521.00,17,
-,-,North,Coffee Island Beyond GK II,2026-02-04,DINE IN,114.00,38,28232.23,1563.00,1350.47,0,0,1350.47,26669.23,1377.78,83.74,0,1461.52,29481.22,2.78,29484.00,64,
-,-,North,Coffee Island Beyond GK II,2026-02-04,DELIVERY,22.00,12,6131.74,1889.98,0,160.00,80.00,240.00,4241.76,0,0,224.09,224.09,4705.85,2.15,4708.00,0,
-,-,North,Coffee Island HQ-27,2026-02-04,DINE IN,119.00,41,29516.20,2528.24,0,0,0,0.00,26987.96,1349.51,0,0,1349.51,28337.47,4.53,28342.00,40,
-,-,North,Coffee Island HQ-27,2026-02-04,TAKEAWAY,27.00,20,7485.71,578.00,0,0,0,0.00,6907.71,345.39,0,0,345.39,7253.10,2.90,7256.00,17,
-,-,North,Coffee Island HQ-27,2026-02-04,DELIVERY,39.00,26,12025.00,5577.00,0,280.00,240.00,520.00,6448.00,0,0,348.41,348.41,7316.41,4.59,7321.00,0,
-,-,North,Coffee Island AIPL,2026-02-04,TAKEAWAY,24.00,10,6100.00,238.00,0,0,0,0.00,5862.00,293.10,0,0,293.10,6155.10,1.90,6157.00,9,
-,-,North,Coffee Island AIPL,2026-02-04,DELIVERY,22.00,15,6845.50,2231.99,0,180.00,120.00,300.00,4613.51,0,0,245.69,245.69,5159.20,-0.20,5159.00,0,
-,-,North,Coffee Island AIPL,2026-02-04,DINE IN,28.00,13,6420.71,622.57,0,0,0,0.00,5798.14,289.93,0,0,289.93,6088.07,0.93,6089.00,11,
-,-,West,Coffee Island - Amanora Mall,2026-02-04,TAKEAWAY,7.00,6,1647.14,85.00,0,0,0,0.00,1562.14,78.11,0,0,78.11,1640.25,1.75,1642.00,9,
-,-,West,Coffee Island - Amanora Mall,2026-02-04,DELIVERY,17.00,12,5425.00,2409.00,0,220.00,20.00,240.00,3016.00,0,0,162.82,162.82,3418.82,0.18,3419.00,0,
-,-,West,Coffee Island - Amanora Mall,2026-02-04,DINE IN,95.00,41,25503.84,377.00,0,0,0,0.00,25126.84,1256.34,0,0,1256.34,26383.18,9.82,26393.00,9,
-,-,West,Coffee Island - Tribeca Pune,2026-02-04,DELIVERY,25.00,11,8163.90,3423.92,0,100.00,120.00,220.00,4739.98,0,0,248.01,248.01,5207.99,1.01,5209.00,0,
-,-,West,Coffee Island - Tribeca Pune,2026-02-04,DINE IN,39.00,26,8591.85,360.88,0,0,0,0.00,8230.97,411.56,0,0,411.56,8642.53,3.47,8646.00,38,
-,-,West,Coffee Island - Tribeca Pune,2026-02-04,TAKEAWAY,2.00,1,570.00,0.00,0,0,0,0.00,570.00,28.50,0,0,28.50,598.50,0.50,599.00,2,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-04,DINE IN,177.00,88,42947.10,152.00,0,0,0,0.00,42795.10,2139.76,0,0,2139.76,44934.86,17.14,44952.00,136,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-04,TAKEAWAY,35.00,22,8184.30,85.00,0,0,0,0.00,8099.30,404.97,0,0,404.97,8504.27,5.73,8510.00,29,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-04,DELIVERY,34.00,21,10254.00,4172.50,0,0,140.00,140.00,6081.50,0,0,311.07,311.07,6532.57,2.43,6535.00,0,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-04,DINE IN,60.00,26,16379.50,135.00,0,0,0,0.00,16244.50,812.23,0,0,812.23,17056.73,5.27,17062.00,133,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-04,TAKEAWAY,10.00,7,2543.57,0.00,0,0,0,0.00,2543.57,127.18,0,0,127.18,2670.75,2.25,2673.00,16,
-,-,North,Coffee Island NSP - New Delhi,2026-02-04,TAKEAWAY,15.00,6,4200.00,0.00,0,0,0,0.00,4200.00,210.00,0,0,210.00,4410.00,2.00,4412.00,6,
-,-,North,Coffee Island NSP - New Delhi,2026-02-04,DINE IN,83.00,41,19799.14,1558.50,0,0,0,0.00,18240.64,912.07,0,0,912.07,19152.71,5.29,19158.00,37,
-,-,North,Coffee Island NSP - New Delhi,2026-02-04,DELIVERY,14.00,8,3674.75,1245.99,0,80.00,80.00,160.00,2428.76,0,0,125.44,125.44,2714.20,-0.20,2714.00,0,


