Generated On: 2026-02-06 10:36:38 am

*All the values shown here are in INR,


Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Staff Welfare,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Total Charges,Net Sale,GST @5%,ECom_GST@5%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
-,-,North,Coffee Island Beyond GK II,2026-02-05,TAKEAWAY,19.00,16,5320.00,176.50,0,0,0,0.00,5143.50,257.18,0,0,257.18,5400.68,5.32,5406.00,17,
-,-,North,Coffee Island Beyond GK II,2026-02-05,DINE IN,61.00,26,13015.00,789.00,551.06,0,0,551.06,12226.00,638.88,0,0,638.88,13415.94,1.06,13417.00,35,
-,-,North,Coffee Island Beyond GK II,2026-02-05,DELIVERY,28.00,17,8169.56,1970.99,0,280.00,60.00,340.00,6198.57,0,318.47,30.46,348.93,6887.50,1.50,6889.00,0,
-,-,North,Coffee Island HQ-27,2026-02-05,DELIVERY,59.00,37,17251.57,7230.98,0,260.00,480.00,740.00,10020.59,0,538.05,0,538.05,11298.64,4.36,11303.00,0,
-,-,North,Coffee Island HQ-27,2026-02-05,DINE IN,92.00,43,24498.98,3637.86,0,0,0,0.00,20861.12,1033.58,0,34.19,1067.77,21928.89,4.11,21933.00,26,
-,-,North,Coffee Island HQ-27,2026-02-05,TAKEAWAY,20.00,13,4450.00,615.00,0,0,0,0.00,3835.00,191.76,0,0,191.76,4026.76,1.24,4028.00,12,
-,-,North,Coffee Island AIPL,2026-02-05,DELIVERY,44.00,28,13283.71,5836.86,0,460.00,100.00,560.00,7446.85,0,399.37,0,399.37,8406.22,3.78,8410.00,0,
-,-,North,Coffee Island AIPL,2026-02-05,TAKEAWAY,15.00,8,4350.00,82.00,0,0,0,0.00,4268.00,213.40,0,0,213.40,4481.40,-0.40,4481.00,8,
-,-,North,Coffee Island AIPL,2026-02-05,DINE IN,35.00,17,8225.00,832.00,0,0,0,0.00,7393.00,369.66,0,0,369.66,7762.66,0.34,7763.00,22,
-,-,West,Coffee Island - Amanora Mall,2026-02-05,TAKEAWAY,10.00,6,2770.00,4.00,0,0,0,0.00,2766.00,138.30,0,0,138.30,2904.30,0.70,2905.00,8,
-,-,West,Coffee Island - Amanora Mall,2026-02-05,DINE IN,68.00,38,15145.00,321.00,0,0,0,0.00,14824.00,741.20,0,0,741.20,15565.20,4.80,15570.00,22,
-,-,West,Coffee Island - Amanora Mall,2026-02-05,DELIVERY,9.00,6,2760.00,1112.00,0,80.00,40.00,120.00,1648.00,0,88.40,0,88.40,1856.40,-0.40,1856.00,0,
-,-,West,Coffee Island - Tribeca Pune,2026-02-05,DINE IN,63.00,32,15487.29,990.27,0,0,0,0.00,14497.02,724.88,0,0,724.88,15221.90,4.10,15226.00,33,
-,-,West,Coffee Island - Tribeca Pune,2026-02-05,DELIVERY,10.00,6,3241.00,1100.58,0,80.00,40.00,120.00,2140.42,0,113.01,0,113.01,2373.43,-0.43,2373.00,0,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-05,DELIVERY,64.00,33,19087.37,6977.65,0,0,320.00,320.00,12109.72,0,621.49,0,621.49,13051.21,-0.21,13051.00,0,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-05,DINE IN,184.00,88,48628.10,729.00,0,0,0,0.00,47899.10,2394.97,0,0,2394.97,50294.07,17.93,50312.00,127,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-05,TAKEAWAY,28.00,20,6258.60,40.00,0,0,0,0.00,6218.60,310.94,0,0,310.94,6529.54,2.46,6532.00,24,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-05,ONLINE,1.00,1,340.00,340.00,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-05,DINE IN,61.00,29,15706.18,366.69,0,0,0,0.00,15339.49,735.87,0,112.01,847.88,16187.37,3.63,16191.00,31,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-05,TAKEAWAY,1.00,1,330.00,0.00,0,0,0,0.00,330.00,16.50,0,0,16.50,346.50,0.50,347.00,2,
-,-,North,Coffee Island NSP - New Delhi,2026-02-05,DELIVERY,20.00,15,6301.90,2424.99,0,80.00,220.00,300.00,3876.91,0,197.86,0,197.86,4374.77,2.23,4377.00,0,
-,-,North,Coffee Island NSP - New Delhi,2026-02-05,DINE IN,81.00,37,17832.14,638.50,0,0,0,0.00,17193.64,859.69,0,0,859.69,18053.33,5.67,18059.00,157,
-,-,North,Coffee Island NSP - New Delhi,2026-02-05,TAKEAWAY,6.00,4,1765.00,46.50,0,0,0,0.00,1718.50,85.93,0,0,85.93,1804.43,0.57,1805.00,3,


