Super category,Category,Item name,Section,
Beverages,Choose Ice Cream,Vanilla Ice Cream @50,BEVERAGES,
Beverages,Choose of Crema,Salted Caramel Crema @50,BEVERAGES,
Beverages,Choose of Syrup,Irish Syrup @50,BEVERAGES,
Beverages,Choose of Beans,Volcano Blend @0,BEVERAGES,
Beverages,Cold Brews,Islander Cold Coffee-Lrg,BEVERAGES,
Cold Beverages,Choose of Milk,Regular Milk @0,BEVERAGES,
Cold Beverages,Choose of Beans,Master Blend - (Default),BEVERAGES,
Cold Beverages,Choose of Beans,Volcano Blend @0,BEVERAGES,
Hot Beverages,Hot Brews,Cortardo (Small),BEVERAGES,
Cold Beverages,Choose of Milk,Soya Milk @50,BEVERAGES,
Cold Beverages,Choose of Extra Shot - 50,Extra Shot - Volcano Blend,BEVERAGES,
Cold Beverages,Choose of Sauce,Chocolate Sauce @50,BEVERAGES,
Cold Beverages,Choose of Extra Shot - 50,Extra Shot - Master Blend,BEVERAGES,
Cold Beverages,Choose of Syrup,Irish Syrup @50,BEVERAGES,
Cold Beverages,Choose of Beans,Ethiopia Blend @25,BEVERAGES,
Cold Beverages,Choose of Boba,Coffee Popping Boba - 50,BEVERAGES,
Cold Beverages,Choose of Extra Shot - 50,Extra Shot - Ethiopia Single Estate,BEVERAGES,
Cold Beverages,Cold Brews,Iced Americano-Lrg,BEVERAGES,
Cold Beverages,Choose of Milk,Regular Milk @25,BEVERAGES,
Cold Beverages,Island Special-Cold,Iced Vietneamese Shakerato,BEVERAGES,
Cold Beverages,Choose of Beans,Volcano Blend - (Default),BEVERAGES,
Hot Beverages,Hot Tea,Indian Masala Tea,BEVERAGES,
Cold Beverages,Choose of Syrup,Salted Caramel Syrup @50,BEVERAGES,
Hot Beverages,Hot Tea,Morning Breakfast Tea,BEVERAGES,
Cold Beverages,Choose of Milk,Almond Milk @50,BEVERAGES,
Cold Beverages,Choose of Extra Shot - 50,Extra Shot - Kenya Single Estate,BEVERAGES,
Desserts,Gelato,Espresso Double Scoop,GELATO,
Combos,Veg Combo,Caramel + The Ultimate Trail Mix,COMBO,
Cold Beverages,Island Special-Cold,Freddo Espresso Ristretto-Lrg,BEVERAGES,
Combos,Veg Combo,Cookie And Cream + The Ultimate Trail Mix,COMBO,
Combos,Non-Veg Combo,Non Veg Melt & Iced Latte Combo,COMBO,
Main Course,Hand Made Sandwiches,Mushroom & Scrambled Egg White Broccomole Bagel,FOOD,
Desserts,Gelato,Mango Sorbet Double Scoop,GELATO,
Combos,Veg Combo,Melt Veg & Iced Latte Combo,COMBO,
Desserts,Gelato,French Vanilla Double Scoop,GELATO,
Main Course,Pasta,Peperoncino Spaghetti Aglio Olio,FOOD,
Desserts,Gelato,Belgian Chocolate Double Scoop,GELATO,
Cold Beverages,Granita,Slushed Pineapple Mango Sunshine Granita-Lrg,BEVERAGES,
Desserts,Gelato,Belgian Chocolate Singal Scoop,GELATO,
Desserts,Gelato,Espresso Single Scoop,GELATO,
Desserts,Gelato,French Vanilla Single Scoop,GELATO,
Cold Beverages,Choose of Extra Shot - 50,Extra Shot - Kenya Blend,BEVERAGES,
Hot Beverages,Island Special-Hot,Spanish Bombon (Small),BEVERAGES,
Combos,Non-Veg Combo,Non Veg Pasta & Dessert Combo,COMBO,
Cold Beverages,Granita,Slushed Peach Paradise Granita-Med,BEVERAGES,
Combos,Veg Combo,French Butter Croissant  With Hot Cappucino,COMBO,
Main Course,Hand Made Sandwiches,Roasted Turkey Tomato & Cheese Croissant,FOOD,
Desserts,Gelato,Dark Chocolate SSC Singal Scoop,GELATO,
Cold Beverages,Granita,Slushed Peach Paradise Granita-Lrg,BEVERAGES,
Combos,Veg Combo,Parker Hosue Cream Pie Croissant With Hot Cappucino,COMBO,
Cold Beverages,Granita,Slushed Pineapple Mango Sunshine Granita-Med,BEVERAGES,
Main Course,Pasta,Rich Meatball Spaghetti,FOOD,
Cold Beverages,Granita,Slushed Strawberry Granita-Lrg,BEVERAGES,
Main Course,Pasta,Classic Creamy Mac & Cheese,FOOD,
Main Course,Hand Made Sandwiches,Roasted Tomato & Bocconcini Croissant,FOOD,
Combos,Veg Combo,Espresso + The Ultimate Trail Mix,COMBO,
Desserts,Gelato,Dark Chocolate SSC Double Scoop,GELATO,
Cold Beverages,Granita,Slushed Strawberry Granita-Med,BEVERAGES,
Desserts,Gelato,Mango Sorbet Singal Scoop,GELATO,
Cold Beverages,Choose of Beans,Kenya Blend @25,BEVERAGES,
Cold Beverages,Choose of Beans,Master Blend @0,BEVERAGES,
Desserts,Gelato,White Chocolate Baileys Singal Scoop,GELATO,
Combos,Non-Veg Combo,Non Veg Toastie & Islander Cold Coffee Combo,COMBO,
Main Course,Hand Made Sandwiches,Garlic Mushroom & Caramelized Onion Melt,FOOD,
Cold Beverages,Choose of Beans,Volcano Blend 36g- (Default),BEVERAGES,
Cold Beverages,Island Special-Cold,Freddo Cappuccino-Lrg,BEVERAGES,
Cold Beverages,Choose of Beans,Kenya Single Estate @50,BEVERAGES,
Main Course,Pizza,Roasted Tomato Basil Bocconcini Pide,FOOD,
Snacks,Trail Mix,Chocolate Cashew,RETAIL,
Desserts,Desserts,Belgian Chocolate Fudge Brownie,DESSERT,
Main Course,Pizza,Chipotle Chicken Mozzarella Pide,FOOD,
Cold Beverages,Choose of Milk,Oat Milk @50,BEVERAGES,
Cold Beverages,Cold Brews,Iced Latte Signature-Med,BEVERAGES,
Snacks,Trail Mix,Masala Cashew,RETAIL,
ADDON,Choice of Beans,Ethiopia Blend @35,BEVERAGES,
Cold Beverages,Choice of Extra Shot - 50,Extra Shot - Ethiopia Blend,BEVERAGES,
ADDON,Choice of Milk,Oat Milk @50,BEVERAGES,
Merch,Water Bottle,Ebony Islander Bottle (Matt Black),BEVERAGES,
Quick Bites,Croissant Cookie & Muffin,Sea Salt Caramel Brookie,FOOD,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Peperoncino Spaghetti Aglio Olio with Cold Coffee (DI),COMBO,
ADDON,Choice of Milk,Regular - Milk -130g Default,BEVERAGES,
ADDON,Choice of Milk,Regular - Milk -90g Default,BEVERAGES,
ADDON,Choice of Milk,Regular - Milk -140g Default,BEVERAGES,
ADDON,Choice of Beans,Kenya Blend @35,BEVERAGES,
Hot Beverages,Hot Brews,Hot Latte Signature-reg,BEVERAGES,
ADDON,Choice of Beans,Volcano Blend (Default),BEVERAGES,
Breakfast Specials (Make your own),Breakfast Specials (Make your own),Breakfast Specials 2.0,COMBO,
Beans & Powder,Instant Coffee,Instant Classic Coffee Jar 50gm,RETAIL,
Cold Beverages,Refresh,Bobastic Peach Paradise Refresh Tea-Med,BEVERAGES,
Quick Bites,Puff & Toastie,Korean Garlic Mushroom Puff,FOOD,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Chipotle Chicken With Broccomole with Hot Coffee (DI),COMBO,
Main Course,Wholesome Wrap,Smoked Cottage Cheese Wrap,FOOD,
Cold Beverages,Cold Brews,Bobastic Coconut Matcha,BEVERAGES,
Quick Bites,Pops,Korean Pop - Potato,FOOD,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Peperoncino Spaghetti Aglio Olio with Hot Coffee (DI),COMBO,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Roasted Tomato & Bocconcini Croissant with Hot Coffee (DI),COMBO,
ADDON,Choice of Beans,Ethiopia Single Estate 15g@0,BEVERAGES,
Hot Beverages,Hot Brews,Espresso (Single),BEVERAGES,
Hot Beverages,Hot Brews,Ibrik Coffee,BEVERAGES,
Desserts,Desserts,Cold Brew Tiramisu,FOOD,
Hot Beverages,Hot Chocolate,Guilt-Free Hot Chocolate-Reg,BEVERAGES,
Hot Beverages,Hot Chocolate,Signature Belgian Dark Hot Chocolate-reg,BEVERAGES,
Cold Beverages,Island Special-Cold,Orange Bumble Coffee,BEVERAGES,
Quick Bites,Puff & Toastie,Korean Bun,FOOD,
Hot Beverages,Hot Tea,Chamomile Sunset Classic Tea,BEVERAGES,
ADDON,Choice of Milk,Almond Milk @50,BEVERAGES,
Hot Beverages,Hot Brews,Americano-reg,BEVERAGES,
Main Course,Rice Bowl,Chipotle Chicken Broccomole Rice Bowl,FOOD,
ADDON,Choice of Milk,Regular - Milk -60g Default,BEVERAGES,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Cottage Cheese Fajita With Broccomole with Cold Coffee (DI),COMBO,
Quick Bites,Croissant Cookie & Muffin,French Butter Croissant,FOOD,
Hot Beverages,Hot Brews,Cappuccino-reg,BEVERAGES,
Hot Beverages,Alternative Brews,Chemex,BEVERAGES,
Desserts,Desserts,Choco Fudge Delight,FOOD,
ADDON,Choice of Beans,Kenya Single Estate @75,BEVERAGES,
ADDON,Choice of Beans,Master Blend - (Default),BEVERAGES,
ADDON,Choice of Milk,Regular - Milk -160g Default,BEVERAGES,
Cold Beverages,Island Special-Cold,Freddo Cappuccino-Med,BEVERAGES,
ADDON,Choice of Beans,Master Blend @0,BEVERAGES,
Cold Beverages,Island Special-Cold,Java Chip Killer-Medium,BEVERAGES,
Ready To Drink,Cold Brew,500 Ml Water Bottle,BEVERAGES,
Emp Meal,Emp Meal,Emp Meal,EMP MEAL,
Desserts,Desserts,Pecan & Date Tea Cake,FOOD,
Main Course,Hand Made Sandwiches,Cheesy Meatball Melt,FOOD,
ADDON,Choice of Milk,Skimmed Milk @50,BEVERAGES,
Cold Beverages,Milk Shake,Double Chocolate Indulgent Milkshake-Med,BEVERAGES,
ADDON,Choice of Crema,Salted Caramel Crema - 0  (Default),BEVERAGES,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Sriracha Chicken & Avocado Wrap with Cold Coffee (DI),COMBO,
Hot Beverages,Hot Brews,Flat White,BEVERAGES,
Quick Bites,Puff & Toastie,Herb Infused Roasted Chicken Toastie,FOOD,
Hot Beverages,Island Special-Hot,Mocha Espressione Hot-reg,BEVERAGES,
Cold Beverages,Cold Brews,Bobastic Coffeeccino-Med,BEVERAGES,
ADDON,Choice of Syrup,Irish Syrup @50,BEVERAGES,
Cold Beverages,Cold Brews,Islander Cold Coffee-Med,BEVERAGES,
Cold Beverages,Cold Brews,Iced Americano-Med,BEVERAGES,
Cold Beverages,Island Special-Cold,Mocha Espressione Cold-Med,BEVERAGES,
ADDON,Choice of Milk,Regular - Milk -120g Default,BEVERAGES,
ADDON,Choice of Milk,Regular - Milk -150g Default,BEVERAGES,
Quick Bites,Croissant Cookie & Muffin,Rocky Road & Pecan Muffin,FOOD,
Snacks,Trail Mix,The Ultimate  Sweet Crunchy Nut Mix,RETAIL,
Cold Beverages,Overnight Brew,Prebiotic Fizz,BEVERAGES,
Cold Beverages,Cold Brews,Fizzy Espressione (Tonic Water),BEVERAGES,
Cold Beverages,Overnight Brew,Overnite Espresso Classic Brew,BEVERAGES,
Desserts,Desserts,Nolen Gur Banoffee Jar,FOOD,
ADDON,Choice of Sauce,Chocolate Sauce @50,BEVERAGES,
Quick Bites,Puff & Toastie,Peri Peri Cheese Toastie,FOOD,
Hot Beverages,Hot Chocolate,Hazelnut Indulgent Hot Chocolate-Reg,BEVERAGES,
Beans & Powder,Beans,Global Blend Kenya (Beans),RETAIL,
Beans & Powder,Beans,Global Blend Ethiopia (Beans),RETAIL,
Beans & Powder,Beans,Single Estate Kenya (Beans),RETAIL,
Cold Beverages,Overnight Brew,Overnite Espresso Brew (Tonic Water),BEVERAGES,
ADDON,Choice of Syrup,Hazelnut Syrup @50,BEVERAGES,
Merch,Sipper,Islander Flask (Pink),RETAIL,
Cold Beverages,Choice of Extra Shot - 50,Extra Shot - Master Blend,BEVERAGES,
Combos,Combo,Cookie & Brownie Upgrade Gelato Single Scoop,COMBO,
ADDON,Choice of Syrup,Salted Caramel Syrup @50,BEVERAGES,
Ready To Drink,Iced Tea,Peach Ice Tea,BEVERAGES,
Main Course,Hand Made Sandwiches,Fried Chicken Flaky Burger,FOOD,
Cold Beverages,Special Brews,Nitro Bubble Brew-Prebiotic Fizz,BEVERAGES,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Roasted Tomato & Bocconcini Croissant with Cold Coffee (DI),COMBO,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Smoked Cottage Cheese Wrap with Hot Coffee (DI),COMBO,
Desserts,Chocolate,Hazelnut Hour Chocolate,FOOD,
Main Course,Pasta,Roasted Chicken Mac & Cheese,FOOD,
Merch,Cup,Islander Classic Cup (Green),RETAIL,
Cold Beverages,Refresh,Valencia Orange Fresh Juice,BEVERAGES,
Main Course,Rice Bowl,Cottage Cheese Fajita Broccomole Rice Bowl,FOOD,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Smoked Cottage Cheese Wrap with Cold Coffee (DI),COMBO,
Cold Beverages,Cold Brews,The Long Pour,BEVERAGES,
Cold Beverages,Cold Brews,Vietnamese Matcha,BEVERAGES,
Main Course,Wholesome Wrap,Sriracha Chicken & Avocado Wrap,FOOD,
Desserts,Desserts,Tiramisu Paris-Brest,FOOD,
Desserts,Chocolate,Orange Haze Chocolate,FOOD,
Quick Bites,Puff & Toastie,Herb Chicken Open Puff,FOOD,
Beans & Powder,Pour Over,Pourover Assorted Box Of 5 Sachets,RETAIL,
Hot Beverages,Hot Chocolate,Hazelnut Indulgent Hot Chocolate,BEVERAGES,
Desserts,Desserts,Belgian Chocolate Fudge Brownie,FOOD,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Flaky Fried Chicken Burger with Cappuccino,COMBO,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Roasted Tomato & Bocconcini Croissant with Latte,COMBO,
Desserts,Gelato,Dark Chocolate Single Scoop,FOOD,
Hot Beverages,Island Special-Hot,Mocha Espressione Hot,BEVERAGES,
Hot Beverages,Hot Brews,Hot Latte Signature,BEVERAGES,
Desserts,Gelato,Belgian Chocolate Single Scoop,FOOD,
Merch,Mug,Islander Ivory Mug,RETAIL,
Cold Beverages,Overnight Brew,Overnite Espresso Vietnamese Brew,BEVERAGES,
Cold Beverages,Special Brews,Nitro Bubble Brew (Watermelon Prebiotic),BEVERAGES,
Hot Beverages,Hot Brews,Cappuccino,BEVERAGES,
Cold Beverages,Milk Shake,Berry Burst Paradise Milkshake,BEVERAGES,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Sriracha Chicken & Avocado Wrap with Latte,COMBO,
Cold Beverages,Island Special-Cold,Java Chip Killer,BEVERAGES,
Breakfast Specials (Make your own),Breakfast Specials (Make your own),Herb Chicken Open Puff with Hot Latte Signature,COMBO,
Hot Beverages,Alternative Brews,Island Pour Over,BEVERAGES,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Cottage Cheese Fajita With Broccomole with Iced Latte Signature,COMBO,
Hot Beverages,Hot Brews,Americano,BEVERAGES,
Breakfast Specials (Make your own),Breakfast Specials (Make your own),Belgian Chocolate Fudge Brownie with Iced Latte Signature,COMBO,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Cottage Cheese Fajita With Broccomole with Islander Cold Coffee,COMBO,
Cold Beverages,Island Special-Cold,Mocha Espressione Cold,BEVERAGES,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Chipotle Chicken With Broccomole with Cappuccino,COMBO,
Cold Beverages,Refresh,Bobastic Apple Mint Green Tea,BEVERAGES,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Cottage Cheese Fajita With Broccomole with  Latte,COMBO,
Hot Beverages,Hot Chocolate,Signature Belgian Dark Hot Chocolate,BEVERAGES,
Cold Beverages,Cold Brews,Bobastic Coffeeccino,BEVERAGES,
Cold Beverages,Cold Brews,Islander Cold Coffee,BEVERAGES,
Cold Beverages,Cold Brews,Iced Americano,BEVERAGES,
Ready To Drink,Cold Coffee,Vietnamese Cold Coffee,BEVERAGES,
Cold Beverages,Cold Brews,Iced Latte Signature,BEVERAGES,
Breakfast Specials (Make your own),Breakfast Specials (Make your own),Herb Chicken Open Puff with Cappuccino,COMBO,
Breakfast Specials (Make your own),Breakfast Specials (Make your own),French Butter Croissant with Hot Latte Signature,COMBO,
Breakfast Specials (Make your own),Breakfast Specials (Make your own),French Butter Croissant with Cappuccino,COMBO,
Cold Beverages,Granita,Slushed Peach Paradise Granita,BEVERAGES,
Cold Beverages,Iced Chocolate,Guilt-Free Iced Chocolate,BEVERAGES,
Hot Beverages,Hot Chocolate,Guilt-Free Hot Chocolate,BEVERAGES,
Cold Beverages,Milk Shake,Double Chocolate Indulgent Milkshake,BEVERAGES,
Desserts,Desserts,Choco Chip Berliner,FOOD,
Cold Beverages,Iced Chocolate,Dreamy Hazelnut Iced Chocolate,BEVERAGES,
Cold Beverages,Special Brews,Nitro Bubble Brew - Classic,BEVERAGES,
Hot Beverages,Island Special-Hot,Spanish Bombon,BEVERAGES,
Hot Beverages,Hot Brews,Cortardo,BEVERAGES,
Desserts,Desserts,Double Chocochip Paris-Brest,FOOD,
Cold Beverages,Overnight Brew,Overnite Espresso Brew (Classic),BEVERAGES,
Quick Bites,Puff & Toastie,Korean Chicken Bun,FOOD,
Cold Beverages,Island Special-Cold,Freddo Cappuccino,BEVERAGES,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Sriracha Chicken & Avocado Wrap with Islander Cold Coffee,COMBO,
Cold Beverages,Overnight Brew,Overnite Espresso Brew (Vietnamese),BEVERAGES,
Snacks,Trail Mix,Chocolate Almond,RETAIL,
Desserts,Gelato,Mango Sorbet Single Scoop,FOOD,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Smoked Cottage Cheese Wrap with Latte,COMBO,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Sriracha Chicken & Avocado Wrap with Iced Latte Signature,COMBO,
