Store ID,Outlet Name,Reviewer Name,Rating,Comment,Reply,Reply Date,Staff Mentioned,Created Date,Updated Date,Review ID,Source File
location-10866130483095140789,Coffee Island | AMANORA,Farrukh Kazi,FIVE,"Ordered a macha, which I really enjoyed and am looking to revisit for more! Thank you Karan for your personalized assistance!",It means the world to us when our brews and crew get the love they deserve.Can’t wait to welcome you back soon!,22-10-2025,Karan,14-10-2025,14-10-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT25jdFFtUk1lRWRzWnpOVlZXVjBjV3hVWWxaNU9WRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Pritam Jadhav,THREE,"I recently visited this coffee shop. The service and seating arrangement were good, and they offer a variety of coffee and cold coffee options. However, I found the taste and authenticity quite disappointing the coffee was just average. Considering the price, it didn’t feel worth it overall.","Thank you for taking the time to share your experience. We truly value your feedback on both the service and the coffee. We’ve made a note of your concern regarding taste and value, and our team is reviewing it to ensure we deliver a more authentic and satisfying coffee experience on your next visit.",22-10-2025,,14-10-2025,14-10-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2toNWFqQlllbWN0Wkc1alFXRnpibEZSVkRsdk1HYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Avina .Srivastava,FIVE,Amazing coffee and extraordinary service by  Mr Karan Vairqgar,So happy to hear that! 😊☕ Glad you had a great time! See you again soon! ✨,16-10-2025,Karan Vairqgar,13-10-2025,13-10-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xnMVdsWmhRbm8wTm1OaE9FaHRjazlWUzI5eVoxRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Aarif Shaikh,FIVE,"I tried the Freddo Cappuccino at Coffee Island today, and honestly, it was amazing! Azhar prepared it just right — smooth, cold, and perfectly balanced between creamy and strong. You can tell he really knows his coffee. Definitely coming back for another one soon",It means the world to us when our brews and crew get the love they deserve.Can’t wait to welcome you back soon!,16-10-2025,Azhar,13-10-2025,13-10-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT214Q1NYVlZWRmhJT0VjMmJIbFZTRlZYTWxCV2FuYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Iliyas Maniyar,FIVE,"Wasn’t sure what to expect from an orange-flavored coffee, but Azhar at Coffee Island convinced me to give it a shot — and man, that was worth it! 🍊 The citrus twist hits first, then the coffee kicks in smooth and strong. It’s different, refreshing, and honestly kind of addictive. Great job, Azhar!",Thank you! We're so happy you had a great coffee experience. Can’t wait to have you back - there’s always more to discover!,16-10-2025,"Azhar, Wasn",13-10-2025,13-10-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT25kUGJqZ3dhRWRaWmt0RGJ6UjFhR2RmT1U5dlZYYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,이재호 (JH),FIVE,"(Translated by Google) It's modern and nice. The store is also pretty.

(Original)
모던하고 좋아요
가게도 이쁘네요","Thank you! So glad you loved the European coffee experience right where you're at. We’ll keep the brews bold and the vibes just right, see you again soon!",27-10-2025,Translated,11-10-2025,11-10-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xoS1ZYcE9jVGR4ZFRsaU5rTjNiVFJxT1dSbWRHYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,AmbaRish,FIVE,"Great coffee, great food, and great people. Yuvaraj was so fast and helpful, even though there was a huge line. Really appreciate the service here. The Korean pop is a must try. This place is definitely worth a visit!","Love hearing that you enjoyed the coffee, food, and the vibe! The Korean Pop is indeed a crowd favorite. Can’t wait to have you back for more great sips and bites!",06-10-2025,Yuvaraj,05-10-2025,05-10-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT21OWVUyNTRNV1pGVDNJME1rZGFaSGxXTTE4dFJGRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,kishan kumar,FIVE,,"Five stars and a whole lot of love, grateful for your support!",30-09-2025,,29-09-2025,29-09-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xkRVVuRjVNV3hXV1ZrMWRsYzBXVlV6ZFcxeVNYYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,sneha mandhare,FIVE,,"Five stars and a whole lot of love, grateful for your support!",30-09-2025,,29-09-2025,29-09-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT214QmNuTm1MVFZRTW5oQmQydzNZbmhtZDBWaFJWRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Sukriti Tandon,TWO,"Visited this newly built cafe in Amanora. Great decor and atmosphere.
However did not like their coffee collection.
Unreasonable pricing of a small shot of coffee. Its called Spanish Bombon made with a spoon of condensed milk,  half a expresso shot and milk foam. It comes in a really small cup. It is like a shot. The price is 310 for this. We wanted to order Chai as well but it is made out of tea bag so why even keep it in the menu if you cant make the tea. The coffee is not available in all sizes. So disappointed with that as well.","Hi Sukriti,
We appreciate your thoughts on your recent visit. The Spanish Bombón is indeed served as a condensed short coffee experience, and we understand it may not have matched your expectations. Your feedback on tea and menu sizing has been noted, and we’re looking into it. We’re glad you liked the atmosphere and hope you’ll visit us again to explore other beverages we offer.",03-10-2025,Chai,29-09-2025,29-09-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pKa1RqVnFUMGhTYVcxMUxUZDZZMk5zZHpaTlRHYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
