Store ID,Business Name,Customer Name,Rating,Comment,Reply,Reply Date,Staff Mentioned,Created Date,Updated Date,Review ID,Source File
location-10866130483095140789,Coffee Island | AMANORA,Ritika Chaudhary,FIVE,I love the Java chip killer,,,Java,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT21SaVpHZ3hTemhDYUZKTmRTMDNkMGhvYldoRU5FRRAB,reviews.json
location-10866130483095140789,Coffee Island | AMANORA,Raja Ram A Aiyamperumal,FIVE,Nice interior..,,,Nice,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT25OTk9DMVZOazFsTTBOeU4xZ3liMjFLV2xseFlVRRAB,reviews.json
location-10866130483095140789,Coffee Island | AMANORA,rishika,FIVE,best coffee at amonora best service by tanmay,,,,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT21Rd1ZuUnhiV2RyWlU1cGNFeGxZMWxRZFRZMVNVRRAB,reviews.json
location-14073247821268226998,Coffee Island | NSP,Abhisek Dhakad,FIVE,very good experience,,,,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/14073247821268226998/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xNMFlrdE5OVkpMYzBoQlJGTkpPRlJPU1U5YVlXYxAB,reviews.json
location-14073247821268226998,Coffee Island | NSP,Gautam Makkar,FIVE,Good,,,,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/14073247821268226998/reviews/Ci9DQUlRQUNvZENodHljRjlvT2paVVlVeGxjalpHZEVaWGRIRnRUemh2ZFZSZlVIYxAB,reviews.json
location-14073247821268226998,Coffee Island | NSP,Uday Das,FIVE,Nice coffee,,,Nice,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/14073247821268226998/reviews/Ci9DQUlRQUNvZENodHljRjlvT25sMlEwTm9XbUZKZVhaVWVsQnZVRlk0ZVRFeGVrRRAB,reviews.json
location-14073247821268226998,Coffee Island | NSP,mandeep kaur,FOUR,"Food was good, need to improve service
Else interior and food was good.
Sumit was very help in explaining and suggested the menu",,,"Else, Sumit",15-03-2026,15-03-2026,accounts/100486096577551952970/locations/14073247821268226998/reviews/Ci9DQUlRQUNvZENodHljRjlvT25RdFVraEhWVEJNY0dkNVZHNVRUSGh6TFZCRVpVRRAB,reviews.json
location-18251157111954801525,Coffee Island | TRIBECA,Poonam Sharma,TWO,,,,,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/18251157111954801525/reviews/Ci9DQUlRQUNvZENodHljRjlvT21oc2JWQnFiVzkyYWxOMWIxOU5VMVkwUmpWaFpWRRAB,reviews.json
location-3281804826075053736,Coffee Island | AIPL,Om Yaduvanshi,FIVE,Fabulous,,,Fabulous,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/3281804826075053736/reviews/Ci9DQUlRQUNvZENodHljRjlvT21zeFkwRnNPVFZyU1hwMldIZzBURVF3YXpWTlYxRRAB,reviews.json
location-3281804826075053736,Coffee Island | AIPL,Sarita Prajapati,FIVE,Staff bahaviour is very well and polite,,,,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/3281804826075053736/reviews/Ci9DQUlRQUNvZENodHljRjlvT25odGJWSnBWWEpOYmxCNVFUbE9hRjh5WDBZd2RsRRAB,reviews.json
location-6119222168702984294,Coffee Island | Eros Cinema Churchgate,Abhishek Bubna,FOUR,,,,,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/6119222168702984294/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tocWNXeElhVXByVUdKTlREbE5jMDAzVFROc1YzYxAB,reviews.json
location-7132653567992557892,Coffee Island Beyond | R City,Rajni Poojary,FIVE,Good,,,,15-03-2026,15-03-2026,accounts/100486096577551952970/locations/7132653567992557892/reviews/Ci9DQUlRQUNvZENodHljRjlvT2twT1ZXOWlWa2RXWWtOa00xRkllbmhQVTJ0bk4wRRAB,reviews.json
