Store ID,Business Name,Customer Name,Rating,Comment,Reply,Reply Date,Staff Mentioned,Created Date,Updated Date,Review ID,Source File
location-10866130483095140789,Coffee Island | AMANORA,SaChi MohabbatGoldhana,FIVE,"Java chip killer & latte were amazing !
Courteous staff and good for an evening sitting and snacks. Kudos to the team.",Thank you! We're so happy you had a great coffee experience. Can’t wait to have you back - there’s always more to discover!,24-02-2026,"Courteous, Java, Kudos",13-02-2026,13-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xnd2EzZFVSMVEyVWtGclMyMVVjbDlpWkRCbmRrRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Priyanshu Rathi,FIVE,I had a amazing experience,Thanks a latte for the 5 stars! Your support keeps us brewing our best every day.,24-02-2026,,13-02-2026,13-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2paVmNrRk5lV1JQVjBKV1pUSmpVa2RsWm5vNFdrRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Anil Tare,FIVE,,Thanks a latte for the 5 stars! Your support keeps us brewing our best every day.,24-02-2026,,13-02-2026,13-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pkSFJITjJRMVpGTlRKaFMwOU5ZblIyV1ZwcE9WRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Laiba Noor,ONE,,"Hi,
Thank you for taking the time to share your feedback. We’re truly sorry to hear that your experience didn’t meet expectations. We hope you’ll consider giving us another try. We’d love the chance to make it right and offer you the experience Coffee Island is known for.
Please DM us your contact details on Instagram at @coffee.island.in or email us at hello@coffeeisland.in so we can connect directly.",24-02-2026,,12-02-2026,12-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT25adGVHVktTRlJ2V2pjeGFHbFNXVGxJUm5BNFNYYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Faizan Ali,FIVE,,Thanks a latte for the 5 stars! Your support keeps us brewing our best every day.,24-02-2026,,12-02-2026,12-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pGdFNXRklWMnBuZW10SFFrZFdlVmhKV1UxV05sRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Isa Khan,FIVE,,Thanks a latte for the 5 stars! Your support keeps us brewing our best every day.,24-02-2026,,12-02-2026,12-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT25nM1RUa3djRWRWTFMxcFowbFJZalZuUnpaa1RWRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,IBA Sheikh,FIVE,Amazing experience,Thanks a latte for the 5 stars! Your support keeps us brewing our best every day.,24-02-2026,,12-02-2026,12-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2taVmF6ZFhhVmQwVm5KYWRUaGtWamcwUlRoQlRGRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Anas Ahmed,FIVE,Coffee was very nice and the cafe decor was soo nice,So glad you enjoyed the coffee and loved the décor - great brews and beautiful spaces are what we’re all about.Hope to see you again soon for another cozy coffee moment! ☕✨,24-02-2026,Coffee,12-02-2026,12-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2s5dGJqQjVNbEF6UmtaNk5HZDVWVjlEZVZCMmIwRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Rizwana Dilshad,FIVE,Service was very good and the staff was very polite,So happy to hear that! 😊☕ Glad you had a great time! See you again soon! ✨,24-02-2026,,12-02-2026,12-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT214c2FVVXpaMDV4YmtoS0xUWm1WWFpHYzA4eVVYYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Naisa Bano,FIVE,"The manager is very cool ,very polite and the food quantity is good",That’s wonderful to hear! Great hospitality and satisfying portions are what we strive for every day. Looking forward to your next visit.,24-02-2026,,12-02-2026,12-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT25KaldYcGZVVzVzTTBzNVEzbDVRVzlzVlRGamFtYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Naved Ahmed,FIVE,The food is very good and the view inside the cafe is also very good and the service too,"Delighted to hear you appreciated the food, the view, and the service. Moments like these are exactly what we strive to create at Coffee Island. Looking forward to welcoming you back",17-02-2026,,12-02-2026,12-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xkS1ozRXdWR1pUYW05Tk5HTktURTU2VTBWb1ZGRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Ajay Padekar,FIVE,,"Five stars and a whole lot of love, grateful for your support!",17-02-2026,,10-02-2026,10-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pkNFNuQllaMGRvWHpsRlYwdFlOSFJ6TmxkbWRXYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Chaitali Dhawas,FIVE,,Thanks a latte for the 5 stars! Your support keeps us brewing our best every day.,10-02-2026,,10-02-2026,10-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tGaFpIbG9WbEl5YjBob1kyZG1kVWhoVFhKRFVGRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Saurabh Sharma,FIVE,"Kudos to the nice ambience and delightful food !
See you again soon!!
Special thanks to Yuvraj for amazing service!","Hi,
We’re so glad you loved the ambience and the food! Creating a space that feels warm and welcoming while serving a great cup is what we strive for. Can’t wait to host you again at Coffee Island!",17-02-2026,"Kudos, See, Special, Yuvraj",09-02-2026,09-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2t0UVYzaFRkR0Z4TnpGTlZ6UjRUVkYyZFhaeU1tYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,MADHAV DAGA,FIVE,Good coffee and very friendly staff.,We’re glad you enjoyed the coffee and found our staff friendly. Hope to see you again soon.,10-02-2026,,09-02-2026,09-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT21obmJHUmxhMTlmWkdKSFFsVXpXR1ZuT1ZkcWNYYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Ravi Sontakke,FIVE,"Today I visited to coffee island the coffee is very tasteful
Thanx Rohit and karan for a good coffee and and service",It means the world to us when our brews and crew get the love they deserve.Can’t wait to welcome you back soon!,10-02-2026,"Rohit, Thanx Rohit, Today",08-02-2026,08-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pSRldVVlNhVTVDYlRGbGFDMTFZamRxUkhWeVRXYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Shravani Ladkat,FIVE,Really loved the chilli cheese mushroom sandwich. Also the staff was very helpful,We’re glad you enjoyed the chilli cheese mushroom sandwich and found our staff helpful. Hope to see you again soon.,10-02-2026,Also,07-02-2026,07-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2toellWcG9jRmRKYjJsVE5TMXBhWEl6ZGpkMVpuYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Tejaswini Dhumal,FIVE,,Thanks a latte for the 5 stars! Your support keeps us brewing our best every day.,10-02-2026,,07-02-2026,07-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tRMmJVeFdUV1JTYUVSM1FXNXRhVmRCVDFOdWQwRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Vidyadhar Vhanmane,FIVE,Great coffee !! I loved this cafe my first time here and got to say the vibe was amazing 👏 the staff was also very friendly specially yuvvaraj will definitely come again .,"We’re so glad you enjoyed the coffee, the vibe, and the friendly service on your first visit. Looking forward to welcoming you again soon 👏☕",10-02-2026,,07-02-2026,07-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT25GUk5uWjBMVUZ1WkhSa2RHODFVWEZ0Y3kxMlRWRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Ayan Pal,FIVE,"Good coffee shop, adding new options as they go. Today I had the pourover, they also offer espresso, chemex, aeropress. It’s good to see a coffee shop near by offering such options. Yuvraj attended us very week and his service was great.",We’re glad you enjoyed the pour-over and appreciated the range of brewing options. Great to hear the service was spot on too. Hope to welcome you back soon for another great cup. ☕,10-02-2026,"Today, Yuvraj",07-02-2026,07-02-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xWRWJGSkVSakJOWm1KNmJGWkxhRGsyTUVWYU5tYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Mili Sonkar,FIVE,The coffee beans here are quite exclusive. Also Great coffee recommendation by Suraj.,Thank you! We're so happy you had a great coffee experience. Can’t wait to have you back - there’s always more to discover!,29-09-2025,Suraj,28-09-2025,28-09-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xaaGJVRlBhMlIyUlhKRVVrNVRUMEUzWDJ0elpFRRAB,reviews-ABHRLXUHKxQGytfIYauicYZv1KotauVlepX9BH.json
location-10866130483095140789,Coffee Island | AMANORA,Meet Vijaywargi,FIVE,"Loved the place!!!!! They provide a free pour over experience. People who really don't know their coffee and all the mind overwhelming information about grinds and roasts must visit.

Siddhi(hope I spelled the name right) the person who demonstrated the pour over really was a lovely person and genuinely excited to get us through the short but immensely interesting experience as to how pour over works and makes the coffee different to drink.

By far the smoothest coffee I have ever tried and thinking of buying it soon and experiment on my own with the coffee beans as she suggested. She knew a lot of coffee fun facts which was endearing.

Please visit if you feel you don't know about coffee and also visit if you are looking to sit in a cozy place with cozy chair with your friends/partner.",We’re delighted you enjoyed the pour-over experience and the cozy vibe. It’s always wonderful when guests get to discover coffee in a new way. Looking forward to welcoming you back for more brews and good times!,29-09-2025,"Please, Siddhi",28-09-2025,28-09-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2kwdE5UUXRYMTlrZUV4NVZrbGlhVjkwWVZwM1gzYxAB,reviews-ABHRLXUHKxQGytfIYauicYZv1KotauVlepX9BH.json
location-10866130483095140789,Coffee Island | AMANORA,Gauri Shetye,FIVE,,"Five stars and a whole lot of love, grateful for your support!",29-09-2025,,28-09-2025,28-09-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2taVFpqVTJiRlUwT1ZsZmIzaDVRbFZuYldvNGRFRRAB,reviews-ABHRLXUHKxQGytfIYauicYZv1KotauVlepX9BH.json
location-10866130483095140789,Coffee Island | AMANORA,Roland Chappell,ONE,"Probably the first and the last time visiting the place. Delayed service and encountered frustrated customer asking for refund. Ordered a Chipotle rice bowl and was disappointed with the portion and with what was served for the price paid. Stop advertising something that your don't serve, it felt like rajma chawal with chicken and chutney","Hi,
Thank you for taking the time to share your feedback. We’re truly sorry to hear that your experience didn’t meet expectations. We hope you’ll consider giving us another try. We’d love the chance to make it right and offer you the experience Coffee Island is known for.
Please DM us your contact details on Instagram at @coffee.island.in or email us at hello@coffeeisland.in so we can connect directly.",29-09-2025,"Chipotle, Probably",28-09-2025,28-09-2025,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT21GZlZrZzViMDVKZVhSa2EyVTVZVVpyTkRSZk5uYxAB,reviews-ABHRLXUHKxQGytfIYauicYZv1KotauVlepX9BH.json
