Customer,Date,Rating,Comments,Outlet Name
User,05-Feb-2026,5,"I love spaghetti pasta and latte, skilled barista  and friendly feel like home thank you","Coffee Island, NIBM Road"
Amansingh,14-Feb-2026,5,love it❤️,Coffee Island - Amanora Mall
Rakesh,15-Feb-2026,5,service was awesome,Coffee Island Phoenix Market City - Mumbai
Pooja Chhaparia,07-Feb-2026,5,amazing,Coffee Island - Amanora Mall
Kamlessh Melwani,02-Feb-2026,1,"There was no food available at the outlet except a Pistachio Croissant. and same thing keeps happening at this outlet often. They keep.promoting the food combos, but most of the time, there is no or minimal food items available. Cleanliness is also not upto the mark.","Coffee Island, NIBM Road"
Tandrima Dey,12-Feb-2026,3,Food was too oily..,Coffee Island Eros Churchgate - Mumbai
Faizan Shaikh,20-Jan-2026,5,Great service and Food,Coffee Island Eros Churchgate - Mumbai
Baba Mistry,28-Dec-2025,5,outstanding water bottle,Coffee Island Phoenix Market City - Mumbai
Talha Khan,21-Jan-2026,5,thik rasturant is so good food is so good and service is also good and there is a service boy name afan Shaikh this boy is also good 👍👍😊,Coffee Island Eros Churchgate - Mumbai
Talha Khan,21-Jan-2026,5,thik rasturant is so good food is so good and service is also good and there is a service boy name afan Shaikh this boy is also good 👍👍😊,Coffee Island Eros Churchgate - Mumbai
User_158853348,08-Feb-2026,5,😊,Coffee Island - Amanora Mall
Aastha Gambhir,25-Jan-2026,5,Great place and great service! Thanks Anurag :),Coffee Island Eros Churchgate - Mumbai
Yojana Sawant,28-Dec-2025,1,I ordered hot coffee. Handed me small cup with two  table spoon  cold coffee.not given full cup coffee.not add milk in coffee.. bitter taste.bi have not seen this type of coffee. bad smell.this is not good. bad service.,Coffee Island Eros Churchgate - Mumbai
Yojana Sawant,28-Dec-2025,1,I ordered hot coffee. Handed me small cup with two  table spoon  cold coffee.not given full cup coffee.not add milk in coffee.. bitter taste.bi have not seen this type of coffee. bad smell.this is not good. bad service.,Coffee Island Eros Churchgate - Mumbai
Sumit  Sumit,12-Jan-2026,5,nice ambience coffee is really good 🥳,Coffee Island NSP - New Delhi
ADITI,26-Dec-2025,5,Lovedd being here. The staff and the manager is so polite. The food is amazing! 🤍🤍🤍🤍🤍,Coffee Island Phoenix Market City - Mumbai
Manisha Sahu,07-Feb-2026,5,Amazing coffee,Coffee Island - Amanora Mall
Faareha,27-Jan-2026,1,no taste of pistachio at all in the coffee. no crunch,Coffee Island Beyond GK II
Siddharth  Kannoujiya,04-Feb-2026,5,hot chocolate was really awesome in taste and thick too and the service by anusha was great to having very polite cute and warm welcome by her thanks for making my day coffee island churchgate ❤️🫶🏻,Coffee Island Eros Churchgate - Mumbai
Aditi  Kubba,11-Jan-2026,5,"Great addictive taste, hygienic, healthy . Looking for great discounts/offers everyday . Thanks",Coffee Island NSP - New Delhi
Deshna Gala,17-Jan-2026,2,"coffee was nice, but jain food was not that great",Coffee Island Eros Churchgate - Mumbai
Sagar,17-Jan-2026,5,woow,Coffee Island Eros Churchgate - Mumbai
Shivam Rathi,31-Jan-2026,5,It was good,Coffee Island AIPL
Brijesh Mudgal,15-Jan-2026,5,This place serves amazing coffee.. they also have coffee options from Ethiopia and Kenya to try from,Coffee Island AIPL
Shivam,27-Dec-2025,5,Food was really nice and service was really great,Coffee Island HQ-27
Rupam,14-Feb-2026,5,"loved the pistachio croissant.
definitely going to recommend to others and will order again.",Coffee Island - Amanora Mall
Zubin Bharucha,13-Jan-2026,5,Anurag was extremely kind and gave us very good service,Coffee Island Eros Churchgate - Mumbai
Deepika Mishra,28-Jan-2026,5,Really top notch food. I wish portions were larger though!!!,Coffee Island HQ-27
Siddhi Dhumal,03-Feb-2026,5,The Food Taste Was Excellent,Coffee Island Eros Churchgate - Mumbai
Ali,15-Jan-2026,5,Great ambience with some great coffees,"Coffee Island, NIBM Road"
Ankur,26-Dec-2025,5,variety of coffee and helpful staff.,Coffee Island HQ-27
Raunak Singh Gill,14-Jan-2026,5,"Faizan and team were fantastic 
the food on point and the ice latte perfect.",Coffee Island - Amanora Mall
Tushar Chandwani,08-Jan-2026,1,You guys send only one sip of coffee. Very sad not worth it,Coffee Island Eros Churchgate - Mumbai
Tejas Raut,14-Jan-2026,5,"Bfully crafted desserts, the staff was really polite",Coffee Island - Amanora Mall
Tejas Raut,14-Jan-2026,5,"Bfully crafted desserts, the staff was really polite",Coffee Island - Amanora Mall
Arbaz Khan,07-Feb-2026,5,the food is good and service is also good,Coffee Island Phoenix Market City - Mumbai
Shrey Bhatnagar,06-Feb-2026,5,amazing coffee by Subhash,Coffee Island HQ-27
Naman,04-Feb-2026,5,All the food items and coffee were amazing. Subhash and Mayank were very helpful and service was top notch,Coffee Island HQ-27
Nitisha,25-Jan-2026,4,good place to visit,Coffee Island Eros Churchgate - Mumbai
Nitisha,25-Jan-2026,4,good place to visit,Coffee Island Eros Churchgate - Mumbai
Advait Purandare,08-Feb-2026,1,Flies flies flies,Coffee Island Eros Churchgate - Mumbai
Ali,26-Jan-2026,5,Great ambience with some great coffees,"Coffee Island, NIBM Road"
Silky Agrawal,23-Jan-2026,5,Great service Subhash,Coffee Island HQ-27
Gaganpreet,15-Feb-2026,3,the chocolate u send was not the one I ordered ... its not vegan and I cannot eat it,Coffee Island HQ-27
User,16-Feb-2026,5,decent quality coffee,Coffee Island NSP - New Delhi
Digvijay Singh,14-Jan-2026,5,Great experience with and clean sorted ambience,Coffee Island AIPL
Gaurav,09-Jan-2026,5,great ambience and coffee,Coffee Island HQ-27
Nilay Bagaria,26-Jan-2026,5,Nice service,Coffee Island Eros Churchgate - Mumbai
Shrey Bhatnagar,10-Jan-2026,5,amazing beverages special thanks to Suraj and Himanshu for quick and prompt service and most imp the coffee .. just amazing set of coffee,Coffee Island AIPL
Kunal Prithiani,25-Jan-2026,5,Good service by Anurag,Coffee Island Eros Churchgate - Mumbai
Aditi  Kubba,30-Jan-2026,5,Pls use country of origin products at all outlets . Looking for a positive response . Thanks you .,Coffee Island NSP - New Delhi
