Store ID,Business Name,Customer Name,Rating,Comment,Reply,Reply Date,Staff Mentioned,Created Date,Updated Date,Review ID,Source File
location-10866130483095140789,Coffee Island | AMANORA,Abhi Sonawane,FIVE,Staff frendly and nice ambiance,Thank you! We’re glad you found our staff friendly and enjoyed the ambience. Hope to see you again soon.,20-01-2026,,18-01-2026,18-01-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT210T1ZuRjVSbXc1VlVSbVkyOTFNSFJSYjFseGJYYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Komal Jadhav,FIVE,Good food and nice ambience,Thank you! We’re glad you enjoyed the food and ambience. Looking forward to welcoming you again soon.,19-01-2026,,18-01-2026,18-01-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT21SU05uTmlhR05pUjJkQlkxcE1aV00yTkVoWlJIYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Aashish More,FIVE,Nice ambience,Thank you! We’re glad you enjoyed the ambience. Hope to see you again soon.,19-01-2026,Nice,18-01-2026,18-01-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tkbGNtZ3dNQzFDVG10RFZXdEpSbnAyZERWQmNsRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Ipshita Bhattacharya,FIVE,Great service provided by Azar and Tanmay.,We’re glad you had a great service experience. Looking forward to welcoming you again soon.,19-01-2026,"Azar, Tanmay",17-01-2026,17-01-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT21ReU15MTRjakpPY21aMmFVRnpZMUpqYkVwV04wRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,abid ali,FIVE,"Nice ambience, solid coffee and Azhar's service was smoother than the espresso.","We’re glad you enjoyed the ambience, coffee, and smooth service. Looking forward to welcoming you again soon.",19-01-2026,"Azhar, Nice",17-01-2026,17-01-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pOSFdHMTZhMXAzU0c4NGJHcFhORmcwUmtWM1dsRRAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Tejas Raut,FIVE,"Really lovely atmosphere, 11/10 ambience, the desserts are what I particularly loved. Very decadent and thoughtfully crafted. The staff was also very friendly. Azhar, Steven and everyone else were very polite and helpful 💌","We’re glad you loved the ambience, desserts, and warm service. It means a lot to us, hope to welcome you again soon.",19-01-2026,"Azhar, Steven",14-01-2026,14-01-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2t4RGVWbHJSRTF3YVVsTWRUTnhlbEJZVkRCbVpYYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Darshana Desai,FIVE,"The staff is extremely polite and welcoming. I visited this place today and was in a lot of hurry due to some work, but the staff treated me so well. Everyone was friendly, always smiling, and made me feel comfortable despite my rush. I’ll remember this experience forever ❤️.","We’re truly glad our team could make you feel welcomed and comfortable, even during a busy moment. Your kind words mean a lot to us, and we look forward to welcoming you again soon.",19-01-2026,Everyone,14-01-2026,14-01-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tZM0xYVklOelJvY1hKeFJWYzNlbWhpUWpGR1NHYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Aayush Bhosale,FIVE,,Thanks a latte for the 5 stars! Your support keeps us brewing our best every day.,15-01-2026,,14-01-2026,14-01-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tjMFZqWjBRbUpWV1dsNmNucFpaRzFyTkVkdFgzYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Vivek Saini,FIVE,"⭐
“Rich aroma, smooth taste, and perfectly balanced bitterness. This coffee makes my mornings better every single day.” Rohit is good service and look like best buddy","Thank you for the lovely feedback! We’re glad you enjoyed the rich aroma, smooth taste, and balanced flavour. Happy to be a part of your mornings, hope to see you again soon.",14-01-2026,"Rich, Rohit",13-01-2026,13-01-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pWalVYQnVhek5qVkRWaE1qSlVjalZJU25kaVdIYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
location-10866130483095140789,Coffee Island | AMANORA,Shubham Khule,FIVE,"We had an amazing experience at Coffee Island Amanora, the staff is very friendly and Rohit made the perfect coffee for the evening.",Thank you for sharing your experience! We’re glad you enjoyed the coffee and found our team friendly. Looking forward to welcoming you again soon.,14-01-2026,Rohit,13-01-2026,13-01-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tKUFkyNUhNMDFpUzB0UVluRlNXbmhoWmxrd2JXYxAB,reviews-ABHRLXUgZrOzYgQR3VZKiTe4hHDPDDULTgoejQ.json
