All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island HQ-27",2025-04-09,14,"COUNTER",407.14,0.00,407.14,0.00,20.36,427.50,1,
"Coffee Island HQ-27",2025-04-11,13,"COUNTER",400.00,0.00,400.00,0.00,20.00,420.00,1,
"Coffee Island HQ-27",2025-04-11,14,"COUNTER",350.00,0.00,350.00,0.00,17.50,367.50,1,
"Coffee Island HQ-27",2025-04-14,10,"COUNTER",488.10,0.00,488.10,0.00,24.40,512.50,1,
"Coffee Island HQ-27",2025-04-14,11,"DELIVERY",425.00,0.00,425.00,0.00,21.25,446.25,1,
"Coffee Island HQ-27",2025-04-15,16,"COUNTER",488.10,0.00,488.10,0.00,24.40,512.50,1,
"Coffee Island HQ-27",2025-04-15,17,"COUNTER",745.24,0.00,745.24,0.00,37.26,782.50,1,
"Coffee Island HQ-27",2025-04-18,9,"COUNTER",11373.58,0.00,11373.58,0.00,568.67,11942.25,5,
"Coffee Island HQ-27",2025-04-18,10,"COUNTER",361.90,0.00,361.90,0.00,18.10,380.00,1,
"Coffee Island HQ-27",2025-04-18,15,"COUNTER",295.24,0.00,295.24,0.00,14.76,310.00,1,
"Coffee Island HQ-27",2025-04-21,14,"COUNTER",276.19,0.00,276.19,0.00,13.81,290.00,1,
"Coffee Island HQ-27",2025-04-22,14,"COUNTER",666.92,100.04,566.88,0.00,53.63,620.51,1,
"Coffee Island HQ-27",2025-04-22,15,"COUNTER",790.48,0.00,790.48,0.00,39.52,830.00,2,
