All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-06-03,21,"TAKEAWAY",9638.09,9638.09,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-06-03,21,"DINE IN",9096.44,9096.44,0.00,0.00,0.00,0.00,4,
"Coffee Island Beyond GK II",2025-06-03,22,"TAKEAWAY",56990.01,56990.01,0.00,0.00,0.00,0.00,5,
"Coffee Island Beyond GK II",2025-06-03,23,"TAKEAWAY",475.24,475.24,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-06-04,0,"DINE IN",2510.00,0.00,2510.00,0.00,125.50,2635.50,3,
"Coffee Island Beyond GK II",2025-06-04,0,"DELIVERY",200.00,40.00,160.00,0.00,8.00,168.00,1,
"Coffee Island Beyond GK II",2025-06-04,4,"TAKEAWAY",270.00,0.00,270.00,0.00,13.50,283.50,1,
"Coffee Island Beyond GK II",2025-06-04,12,"DINE IN",7425.30,200.00,7225.30,0.00,467.59,7692.89,9,
"Coffee Island Beyond GK II",2025-06-04,12,"TAKEAWAY",508.47,0.00,508.47,0.00,91.52,599.99,1,
"Coffee Island Beyond GK II",2025-06-04,12,"DELIVERY",257.14,0.00,257.14,0.00,12.86,270.00,1,
"Coffee Island Beyond GK II",2025-06-04,13,"DINE IN",2806.27,0.00,2806.27,0.00,156.73,2963.00,6,
"Coffee Island Beyond GK II",2025-06-04,13,"TAKEAWAY",2424.47,64.50,2359.97,0.00,195.12,2555.09,7,
"Coffee Island Beyond GK II",2025-06-04,14,"DINE IN",1527.50,242.25,1285.25,0.00,64.27,1349.52,5,
"Coffee Island Beyond GK II",2025-06-04,14,"TAKEAWAY",1942.50,116.00,1826.50,0.00,91.33,1917.83,4,
"Coffee Island Beyond GK II",2025-06-04,15,"DINE IN",5440.00,0.00,5440.00,0.00,272.00,5712.00,7,
"Coffee Island Beyond GK II",2025-06-04,15,"TAKEAWAY",480.00,0.00,480.00,0.00,24.00,504.00,1,
"Coffee Island Beyond GK II",2025-06-04,16,"DINE IN",2310.00,0.00,2310.00,0.00,115.50,2425.50,9,
"Coffee Island Beyond GK II",2025-06-04,16,"TAKEAWAY",500.00,0.00,500.00,0.00,25.00,525.00,2,
"Coffee Island Beyond GK II",2025-06-04,17,"TAKEAWAY",4058.14,590.95,3467.19,0.00,300.91,3768.10,10,
"Coffee Island Beyond GK II",2025-06-04,17,"DINE IN",2800.00,92.00,2708.00,0.00,135.40,2843.40,5,
"Coffee Island Beyond GK II",2025-06-04,18,"DINE IN",2350.00,0.00,2350.00,0.00,117.50,2467.50,7,
"Coffee Island Beyond GK II",2025-06-04,18,"TAKEAWAY",1700.00,62.00,1638.00,0.00,81.90,1719.90,4,
"Coffee Island Beyond GK II",2025-06-04,18,"DELIVERY",257.14,0.00,257.14,10.00,13.36,280.50,1,
"Coffee Island Beyond GK II",2025-06-04,19,"TAKEAWAY",2786.91,147.50,2639.41,0.00,146.84,2786.25,9,
"Coffee Island Beyond GK II",2025-06-04,19,"DINE IN",1731.96,234.50,1497.46,0.00,115.44,1612.90,4,
"Coffee Island Beyond GK II",2025-06-04,20,"TAKEAWAY",3285.00,393.00,2892.00,0.00,144.61,3036.61,4,
"Coffee Island Beyond GK II",2025-06-04,20,"DINE IN",3529.11,0.00,3529.11,0.00,184.27,3713.38,7,
"Coffee Island Beyond GK II",2025-06-04,20,"DELIVERY",300.00,50.00,250.00,0.00,45.00,295.00,1,
"Coffee Island Beyond GK II",2025-06-04,21,"TAKEAWAY",270.00,0.00,270.00,0.00,13.50,283.50,1,
"Coffee Island Beyond GK II",2025-06-04,21,"DINE IN",948.10,0.00,948.10,0.00,47.41,995.51,2,
"Coffee Island Beyond GK II",2025-06-04,22,"DINE IN",1550.89,0.00,1550.89,0.00,87.24,1638.13,3,
"Coffee Island Beyond GK II",2025-06-04,23,"TAKEAWAY",184.75,0.00,184.75,0.00,33.25,218.00,1,
