All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-07-01,7,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-07-01,9,"DINE IN",1014.41,0.00,1014.41,0.00,65.59,1080.00,3,
"Coffee Island Beyond GK II",2025-07-01,10,"DELIVERY",782.50,115.00,667.50,0.00,33.38,700.88,2,
"Coffee Island Beyond GK II",2025-07-01,10,"TAKEAWAY",210.00,0.00,210.00,0.00,10.50,220.50,1,
"Coffee Island Beyond GK II",2025-07-01,10,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II",2025-07-01,11,"DINE IN",270.00,0.00,270.00,0.00,13.50,283.50,1,
"Coffee Island Beyond GK II",2025-07-01,12,"TAKEAWAY",210.00,0.00,210.00,0.00,10.50,220.50,1,
"Coffee Island Beyond GK II",2025-07-01,12,"DINE IN",1070.00,0.00,1070.00,0.00,53.50,1123.50,3,
"Coffee Island Beyond GK II",2025-07-01,13,"DELIVERY",310.00,0.00,310.00,10.00,16.00,336.00,1,
"Coffee Island Beyond GK II",2025-07-01,13,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-07-01,14,"DINE IN",2932.05,0.00,2932.05,0.00,174.59,3106.64,7,
"Coffee Island Beyond GK II",2025-07-01,15,"DINE IN",1190.00,0.00,1190.00,0.00,59.50,1249.50,4,
"Coffee Island Beyond GK II",2025-07-01,15,"DELIVERY",322.50,32.25,290.25,0.00,14.51,304.76,1,
"Coffee Island Beyond GK II",2025-07-01,16,"DINE IN",6204.11,0.00,6204.11,0.00,318.02,6522.13,9,
"Coffee Island Beyond GK II",2025-07-01,16,"DELIVERY",580.00,0.00,580.00,0.00,29.00,609.00,1,
"Coffee Island Beyond GK II",2025-07-01,17,"DINE IN",1270.00,0.00,1270.00,0.00,63.50,1333.50,2,
