All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-10-01,0,"DINE IN",4120.00,189.00,3931.00,0.00,196.55,4127.55,5,
"Coffee Island Beyond GK II",2025-10-01,0,"TAKEAWAY",1985.00,0.00,1985.00,0.00,99.25,2084.25,5,
"Coffee Island Beyond GK II",2025-10-01,1,"TAKEAWAY",1605.00,0.00,1605.00,0.00,80.25,1685.25,3,
"Coffee Island Beyond GK II",2025-10-01,1,"DINE IN",2343.33,0.00,2343.33,0.00,117.17,2460.50,3,
"Coffee Island Beyond GK II",2025-10-01,2,"DINE IN",1266.20,0.00,1266.20,0.00,63.31,1329.51,4,
"Coffee Island Beyond GK II",2025-10-01,3,"TAKEAWAY",380.00,100.00,280.00,5.00,14.90,299.90,1,
"Coffee Island Beyond GK II",2025-10-01,3,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-10-01,6,"DINE IN",340.00,34.00,306.00,0.00,15.30,321.30,1,
"Coffee Island Beyond GK II",2025-10-01,7,"DINE IN",710.00,84.00,626.00,0.00,31.30,657.30,4,
"Coffee Island Beyond GK II",2025-10-01,8,"DINE IN",560.00,280.00,280.00,0.00,14.00,294.00,2,
"Coffee Island Beyond GK II",2025-10-01,9,"DELIVERY",320.00,160.00,160.00,30.00,9.50,199.50,1,
"Coffee Island Beyond GK II",2025-10-01,9,"DINE IN",1507.00,0.00,1507.00,0.00,75.35,1582.35,1,
"Coffee Island Beyond GK II",2025-10-01,10,"DELIVERY",400.00,200.00,200.00,30.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2025-10-01,10,"DINE IN",2306.00,0.00,2306.00,0.00,115.30,2421.30,2,
"Coffee Island Beyond GK II",2025-10-01,11,"DINE IN",2384.75,0.00,2384.75,0.00,119.24,2503.99,3,
"Coffee Island Beyond GK II",2025-10-01,11,"TAKEAWAY",860.00,100.00,760.00,5.00,38.90,803.90,1,
"Coffee Island Beyond GK II",2025-10-01,12,"DINE IN",7388.39,0.00,7388.39,0.00,369.42,7757.81,9,
"Coffee Island Beyond GK II",2025-10-01,13,"DINE IN",860.00,0.00,860.00,0.00,43.00,903.00,2,
"Coffee Island Beyond GK II",2025-10-01,14,"TAKEAWAY",1430.00,0.00,1430.00,0.00,71.50,1501.50,4,
"Coffee Island Beyond GK II",2025-10-01,14,"DINE IN",290.00,0.00,290.00,0.00,14.50,304.50,2,
"Coffee Island Beyond GK II",2025-10-01,15,"DINE IN",3880.00,396.00,3484.00,0.00,174.20,3658.20,5,
"Coffee Island Beyond GK II",2025-10-01,15,"DELIVERY",320.00,0.00,320.00,30.00,17.50,367.50,1,
"Coffee Island Beyond GK II",2025-10-01,16,"DINE IN",2650.00,0.00,2650.00,0.00,132.50,2782.50,6,
"Coffee Island Beyond GK II",2025-10-01,16,"TAKEAWAY",5320.00,100.00,5220.00,5.00,487.33,5712.33,5,
"Coffee Island Beyond GK II",2025-10-01,17,"TAKEAWAY",1680.00,0.00,1680.00,0.00,84.00,1764.00,2,
"Coffee Island Beyond GK II",2025-10-01,17,"DINE IN",2945.00,45.50,2899.50,0.00,144.98,3044.48,6,
"Coffee Island Beyond GK II",2025-10-01,18,"DINE IN",1600.00,0.00,1600.00,0.00,80.00,1680.00,3,
"Coffee Island Beyond GK II",2025-10-01,19,"DINE IN",1951.61,224.48,1727.13,0.00,86.36,1813.49,4,
"Coffee Island Beyond GK II",2025-10-01,20,"DINE IN",195.00,0.00,195.00,0.00,9.75,204.75,1,
"Coffee Island Beyond GK II",2025-10-01,21,"DINE IN",3775.00,16.00,3759.00,0.00,187.95,3946.95,7,
"Coffee Island Beyond GK II",2025-10-01,23,"DINE IN",3391.32,0.00,3391.32,0.00,210.81,3602.13,5,
"Coffee Island Beyond GK II",2025-10-02,1,"DELIVERY",280.00,75.00,205.00,30.00,11.75,246.75,1,
"Coffee Island Beyond GK II",2025-10-02,2,"DINE IN",880.00,0.00,880.00,0.00,44.00,924.00,1,
"Coffee Island Beyond GK II",2025-10-02,4,"DINE IN",1530.00,0.00,1530.00,0.00,76.50,1606.50,4,
"Coffee Island Beyond GK II",2025-10-02,6,"DELIVERY",310.00,31.00,279.00,30.00,15.45,324.45,1,
"Coffee Island Beyond GK II",2025-10-02,7,"DINE IN",600.00,0.00,600.00,0.00,30.00,630.00,1,
"Coffee Island Beyond GK II",2025-10-02,7,"TAKEAWAY",430.00,0.00,430.00,0.00,21.50,451.50,1,
"Coffee Island Beyond GK II",2025-10-02,7,"DELIVERY",320.00,160.00,160.00,30.00,9.50,199.50,1,
"Coffee Island Beyond GK II",2025-10-02,8,"DINE IN",1530.00,0.00,1530.00,0.00,76.50,1606.50,3,
"Coffee Island Beyond GK II",2025-10-02,11,"DELIVERY",2480.00,689.98,1790.02,90.00,93.99,1974.01,3,
"Coffee Island Beyond GK II",2025-10-02,11,"DINE IN",2850.00,0.00,2850.00,0.00,142.50,2992.50,2,
"Coffee Island Beyond GK II",2025-10-02,11,"TAKEAWAY",5100.25,0.00,5100.25,0.00,255.01,5355.26,6,
"Coffee Island Beyond GK II",2025-10-02,12,"TAKEAWAY",1920.00,0.00,1920.00,0.00,96.00,2016.00,3,
"Coffee Island Beyond GK II",2025-10-02,13,"DINE IN",1460.00,0.00,1460.00,0.00,73.00,1533.00,3,
"Coffee Island Beyond GK II",2025-10-02,14,"DINE IN",190.00,0.00,190.00,0.00,9.50,199.50,2,
"Coffee Island Beyond GK II",2025-10-02,14,"TAKEAWAY",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-10-02,15,"DINE IN",939.35,187.87,751.48,0.00,37.57,789.05,1,
"Coffee Island Beyond GK II",2025-10-02,15,"TAKEAWAY",800.00,0.00,800.00,0.00,40.00,840.00,3,
"Coffee Island Beyond GK II",2025-10-02,15,"DELIVERY",660.00,0.00,660.00,30.00,34.50,724.50,1,
"Coffee Island Beyond GK II",2025-10-02,16,"DINE IN",1460.00,48.00,1412.00,0.00,70.60,1482.60,2,
"Coffee Island Beyond GK II",2025-10-02,16,"TAKEAWAY",4930.00,0.00,4930.00,0.00,246.50,5176.50,5,
"Coffee Island Beyond GK II",2025-10-02,17,"TAKEAWAY",2133.10,0.00,2133.10,0.00,106.66,2239.76,4,
"Coffee Island Beyond GK II",2025-10-02,17,"DINE IN",510.00,51.00,459.00,0.00,22.95,481.95,1,
"Coffee Island Beyond GK II",2025-10-02,18,"TAKEAWAY",3325.00,0.00,3325.00,0.00,166.25,3491.25,6,
"Coffee Island Beyond GK II",2025-10-02,19,"TAKEAWAY",2070.00,0.00,2070.00,0.00,103.50,2173.50,3,
"Coffee Island Beyond GK II",2025-10-02,21,"TAKEAWAY",310.00,0.00,310.00,0.00,15.50,325.50,1,
"Coffee Island Beyond GK II",2025-10-02,22,"TAKEAWAY",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-10-03,5,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II",2025-10-03,8,"DELIVERY",320.00,160.00,160.00,30.00,9.50,199.50,1,
"Coffee Island Beyond GK II",2025-10-03,10,"DINE IN",1030.00,0.00,1030.00,0.00,51.50,1081.50,2,
"Coffee Island Beyond GK II",2025-10-03,10,"DELIVERY",320.00,160.00,160.00,30.00,9.50,199.50,1,
"Coffee Island Beyond GK II",2025-10-03,11,"DINE IN",1180.00,58.00,1122.00,0.00,56.10,1178.10,3,
"Coffee Island Beyond GK II",2025-10-03,11,"TAKEAWAY",230.00,0.00,230.00,0.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2025-10-03,12,"TAKEAWAY",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-10-03,12,"DINE IN",2625.00,0.00,2625.00,0.00,131.25,2756.25,5,
"Coffee Island Beyond GK II",2025-10-03,13,"DINE IN",1321.61,0.00,1321.61,0.00,66.08,1387.69,2,
"Coffee Island Beyond GK II",2025-10-03,13,"TAKEAWAY",2360.00,0.00,2360.00,0.00,104.50,2464.50,3,
"Coffee Island Beyond GK II",2025-10-03,14,"DINE IN",1080.00,0.00,1080.00,0.00,54.00,1134.00,3,
"Coffee Island Beyond GK II",2025-10-03,15,"DINE IN",2930.00,0.00,2930.00,0.00,146.50,3076.50,5,
"Coffee Island Beyond GK II",2025-10-03,16,"DINE IN",1650.00,201.00,1449.00,0.00,72.45,1521.45,3,
"Coffee Island Beyond GK II",2025-10-03,17,"DELIVERY",970.00,175.00,795.00,60.00,42.75,897.75,2,
"Coffee Island Beyond GK II",2025-10-03,17,"DINE IN",190.00,0.00,190.00,0.00,9.50,199.50,1,
"Coffee Island Beyond GK II",2025-10-03,18,"TAKEAWAY",1885.00,0.00,1885.00,0.00,94.25,1979.25,4,
"Coffee Island Beyond GK II",2025-10-03,18,"DINE IN",1131.90,113.19,1018.71,0.00,50.94,1069.65,1,
"Coffee Island Beyond GK II",2025-10-03,19,"TAKEAWAY",475.00,0.00,475.00,0.00,23.75,498.75,1,
"Coffee Island Beyond GK II",2025-10-03,19,"DINE IN",2060.00,534.00,1526.00,0.00,76.30,1602.30,4,
"Coffee Island Beyond GK II",2025-10-03,20,"DINE IN",920.00,0.00,920.00,0.00,46.00,966.00,1,
"Coffee Island Beyond GK II",2025-10-03,21,"DINE IN",640.00,0.00,640.00,0.00,32.00,672.00,1,
"Coffee Island Beyond GK II",2025-10-03,22,"DINE IN",625.00,218.75,406.25,0.00,20.32,426.57,1,
"Coffee Island Beyond GK II",2025-10-03,22,"TAKEAWAY",640.00,0.00,640.00,5.00,32.90,677.90,2,
"Coffee Island Beyond GK II",2025-10-04,0,"TAKEAWAY",390.00,0.00,390.00,0.00,19.50,409.50,1,
"Coffee Island Beyond GK II",2025-10-04,0,"DINE IN",3240.00,714.00,2526.00,0.00,126.30,2652.30,2,
"Coffee Island Beyond GK II",2025-10-04,1,"DINE IN",1260.00,60.00,1200.00,0.00,60.00,1260.00,2,
"Coffee Island Beyond GK II",2025-10-04,7,"DINE IN",845.00,11.00,834.00,0.00,41.70,875.70,2,
"Coffee Island Beyond GK II",2025-10-04,8,"DINE IN",1520.85,0.00,1520.85,0.00,76.04,1596.89,2,
"Coffee Island Beyond GK II",2025-10-04,10,"DINE IN",1120.00,0.00,1120.00,0.00,56.00,1176.00,2,
"Coffee Island Beyond GK II",2025-10-04,11,"DELIVERY",1210.00,159.99,1050.01,60.00,55.51,1165.52,2,
"Coffee Island Beyond GK II",2025-10-04,11,"DINE IN",980.00,0.00,980.00,0.00,49.00,1029.00,3,
"Coffee Island Beyond GK II",2025-10-04,12,"DINE IN",660.00,62.00,598.00,0.00,29.90,627.90,2,
"Coffee Island Beyond GK II",2025-10-04,13,"DINE IN",1090.00,56.00,1034.00,0.00,51.70,1085.70,4,
"Coffee Island Beyond GK II",2025-10-04,13,"DELIVERY",260.00,0.00,260.00,30.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-10-04,14,"DINE IN",1660.85,0.00,1660.85,0.00,83.04,1743.89,4,
"Coffee Island Beyond GK II",2025-10-04,14,"TAKEAWAY",350.00,0.00,350.00,0.00,17.50,367.50,1,
"Coffee Island Beyond GK II",2025-10-04,15,"DELIVERY",350.00,0.00,350.00,30.00,19.00,399.00,1,
"Coffee Island Beyond GK II",2025-10-04,15,"DINE IN",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-10-04,15,"TAKEAWAY",210.00,43.00,167.00,0.00,8.35,175.35,1,
"Coffee Island Beyond GK II",2025-10-04,16,"DINE IN",1020.00,0.00,1020.00,0.00,51.00,1071.00,2,
"Coffee Island Beyond GK II",2025-10-04,16,"DELIVERY",3130.00,174.99,2955.01,90.00,152.26,3197.27,4,
"Coffee Island Beyond GK II",2025-10-04,17,"DINE IN",3184.41,198.00,2986.41,0.00,149.32,3135.73,5,
"Coffee Island Beyond GK II",2025-10-04,17,"DELIVERY",900.00,199.99,700.01,30.00,36.50,766.51,1,
"Coffee Island Beyond GK II",2025-10-04,17,"TAKEAWAY",1354.75,0.00,1354.75,0.00,67.74,1422.49,3,
"Coffee Island Beyond GK II",2025-10-04,18,"DINE IN",1830.00,0.00,1830.00,0.00,91.50,1921.50,2,
"Coffee Island Beyond GK II",2025-10-04,18,"TAKEAWAY",860.00,0.00,860.00,0.00,43.00,903.00,2,
"Coffee Island Beyond GK II",2025-10-04,19,"DINE IN",1820.00,0.00,1820.00,0.00,91.00,1911.00,3,
"Coffee Island Beyond GK II",2025-10-04,19,"TAKEAWAY",680.00,0.00,680.00,0.00,34.00,714.00,2,
"Coffee Island Beyond GK II",2025-10-04,20,"DELIVERY",640.00,75.00,565.00,30.00,29.75,624.75,1,
"Coffee Island Beyond GK II",2025-10-04,20,"TAKEAWAY",2220.00,0.00,2220.00,0.00,111.00,2331.00,3,
"Coffee Island Beyond GK II",2025-10-04,20,"DINE IN",520.00,182.00,338.00,0.00,16.91,354.91,1,
