All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-11-01,0,"DINE IN",1440.50,0.00,1440.50,0.00,72.03,1512.53,3,
"Coffee Island Beyond GK II",2025-11-01,0,"DELIVERY",1030.00,200.00,830.00,20.00,42.49,892.49,1,
"Coffee Island Beyond GK II",2025-11-01,1,"DELIVERY",3142.00,380.00,2762.00,60.00,149.91,2971.91,3,
"Coffee Island Beyond GK II",2025-11-01,1,"DINE IN",2695.00,0.00,2695.00,0.00,134.75,2829.75,4,
"Coffee Island Beyond GK II",2025-11-01,2,"DINE IN",1056.61,0.00,1056.61,0.00,52.83,1109.44,1,
"Coffee Island Beyond GK II",2025-11-01,2,"TAKEAWAY",1851.20,0.00,1851.20,0.00,92.56,1943.76,3,
"Coffee Island Beyond GK II",2025-11-01,2,"DELIVERY",250.00,90.00,160.00,20.00,9.00,189.00,1,
"Coffee Island Beyond GK II",2025-11-01,3,"TAKEAWAY",1186.20,0.00,1186.20,0.00,59.31,1245.51,3,
"Coffee Island Beyond GK II",2025-11-01,4,"DINE IN",905.00,0.00,905.00,0.00,45.25,950.25,1,
"Coffee Island Beyond GK II",2025-11-01,5,"TAKEAWAY",415.00,100.00,315.00,5.00,16.65,336.65,1,
"Coffee Island Beyond GK II",2025-11-01,6,"TAKEAWAY",112.00,0.00,112.00,5.00,6.50,123.50,1,
"Coffee Island Beyond GK II",2025-11-01,7,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-11-01,9,"DELIVERY",744.92,199.99,544.93,30.00,28.75,603.68,1,
"Coffee Island Beyond GK II",2025-11-01,10,"DINE IN",745.00,0.00,745.00,0.00,37.25,782.25,2,
"Coffee Island Beyond GK II",2025-11-01,10,"DELIVERY",710.00,199.99,510.01,30.00,27.00,567.01,1,
"Coffee Island Beyond GK II",2025-11-01,11,"DELIVERY",680.00,157.49,522.51,30.00,27.62,580.13,1,
"Coffee Island Beyond GK II",2025-11-01,12,"DINE IN",859.00,0.00,859.00,0.00,42.95,901.95,2,
"Coffee Island Beyond GK II",2025-11-01,12,"TAKEAWAY",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-11-01,13,"DELIVERY",570.00,190.00,380.00,40.00,21.00,441.00,2,
"Coffee Island Beyond GK II",2025-11-01,13,"DINE IN",3008.00,171.00,2837.00,0.00,141.85,2978.85,6,
"Coffee Island Beyond GK II",2025-11-01,13,"TAKEAWAY",1270.00,0.00,1270.00,0.00,63.50,1333.50,4,
"Coffee Island Beyond GK II",2025-11-01,14,"TAKEAWAY",1130.00,0.00,1130.00,0.00,56.50,1186.50,3,
"Coffee Island Beyond GK II",2025-11-01,14,"DINE IN",2718.00,0.00,2718.00,0.00,135.90,2853.90,5,
"Coffee Island Beyond GK II",2025-11-01,15,"DINE IN",2160.00,119.00,2041.00,0.00,102.05,2143.05,3,
"Coffee Island Beyond GK II",2025-11-01,15,"TAKEAWAY",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-11-01,16,"DINE IN",1580.00,75.00,1505.00,0.00,75.25,1580.25,4,
"Coffee Island Beyond GK II",2025-11-01,16,"DELIVERY",730.00,365.00,365.00,40.00,20.25,425.25,2,
"Coffee Island Beyond GK II",2025-11-01,17,"DINE IN",2425.00,317.50,2107.50,0.00,105.38,2212.88,6,
"Coffee Island Beyond GK II",2025-11-01,17,"TAKEAWAY",310.00,0.00,310.00,0.00,15.50,325.50,1,
"Coffee Island Beyond GK II",2025-11-01,18,"DINE IN",2725.47,0.00,2725.47,0.00,213.23,2938.70,4,
"Coffee Island Beyond GK II",2025-11-01,18,"TAKEAWAY",638.10,0.00,638.10,0.00,31.91,670.01,2,
"Coffee Island Beyond GK II",2025-11-01,19,"DELIVERY",1120.00,199.98,920.02,30.00,47.50,997.52,1,
"Coffee Island Beyond GK II",2025-11-01,19,"DINE IN",1799.00,240.00,1559.00,0.00,77.95,1636.95,4,
"Coffee Island Beyond GK II",2025-11-01,19,"TAKEAWAY",1633.39,0.00,1633.39,0.00,81.67,1715.06,1,
"Coffee Island Beyond GK II",2025-11-01,20,"DINE IN",830.00,0.00,830.00,0.00,41.50,871.50,1,
"Coffee Island Beyond GK II",2025-11-01,20,"DELIVERY",360.00,50.00,310.00,30.00,17.00,357.00,1,
"Coffee Island Beyond GK II",2025-11-01,21,"DINE IN",1009.00,0.00,1009.00,0.00,50.45,1059.45,1,
"Coffee Island Beyond GK II",2025-11-01,21,"DELIVERY",739.00,150.00,589.00,20.00,30.46,639.46,1,
"Coffee Island Beyond GK II",2025-11-01,22,"DINE IN",230.00,0.00,230.00,0.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2025-11-02,1,"DINE IN",898.10,0.00,898.10,0.00,44.91,943.01,2,
"Coffee Island Beyond GK II",2025-11-02,3,"DINE IN",510.00,0.00,510.00,0.00,25.50,535.50,1,
"Coffee Island Beyond GK II",2025-11-02,4,"DINE IN",610.00,210.00,400.00,0.00,20.00,420.00,2,
"Coffee Island Beyond GK II",2025-11-02,5,"DELIVERY",2160.00,0.00,2160.00,30.00,109.50,2299.50,1,
"Coffee Island Beyond GK II",2025-11-02,6,"TAKEAWAY",570.00,0.00,570.00,0.00,28.50,598.50,1,
"Coffee Island Beyond GK II",2025-11-02,7,"DINE IN",1210.00,66.00,1144.00,0.00,57.20,1201.20,2,
"Coffee Island Beyond GK II",2025-11-02,9,"DELIVERY",750.00,150.00,600.00,20.00,31.00,651.00,1,
"Coffee Island Beyond GK II",2025-11-02,9,"DINE IN",1804.00,0.00,1804.00,0.00,90.20,1894.20,1,
"Coffee Island Beyond GK II",2025-11-02,10,"TAKEAWAY",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-11-02,10,"DINE IN",1369.00,0.00,1369.00,0.00,68.45,1437.45,3,
"Coffee Island Beyond GK II",2025-11-02,11,"DELIVERY",620.00,125.00,495.00,20.00,25.75,540.75,1,
"Coffee Island Beyond GK II",2025-11-02,11,"DINE IN",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-11-02,12,"TAKEAWAY",1258.39,0.00,1258.39,0.00,62.92,1321.31,2,
"Coffee Island Beyond GK II",2025-11-02,12,"DINE IN",610.00,23.00,587.00,0.00,29.35,616.35,1,
"Coffee Island Beyond GK II",2025-11-02,13,"DINE IN",1419.00,0.00,1419.00,0.00,70.95,1489.95,2,
"Coffee Island Beyond GK II",2025-11-02,14,"DINE IN",1696.85,177.00,1519.85,0.00,107.66,1627.51,5,
"Coffee Island Beyond GK II",2025-11-02,15,"DINE IN",2857.10,0.00,2857.10,0.00,142.86,2999.96,5,
"Coffee Island Beyond GK II",2025-11-02,16,"TAKEAWAY",2470.00,0.00,2470.00,0.00,123.50,2593.50,2,
