Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"MSFT Hyd",2025-08-01,7,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2025-08-01,7,"TAKEAWAY",209.52,0.00,209.52,0.00,10.48,220.00,1,
"MSFT Hyd",2025-08-01,8,"TAKEAWAY",333.33,0.00,333.33,0.00,16.67,350.00,2,
"MSFT Hyd",2025-08-01,9,"TAKEAWAY",1129.75,0.00,1129.75,0.00,56.50,1186.25,6,
"MSFT Hyd",2025-08-01,10,"TAKEAWAY",714.27,0.00,714.27,0.00,35.73,750.00,4,
"MSFT Hyd",2025-08-01,11,"TAKEAWAY",585.19,0.00,585.19,0.00,29.26,614.45,4,
"MSFT Hyd",2025-08-01,12,"TAKEAWAY",2867.45,0.00,2867.45,0.00,143.37,3010.82,15,
"MSFT Hyd",2025-08-01,13,"TAKEAWAY",8021.02,0.00,8021.02,0.00,401.07,8422.09,39,
"MSFT Hyd",2025-08-01,14,"TAKEAWAY",6955.09,0.00,6955.09,0.00,347.78,7302.87,37,
"MSFT Hyd",2025-08-01,15,"TAKEAWAY",4887.18,0.00,4887.18,0.00,244.35,5131.53,29,
"MSFT Hyd",2025-08-01,16,"TAKEAWAY",10071.18,0.00,10071.18,0.00,503.57,10574.75,58,
"MSFT Hyd",2025-08-01,17,"TAKEAWAY",13343.81,0.00,13343.81,0.00,667.24,14011.05,61,
"MSFT Hyd",2025-08-01,18,"TAKEAWAY",352.38,0.00,352.38,0.00,17.62,370.00,2,
"MSFT Hyd",2025-08-04,7,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2025-08-04,7,"TAKEAWAY",142.86,0.00,142.86,0.00,7.14,150.00,1,
"MSFT Hyd",2025-08-04,8,"TAKEAWAY",352.38,0.00,352.38,0.00,17.62,370.00,2,
"MSFT Hyd",2025-08-04,9,"TAKEAWAY",1610.70,0.00,1610.70,0.00,80.55,1691.25,9,
"MSFT Hyd",2025-08-04,10,"TAKEAWAY",834.52,0.00,834.52,0.00,41.73,876.25,5,
"MSFT Hyd",2025-08-04,11,"TAKEAWAY",454.61,0.00,454.61,0.00,22.74,477.35,3,
"MSFT Hyd",2025-08-04,12,"TAKEAWAY",1552.07,0.00,1552.07,0.00,77.61,1629.68,8,
"MSFT Hyd",2025-08-04,13,"TAKEAWAY",3841.49,0.00,3841.49,0.00,192.10,4033.59,21,
"MSFT Hyd",2025-08-04,14,"TAKEAWAY",3887.71,0.00,3887.71,0.00,194.41,4082.12,20,
"MSFT Hyd",2025-08-04,14,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2025-08-04,15,"TAKEAWAY",4006.98,0.00,4006.98,0.00,200.32,4207.30,24,
"MSFT Hyd",2025-08-04,16,"TAKEAWAY",5501.35,0.00,5501.35,0.00,275.09,5776.44,35,
"MSFT Hyd",2025-08-04,17,"TAKEAWAY",5491.84,0.00,5491.84,0.00,274.66,5766.50,32,
"MSFT Hyd",2025-08-04,18,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"MSFT Hyd",2025-08-05,7,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2025-08-05,8,"TAKEAWAY",638.10,0.00,638.10,0.00,31.90,670.00,4,
"MSFT Hyd",2025-08-05,9,"TAKEAWAY",1408.33,0.00,1408.33,0.00,70.42,1478.75,8,
"MSFT Hyd",2025-08-05,10,"TAKEAWAY",1200.66,0.00,1200.66,0.00,60.04,1260.70,7,
"MSFT Hyd",2025-08-05,11,"TAKEAWAY",850.00,0.00,850.00,0.00,42.50,892.50,5,
"MSFT Hyd",2025-08-05,12,"TAKEAWAY",1998.69,0.00,1998.69,0.00,99.92,2098.61,11,
"MSFT Hyd",2025-08-05,12,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"MSFT Hyd",2025-08-05,13,"TAKEAWAY",3946.18,0.00,3946.18,0.00,197.31,4143.49,22,
"MSFT Hyd",2025-08-05,13,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"MSFT Hyd",2025-08-05,14,"TAKEAWAY",4659.00,0.00,4659.00,0.00,232.97,4891.97,29,
"MSFT Hyd",2025-08-05,15,"TAKEAWAY",6094.76,0.00,6094.76,0.00,304.76,6399.52,36,
"MSFT Hyd",2025-08-05,16,"TAKEAWAY",8087.04,0.00,8087.04,0.00,404.32,8491.36,48,
"MSFT Hyd",2025-08-05,16,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2025-08-05,17,"TAKEAWAY",9338.26,0.00,9338.26,0.00,466.96,9805.22,52,
"MSFT Hyd",2025-08-05,18,"TAKEAWAY",470.76,0.00,470.76,0.00,23.54,494.30,3,
"MSFT Hyd",2025-08-05,19,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2025-08-06,7,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2025-08-06,8,"TAKEAWAY",564.76,0.00,564.76,0.00,28.24,593.00,2,
