Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"MSFT Hyd",2025-11-03,8,"TAKEAWAY",485.71,0.00,485.71,0.00,24.29,510.00,3,
"MSFT Hyd",2025-11-03,9,"TAKEAWAY",571.42,0.00,571.42,0.00,28.58,600.00,4,
"MSFT Hyd",2025-11-03,10,"TAKEAWAY",791.14,0.00,791.14,0.00,39.56,830.70,5,
"MSFT Hyd",2025-11-03,11,"TAKEAWAY",1174.47,0.00,1174.47,0.00,58.73,1233.20,7,
"MSFT Hyd",2025-11-03,12,"TAKEAWAY",610.00,0.00,610.00,0.00,30.50,640.50,3,
"MSFT Hyd",2025-11-03,13,"TAKEAWAY",2931.17,0.00,2931.17,0.00,146.58,3077.75,17,
"MSFT Hyd",2025-11-03,18,"TAKEAWAY",12302.28,0.00,12302.28,0.00,615.13,12917.41,71,
"MSFT Hyd",2025-11-03,19,"TAKEAWAY",2196.40,0.00,2196.40,0.00,109.85,2306.25,12,
"MSFT Hyd",2025-11-04,7,"TAKEAWAY",171.43,0.00,171.43,0.00,8.57,180.00,1,
"MSFT Hyd",2025-11-04,8,"TAKEAWAY",276.19,0.00,276.19,0.00,13.81,290.00,2,
"MSFT Hyd",2025-11-04,9,"TAKEAWAY",1097.61,0.00,1097.61,0.00,54.89,1152.50,6,
"MSFT Hyd",2025-11-04,10,"TAKEAWAY",1795.23,0.00,1795.23,0.00,89.77,1885.00,10,
"MSFT Hyd",2025-11-04,11,"TAKEAWAY",584.14,0.00,584.14,0.00,29.20,613.34,3,
"MSFT Hyd",2025-11-04,12,"TAKEAWAY",671.43,0.00,671.43,0.00,33.57,705.00,3,
"MSFT Hyd",2025-11-04,13,"TAKEAWAY",3512.29,0.00,3512.29,0.00,165.13,3677.42,23,
"MSFT Hyd",2025-11-04,14,"TAKEAWAY",3265.60,0.00,3265.60,0.00,163.30,3428.90,19,
"MSFT Hyd",2025-11-04,15,"TAKEAWAY",2546.88,0.00,2546.88,0.00,127.37,2674.25,16,
"MSFT Hyd",2025-11-04,16,"TAKEAWAY",5117.61,0.00,5117.61,0.00,255.93,5373.54,29,
"MSFT Hyd",2025-11-04,17,"TAKEAWAY",6107.77,0.00,6107.77,0.00,305.40,6413.17,36,
"MSFT Hyd",2025-11-05,7,"TAKEAWAY",171.43,0.00,171.43,0.00,8.57,180.00,1,
"MSFT Hyd",2025-11-05,8,"TAKEAWAY",304.76,0.00,304.76,0.00,15.24,320.00,2,
"MSFT Hyd",2025-11-05,9,"TAKEAWAY",1668.64,0.00,1668.64,0.00,83.45,1752.09,9,
"MSFT Hyd",2025-11-05,10,"TAKEAWAY",438.09,0.00,438.09,0.00,21.91,460.00,3,
