All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-12-01,0,"TAKEAWAY",680.00,0.00,680.00,0.00,34.00,714.00,1,
"Coffee Island Beyond GK II",2025-12-01,0,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II",2025-12-01,1,"DINE IN",470.00,0.00,470.00,0.00,23.50,493.50,1,
"Coffee Island Beyond GK II",2025-12-01,1,"DELIVERY",1260.00,510.00,750.00,70.00,41.00,861.00,3,
"Coffee Island Beyond GK II",2025-12-01,2,"DINE IN",928.10,0.00,928.10,0.00,46.41,974.51,2,
"Coffee Island Beyond GK II",2025-12-01,4,"DELIVERY",720.00,360.00,360.00,20.00,19.00,399.00,1,
"Coffee Island Beyond GK II",2025-12-01,5,"DELIVERY",360.00,0.00,360.00,20.00,19.00,399.00,1,
"Coffee Island Beyond GK II",2025-12-01,5,"TAKEAWAY",2380.00,0.00,2380.00,0.00,119.00,2499.00,1,
"Coffee Island Beyond GK II",2025-12-01,6,"TAKEAWAY",1160.00,0.00,1160.00,0.00,58.00,1218.00,1,
"Coffee Island Beyond GK II",2025-12-01,7,"TAKEAWAY",600.00,61.00,539.00,0.00,26.95,565.95,2,
"Coffee Island Beyond GK II",2025-12-01,7,"DELIVERY",184.75,55.42,129.33,30.00,7.97,167.30,1,
"Coffee Island Beyond GK II",2025-12-01,8,"DELIVERY",1140.00,450.00,690.00,60.00,37.50,787.50,3,
"Coffee Island Beyond GK II",2025-12-01,8,"DINE IN",753.00,0.00,753.00,0.00,37.65,790.65,3,
"Coffee Island Beyond GK II",2025-12-01,8,"TAKEAWAY",230.00,131.00,99.00,5.00,5.85,109.85,1,
"Coffee Island Beyond GK II",2025-12-01,9,"DINE IN",149.00,0.00,149.00,0.00,7.45,156.45,1,
"Coffee Island Beyond GK II",2025-12-01,9,"DELIVERY",230.00,115.00,115.00,20.00,6.75,141.75,1,
"Coffee Island Beyond GK II",2025-12-01,10,"DELIVERY",1716.11,734.20,981.91,90.00,53.59,1125.50,4,
"Coffee Island Beyond GK II",2025-12-01,10,"DINE IN",888.00,0.00,888.00,0.00,44.40,932.40,2,
"Coffee Island Beyond GK II",2025-12-01,11,"TAKEAWAY",210.00,0.00,210.00,0.00,10.50,220.50,1,
"Coffee Island Beyond GK II",2025-12-01,11,"DELIVERY",1660.00,830.00,830.00,60.00,44.50,934.50,3,
"Coffee Island Beyond GK II",2025-12-01,11,"DINE IN",2340.00,75.00,2265.00,0.00,113.25,2378.25,3,
"Coffee Island Beyond GK II",2025-12-01,12,"DELIVERY",410.00,205.00,205.00,20.00,11.25,236.25,1,
"Coffee Island Beyond GK II",2025-12-01,13,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II",2025-12-01,13,"TAKEAWAY",620.00,0.00,620.00,0.00,31.00,651.00,1,
