Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"MSFT Hyd",2025-12-01,7,"TAKEAWAY",171.43,0.00,171.43,0.00,8.57,180.00,1,
"MSFT Hyd",2025-12-01,8,"TAKEAWAY",958.33,0.00,958.33,0.00,47.92,1006.25,6,
"MSFT Hyd",2025-12-01,9,"TAKEAWAY",1983.33,0.00,1983.33,0.00,99.17,2082.50,11,
"MSFT Hyd",2025-12-01,10,"TAKEAWAY",1828.56,0.00,1828.56,0.00,91.44,1920.00,9,
"MSFT Hyd",2025-12-01,11,"TAKEAWAY",2306.19,0.00,2306.19,0.00,115.31,2421.50,14,
"MSFT Hyd",2025-12-01,13,"TAKEAWAY",2393.27,0.00,2393.27,0.00,119.68,2512.95,14,
"MSFT Hyd",2025-12-01,14,"TAKEAWAY",3861.50,0.00,3861.50,0.00,193.10,4054.60,23,
"MSFT Hyd",2025-12-01,15,"TAKEAWAY",1581.32,0.00,1581.32,0.00,79.07,1660.39,9,
"MSFT Hyd",2025-12-01,16,"TAKEAWAY",4996.36,0.00,4996.36,0.00,249.83,5246.19,26,
"MSFT Hyd",2025-12-01,17,"TAKEAWAY",4168.63,0.00,4168.63,0.00,208.46,4377.09,24,
"MSFT Hyd",2025-12-01,17,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"MSFT Hyd",2025-12-01,19,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2025-12-02,7,"TAKEAWAY",171.43,0.00,171.43,0.00,8.57,180.00,1,
"MSFT Hyd",2025-12-02,8,"TAKEAWAY",688.90,0.00,688.90,0.00,34.44,723.34,4,
"MSFT Hyd",2025-12-02,9,"TAKEAWAY",1205.95,0.00,1205.95,0.00,60.30,1266.25,7,
"MSFT Hyd",2025-12-02,10,"TAKEAWAY",2612.70,0.00,2612.70,0.00,130.64,2743.34,15,
"MSFT Hyd",2025-12-02,11,"TAKEAWAY",392.86,0.00,392.86,0.00,19.64,412.50,2,
"MSFT Hyd",2025-12-02,12,"TAKEAWAY",585.19,0.00,585.19,0.00,29.26,614.45,4,
"MSFT Hyd",2025-12-02,13,"TAKEAWAY",3288.09,0.00,3288.09,0.00,164.42,3452.51,19,
"MSFT Hyd",2025-12-02,14,"TAKEAWAY",2057.79,0.00,2057.79,0.00,102.91,2160.70,12,
"MSFT Hyd",2025-12-02,15,"TAKEAWAY",5277.25,0.00,5277.25,0.00,263.87,5541.12,30,
"MSFT Hyd",2025-12-02,16,"TAKEAWAY",4763.55,0.00,4763.55,0.00,238.19,5001.74,29,
"MSFT Hyd",2025-12-02,16,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2025-12-02,17,"TAKEAWAY",4940.81,0.00,4940.81,0.00,247.09,5187.90,28,
"MSFT Hyd",2025-12-02,17,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2025-12-02,18,"TAKEAWAY",398.09,0.00,398.09,0.00,19.91,418.00,2,
"MSFT Hyd",2025-12-03,7,"TAKEAWAY",171.43,0.00,171.43,0.00,8.57,180.00,1,
"MSFT Hyd",2025-12-03,8,"TAKEAWAY",485.71,0.00,485.71,0.00,24.29,510.00,3,
"MSFT Hyd",2025-12-03,9,"TAKEAWAY",789.52,0.00,789.52,0.00,39.48,829.00,5,
"MSFT Hyd",2025-12-03,10,"TAKEAWAY",1980.94,0.00,1980.94,0.00,99.06,2080.00,12,
"MSFT Hyd",2025-12-03,11,"TAKEAWAY",1525.00,0.00,1525.00,0.00,76.25,1601.25,9,
"MSFT Hyd",2025-12-03,12,"TAKEAWAY",1183.05,0.00,1183.05,0.00,59.15,1242.20,8,
"MSFT Hyd",2025-12-03,13,"TAKEAWAY",2690.34,0.00,2690.34,0.00,134.51,2824.85,17,
"MSFT Hyd",2025-12-03,14,"TAKEAWAY",3452.30,0.00,3452.30,0.00,172.65,3624.95,20,
"MSFT Hyd",2025-12-03,15,"TAKEAWAY",4312.02,0.00,4312.02,0.00,215.63,4527.65,24,
"MSFT Hyd",2025-12-03,16,"TAKEAWAY",4971.99,0.00,4971.99,0.00,248.60,5220.59,30,
"MSFT Hyd",2025-12-03,17,"TAKEAWAY",4502.55,0.00,4502.55,0.00,225.12,4727.67,24,
