All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2026-01-01,0,"DINE IN",1879.58,0.00,1879.58,93.98,98.68,2072.24,3,
"Coffee Island Beyond GK II",2026-01-01,1,"DINE IN",710.00,0.00,710.00,35.50,37.28,782.78,2,
"Coffee Island Beyond GK II",2026-01-01,1,"DELIVERY",620.00,310.00,310.00,40.00,17.50,367.50,2,
"Coffee Island Beyond GK II",2026-01-01,2,"DINE IN",2985.00,150.50,2834.50,141.73,148.82,3125.05,4,
"Coffee Island Beyond GK II",2026-01-01,5,"DELIVERY",560.00,280.00,280.00,20.00,15.00,315.00,1,
"Coffee Island Beyond GK II",2026-01-01,5,"TAKEAWAY",230.00,0.00,230.00,0.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2026-01-01,5,"DINE IN",2350.85,31.00,2319.85,115.99,121.80,2557.64,5,
"Coffee Island Beyond GK II",2026-01-01,6,"TAKEAWAY",190.00,0.00,190.00,0.00,9.50,199.50,1,
"Coffee Island Beyond GK II",2026-01-01,7,"DELIVERY",1014.00,200.00,814.00,20.00,41.70,875.70,1,
"Coffee Island Beyond GK II",2026-01-01,8,"DINE IN",970.00,277.00,693.00,34.65,36.39,764.04,2,
"Coffee Island Beyond GK II",2026-01-01,8,"DELIVERY",460.00,0.00,460.00,20.00,24.00,504.00,1,
"Coffee Island Beyond GK II",2026-01-01,8,"TAKEAWAY",440.00,0.00,440.00,0.00,22.00,462.00,1,
"Coffee Island Beyond GK II",2026-01-01,9,"DINE IN",2375.24,0.00,2375.24,118.76,124.70,2618.70,1,
"Coffee Island Beyond GK II",2026-01-01,10,"DINE IN",1510.00,151.00,1359.00,67.95,71.35,1498.30,1,
"Coffee Island Beyond GK II",2026-01-01,10,"DELIVERY",250.00,125.00,125.00,20.00,7.25,152.25,1,
"Coffee Island Beyond GK II",2026-01-01,11,"DINE IN",1480.00,0.00,1480.00,74.00,77.71,1631.71,5,
"Coffee Island Beyond GK II",2026-01-01,12,"DELIVERY",2245.00,880.48,1364.52,60.00,71.22,1495.74,3,
"Coffee Island Beyond GK II",2026-01-01,12,"DINE IN",1565.00,115.00,1450.00,32.75,74.15,1556.90,2,
"Coffee Island Beyond GK II",2026-01-01,13,"DINE IN",1150.00,287.50,862.50,57.50,46.02,966.02,2,
"Coffee Island Beyond GK II",2026-01-01,14,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,3,
"Coffee Island Beyond GK II",2026-01-01,15,"DELIVERY",841.00,347.00,494.00,40.00,37.51,571.51,2,
"Coffee Island Beyond GK II",2026-01-01,15,"DINE IN",5730.00,452.00,5278.00,280.65,277.96,5836.61,5,
"Coffee Island Beyond GK II",2026-01-01,16,"DINE IN",1660.00,0.00,1660.00,52.00,85.60,1797.60,2,
"Coffee Island Beyond GK II",2026-01-01,17,"DINE IN",6133.33,462.00,5671.33,149.47,291.05,6111.85,6,
"Coffee Island Beyond GK II",2026-01-01,17,"DELIVERY",1644.00,599.38,1044.62,20.00,53.23,1117.85,1,
