Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"MSFT Hyd",2026-01-02,7,"TAKEAWAY",171.43,0.00,171.43,0.00,8.57,180.00,1,
"MSFT Hyd",2026-01-02,9,"TAKEAWAY",958.75,0.00,958.75,0.00,47.93,1006.68,5,
"MSFT Hyd",2026-01-02,10,"TAKEAWAY",1204.75,0.00,1204.75,0.00,60.25,1265.00,6,
"MSFT Hyd",2026-01-02,11,"TAKEAWAY",1023.29,0.00,1023.29,0.00,51.16,1074.45,6,
"MSFT Hyd",2026-01-02,12,"TAKEAWAY",1213.75,0.00,1213.75,0.00,60.70,1274.45,7,
"MSFT Hyd",2026-01-02,13,"TAKEAWAY",4472.71,0.00,4472.71,0.00,223.64,4696.35,27,
"MSFT Hyd",2026-01-02,14,"TAKEAWAY",3751.32,0.00,3751.32,0.00,187.58,3938.90,20,
"MSFT Hyd",2026-01-02,15,"TAKEAWAY",2772.72,0.00,2772.72,0.00,138.65,2911.37,15,
"MSFT Hyd",2026-01-02,16,"TAKEAWAY",5337.77,0.00,5337.77,0.00,266.92,5604.69,29,
"MSFT Hyd",2026-01-02,17,"TAKEAWAY",3848.54,0.00,3848.54,0.00,192.46,4041.00,22,
"MSFT Hyd",2026-01-02,18,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"MSFT Hyd",2026-01-05,8,"TAKEAWAY",171.43,0.00,171.43,0.00,8.57,180.00,1,
"MSFT Hyd",2026-01-05,9,"TAKEAWAY",1304.76,0.00,1304.76,0.00,65.24,1370.00,8,
"MSFT Hyd",2026-01-05,10,"TAKEAWAY",1133.34,0.00,1133.34,0.00,56.66,1190.00,7,
"MSFT Hyd",2026-01-05,11,"TAKEAWAY",1176.18,0.00,1176.18,0.00,58.82,1235.00,6,
"MSFT Hyd",2026-01-05,12,"TAKEAWAY",514.28,0.00,514.28,0.00,25.72,540.00,3,
"MSFT Hyd",2026-01-05,13,"TAKEAWAY",2219.30,0.00,2219.30,0.00,110.95,2330.25,13,
"MSFT Hyd",2026-01-05,14,"TAKEAWAY",3188.90,0.00,3188.90,0.00,159.45,3348.35,18,
"MSFT Hyd",2026-01-05,15,"TAKEAWAY",3048.45,0.00,3048.45,0.00,152.45,3200.90,19,
"MSFT Hyd",2026-01-05,16,"TAKEAWAY",3947.61,0.00,3947.61,0.00,197.35,4144.96,27,
"MSFT Hyd",2026-01-05,17,"TAKEAWAY",4027.82,0.00,4027.82,0.00,201.38,4229.20,23,
"MSFT Hyd",2026-01-05,18,"TAKEAWAY",209.52,0.00,209.52,0.00,10.48,220.00,1,
"MSFT Hyd",2026-01-06,7,"TAKEAWAY",171.43,0.00,171.43,0.00,8.57,180.00,1,
"MSFT Hyd",2026-01-06,8,"TAKEAWAY",241.28,0.00,241.28,0.00,12.06,253.34,1,
"MSFT Hyd",2026-01-06,9,"TAKEAWAY",1700.00,0.00,1700.00,0.00,85.00,1785.00,10,
"MSFT Hyd",2026-01-06,11,"TAKEAWAY",1528.57,0.00,1528.57,0.00,76.43,1605.00,10,
"MSFT Hyd",2026-01-06,12,"TAKEAWAY",1202.34,0.00,1202.34,0.00,60.11,1262.45,8,
"MSFT Hyd",2026-01-06,13,"TAKEAWAY",3763.56,0.00,3763.56,0.00,188.20,3951.76,21,
"MSFT Hyd",2026-01-06,14,"TAKEAWAY",1647.75,0.00,1647.75,0.00,82.38,1730.13,9,
"MSFT Hyd",2026-01-06,15,"TAKEAWAY",2599.98,0.00,2599.98,0.00,130.02,2730.00,15,
"MSFT Hyd",2026-01-06,16,"TAKEAWAY",3918.18,0.00,3918.18,0.00,195.94,4114.12,25,
"MSFT Hyd",2026-01-06,17,"TAKEAWAY",5175.12,0.00,5175.12,0.00,258.75,5433.87,31,
"MSFT Hyd",2026-01-07,7,"TAKEAWAY",171.43,0.00,171.43,0.00,8.57,180.00,1,
"MSFT Hyd",2026-01-07,8,"TAKEAWAY",314.29,0.00,314.29,0.00,15.71,330.00,2,
"MSFT Hyd",2026-01-07,9,"TAKEAWAY",1633.32,0.00,1633.32,0.00,81.68,1715.00,10,
"MSFT Hyd",2026-01-07,10,"TAKEAWAY",854.62,0.00,854.62,0.00,42.73,897.35,5,
"MSFT Hyd",2026-01-07,11,"TAKEAWAY",1750.80,0.00,1750.80,0.00,87.54,1838.34,9,
"MSFT Hyd",2026-01-07,12,"TAKEAWAY",993.77,0.00,993.77,0.00,49.68,1043.45,6,
"MSFT Hyd",2026-01-07,13,"TAKEAWAY",4788.98,0.00,4788.98,0.00,239.47,5028.45,28,
"MSFT Hyd",2026-01-07,14,"TAKEAWAY",2767.01,0.00,2767.01,0.00,138.34,2905.35,17,
"MSFT Hyd",2026-01-07,15,"TAKEAWAY",2732.74,0.00,2732.74,0.00,136.64,2869.38,15,
"MSFT Hyd",2026-01-07,16,"TAKEAWAY",6676.04,0.00,6676.04,0.00,333.79,7009.83,40,
"MSFT Hyd",2026-01-07,17,"TAKEAWAY",6406.04,0.00,6406.04,0.00,320.33,6726.37,33,
"MSFT Hyd",2026-01-07,18,"TAKEAWAY",333.33,0.00,333.33,0.00,16.67,350.00,2,
"MSFT Hyd",2026-01-07,18,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd",2026-01-08,7,"TAKEAWAY",171.43,0.00,171.43,0.00,8.57,180.00,1,
"MSFT Hyd",2026-01-08,8,"TAKEAWAY",152.38,0.00,152.38,0.00,7.62,160.00,1,
"MSFT Hyd",2026-01-08,9,"TAKEAWAY",652.38,0.00,652.38,0.00,32.62,685.00,4,
"MSFT Hyd",2026-01-08,10,"TAKEAWAY",1614.28,0.00,1614.28,0.00,80.72,1695.00,9,
"MSFT Hyd",2026-01-08,11,"TAKEAWAY",895.24,0.00,895.24,0.00,44.76,940.00,4,
"MSFT Hyd",2026-01-08,12,"TAKEAWAY",2137.57,0.00,2137.57,0.00,106.88,2244.45,10,
"MSFT Hyd",2026-01-08,13,"TAKEAWAY",2875.23,0.00,2875.23,0.00,143.77,3019.00,17,
"MSFT Hyd",2026-01-08,14,"TAKEAWAY",3386.45,0.00,3386.45,0.00,169.35,3555.80,21,
"MSFT Hyd",2026-01-08,15,"TAKEAWAY",1178.41,0.00,1178.41,0.00,58.94,1237.35,7,
"MSFT Hyd",2026-01-08,16,"TAKEAWAY",4879.51,0.00,4879.51,0.00,243.98,5123.49,31,
"MSFT Hyd",2026-01-08,17,"TAKEAWAY",7258.94,0.00,7258.94,0.00,362.99,7621.93,36,
"MSFT Hyd",2026-01-08,18,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
