Generated On: 2026-02-02 01:14:40 pm
*All the values shown here are in INR,

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island Beyond GK II,2026-02-01,0,DINE IN,795.00,0.00,795.00,39.75,41.74,876.49,1,
Coffee Island Beyond GK II,2026-02-01,1,DINE IN,510.00,0.00,510.00,25.50,26.78,562.28,2,
Coffee Island Beyond GK II,2026-02-01,1,DELIVERY,340.00,0.00,340.00,20.00,18.00,378.00,1,
Coffee Island Beyond GK II,2026-02-01,2,DELIVERY,630.00,72.00,558.00,40.00,29.90,627.90,2,
Coffee Island Beyond GK II,2026-02-01,2,DINE IN,1645.00,0.00,1645.00,82.25,86.36,1813.61,4,
Coffee Island Beyond GK II,2026-02-01,3,DINE IN,450.00,0.00,450.00,22.50,23.63,496.13,2,
Coffee Island Beyond GK II,2026-02-01,6,DINE IN,1618.00,0.00,1618.00,80.90,84.95,1783.85,1,
Coffee Island Beyond GK II,2026-02-01,6,DELIVERY,280.00,50.00,230.00,20.00,12.50,262.50,1,
Coffee Island Beyond GK II,2026-02-01,7,DINE IN,330.00,87.00,243.00,12.15,12.76,267.91,2,
Coffee Island Beyond GK II,2026-02-01,7,DELIVERY,250.00,125.00,125.00,20.00,7.25,152.25,1,
Coffee Island Beyond GK II,2026-02-01,8,TAKEAWAY,285.00,0.00,285.00,0.00,14.25,299.25,1,
Coffee Island Beyond GK II,2026-02-01,8,DELIVERY,805.00,179.99,625.01,20.00,32.25,677.26,1,
Coffee Island Beyond GK II,2026-02-01,8,DINE IN,3178.00,163.00,3015.00,150.75,158.29,3324.04,2,
Coffee Island Beyond GK II,2026-02-01,10,DELIVERY,1360.00,415.00,945.00,40.00,49.25,1034.25,2,
Coffee Island Beyond GK II,2026-02-01,11,DINE IN,2270.00,689.00,1581.00,79.05,83.01,1743.06,2,
Coffee Island Beyond GK II,2026-02-01,11,DELIVERY,610.00,230.00,380.00,20.00,20.00,420.00,1,
Coffee Island Beyond GK II,2026-02-01,12,TAKEAWAY,740.00,140.00,600.00,0.00,30.00,630.00,2,
Coffee Island Beyond GK II,2026-02-01,13,DELIVERY,815.00,259.99,555.01,40.00,29.76,624.77,2,
Coffee Island Beyond GK II,2026-02-01,13,DINE IN,1260.00,116.00,1144.00,57.20,60.06,1261.26,2,
Coffee Island Beyond GK II,2026-02-01,13,TAKEAWAY,190.00,0.00,190.00,0.00,9.50,199.50,1,
Coffee Island Beyond GK II,2026-02-01,14,DINE IN,1140.00,0.00,1140.00,57.00,59.85,1256.85,1,
Coffee Island Beyond GK II,2026-02-01,15,DINE IN,935.00,130.00,805.00,40.25,42.26,887.51,3,
Coffee Island Beyond GK II,2026-02-01,15,DELIVERY,610.00,205.00,405.00,40.00,22.25,467.25,2,
Coffee Island Beyond GK II,2026-02-01,15,TAKEAWAY,1155.00,0.00,1155.00,0.00,57.75,1212.75,1,
Coffee Island Beyond GK II,2026-02-01,16,TAKEAWAY,890.00,0.00,890.00,0.00,44.50,934.50,1,
Coffee Island Beyond GK II,2026-02-01,16,DELIVERY,1360.00,264.96,1095.04,40.00,56.75,1191.79,2,
Coffee Island Beyond GK II,2026-02-01,16,DINE IN,5550.71,314.00,5236.71,261.84,274.94,5773.49,7,
Coffee Island Beyond GK II,2026-02-01,17,DINE IN,2180.00,0.00,2180.00,109.00,114.45,2403.45,6,
Coffee Island Beyond GK II,2026-02-01,18,TAKEAWAY,314.28,0.00,314.28,0.00,15.72,330.00,2,
Coffee Island Beyond GK II,2026-02-01,18,DINE IN,2860.00,327.00,2533.00,126.65,132.98,2792.63,5,
Coffee Island Beyond GK II,2026-02-01,18,DELIVERY,539.00,125.00,414.00,20.00,21.70,455.70,1,
Coffee Island Beyond GK II,2026-02-01,19,DINE IN,1890.00,233.00,1657.00,82.85,87.00,1826.85,3,
Coffee Island Beyond GK II,2026-02-01,19,DELIVERY,895.00,205.00,690.00,40.00,36.51,766.51,2,
Coffee Island Beyond GK II,2026-02-01,20,DINE IN,2280.00,118.00,2162.00,108.10,113.53,2383.63,3,
Coffee Island Beyond GK II,2026-02-01,20,TAKEAWAY,490.00,28.00,462.00,0.00,23.10,485.10,2,
Coffee Island Beyond GK II,2026-02-01,20,DELIVERY,340.00,50.00,290.00,20.00,15.50,325.50,1,
Coffee Island Beyond GK II,2026-02-01,21,DINE IN,4215.00,203.00,4012.00,200.60,210.64,4423.24,6,
Coffee Island Beyond GK II,2026-02-01,21,TAKEAWAY,230.00,0.00,230.00,0.00,11.50,241.50,1,
Coffee Island Beyond GK II,2026-02-01,21,DELIVERY,451.00,125.00,326.00,20.00,17.30,363.30,1,
Coffee Island Beyond GK II,2026-02-01,22,DINE IN,990.00,0.00,990.00,49.50,51.98,1091.48,2,
Coffee Island Beyond GK II,2026-02-01,22,DELIVERY,650.00,225.00,425.00,40.00,23.25,488.25,2,
Coffee Island Beyond GK II,2026-02-01,22,TAKEAWAY,340.00,0.00,340.00,0.00,17.00,357.00,1,
Coffee Island Beyond GK II,2026-02-01,23,DINE IN,1908.57,0.00,1908.57,95.43,100.20,2104.20,1,
Coffee Island Beyond GK II,2026-02-01,23,DELIVERY,518.47,80.00,438.47,40.00,23.92,502.39,2,
Coffee Island HQ-27,2026-02-01,8,DELIVERY,437.24,199.89,237.35,20.00,26.09,283.44,1,
Coffee Island HQ-27,2026-02-01,8,DINE IN,830.00,0.00,830.00,0.00,41.50,871.50,1,
Coffee Island HQ-27,2026-02-01,9,DELIVERY,560.00,280.00,280.00,20.00,15.00,315.00,1,
Coffee Island HQ-27,2026-02-01,10,DINE IN,700.00,0.00,700.00,0.00,35.00,735.00,2,
Coffee Island HQ-27,2026-02-01,10,DELIVERY,250.00,125.00,125.00,20.00,7.25,152.25,1,
Coffee Island HQ-27,2026-02-01,11,DINE IN,3450.00,565.00,2885.00,0.00,144.25,3029.25,3,
Coffee Island HQ-27,2026-02-01,11,DELIVERY,1010.00,390.00,620.00,40.00,33.00,693.00,2,
