Generated On: 2026-02-03 10:51:26 am
*All the values shown here are in INR,

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island Beyond GK II,2026-02-02,0,DELIVERY,585.00,0.00,585.00,20.00,30.25,635.25,1,
Coffee Island Beyond GK II,2026-02-02,1,DINE IN,520.00,0.00,520.00,26.00,27.31,573.31,2,
Coffee Island Beyond GK II,2026-02-02,1,DELIVERY,720.00,360.00,360.00,20.00,19.00,399.00,1,
Coffee Island Beyond GK II,2026-02-02,2,TAKEAWAY,620.00,0.00,620.00,0.00,31.00,651.00,2,
Coffee Island Beyond GK II,2026-02-02,2,DELIVERY,2260.00,1130.00,1130.00,20.00,57.50,1207.50,1,
Coffee Island Beyond GK II,2026-02-02,4,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island Beyond GK II,2026-02-02,6,DINE IN,1175.00,0.00,1175.00,58.75,61.69,1295.44,2,
Coffee Island Beyond GK II,2026-02-02,8,DELIVERY,250.00,125.00,125.00,20.00,7.25,152.25,1,
Coffee Island Beyond GK II,2026-02-02,9,TAKEAWAY,423.33,0.00,423.33,0.00,21.17,444.50,1,
Coffee Island Beyond GK II,2026-02-02,9,DELIVERY,250.00,125.00,125.00,20.00,7.25,152.25,1,
Coffee Island Beyond GK II,2026-02-02,10,DINE IN,630.00,157.50,472.50,23.63,24.82,520.95,2,
Coffee Island Beyond GK II,2026-02-02,11,DELIVERY,1380.00,690.00,690.00,80.00,38.50,808.50,4,
Coffee Island Beyond GK II,2026-02-02,11,TAKEAWAY,210.00,0.00,210.00,0.00,10.50,220.50,1,
Coffee Island Beyond GK II,2026-02-02,11,DINE IN,2580.00,0.00,2580.00,129.00,135.45,2844.45,1,
Coffee Island Beyond GK II,2026-02-02,12,DINE IN,985.00,230.00,755.00,37.75,39.64,832.39,3,
Coffee Island Beyond GK II,2026-02-02,13,DELIVERY,793.42,205.00,588.42,40.00,31.42,659.84,2,
Coffee Island Beyond GK II,2026-02-02,13,TAKEAWAY,290.00,5.00,285.00,0.00,14.25,299.25,1,
Coffee Island Beyond GK II,2026-02-02,13,DINE IN,310.00,0.00,310.00,15.50,16.28,341.78,1,
Coffee Island Beyond GK II,2026-02-02,14,DINE IN,2550.00,22.00,2528.00,107.40,131.79,2767.19,6,
Coffee Island Beyond GK II,2026-02-02,15,DELIVERY,320.00,72.00,248.00,20.00,13.40,281.40,1,
Coffee Island Beyond GK II,2026-02-02,16,DINE IN,3615.48,125.00,3490.48,174.52,183.25,3848.25,6,
Coffee Island Beyond GK II,2026-02-02,16,TAKEAWAY,210.00,0.00,210.00,0.00,10.50,220.50,1,
