Generated On: 2026-02-04 10:27:41 am
Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
MSFT Hyd,2026-02-03,7,TAKEAWAY,160.00,0.00,160.00,0.00,8.00,168.00,1,
MSFT Hyd,2026-02-03,9,TAKEAWAY,1442.86,0.00,1442.86,0.00,72.14,1515.00,8,
MSFT Hyd,2026-02-03,10,TAKEAWAY,547.62,0.00,547.62,0.00,27.38,575.00,3,
MSFT Hyd,2026-02-03,11,TAKEAWAY,1942.86,0.00,1942.86,0.00,97.14,2040.00,10,
MSFT Hyd,2026-02-03,12,TAKEAWAY,180.00,0.00,180.00,0.00,9.00,189.00,1,
MSFT Hyd,2026-02-03,13,TAKEAWAY,4890.48,0.00,4890.48,0.00,244.52,5135.00,25,
MSFT Hyd,2026-02-03,14,TAKEAWAY,3400.48,0.00,3400.48,0.00,170.02,3570.50,16,
MSFT Hyd,2026-02-03,15,TAKEAWAY,3277.62,0.00,3277.62,0.00,163.88,3441.50,16,
MSFT Hyd,2026-02-03,16,TAKEAWAY,4687.62,0.00,4687.62,0.00,234.38,4922.00,28,
MSFT Hyd,2026-02-03,16,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
MSFT Hyd,2026-02-03,17,TAKEAWAY,4995.72,0.00,4995.72,0.00,249.78,5245.50,27,
MSFT Hyd,2026-02-03,17,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,2,
MSFT Hyd,2026-02-03,18,TAKEAWAY,2950.00,0.00,2950.00,0.00,147.50,3097.50,13,
MSFT Hyd,2026-02-03,19,TAKEAWAY,1350.00,0.00,1350.00,0.00,67.50,1417.50,6,

