Generated On: 2026-02-05 01:50:11 pm
Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,7,TAKEAWAY,190.00,0.00,190.00,0.00,9.50,199.50,1,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,8,TAKEAWAY,160.00,0.00,160.00,0.00,8.00,168.00,1,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,9,TAKEAWAY,150.00,0.00,150.00,0.00,7.50,157.50,1,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,10,TAKEAWAY,555.24,0.00,555.24,0.00,27.76,583.00,3,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,11,TAKEAWAY,1207.62,0.00,1207.62,0.00,60.38,1268.00,7,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,12,TAKEAWAY,880.00,0.00,880.00,0.00,44.00,924.00,5,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,13,TAKEAWAY,4827.62,0.00,4827.62,0.00,241.38,5069.00,26,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,14,TAKEAWAY,2570.00,0.00,2570.00,0.00,128.50,2698.50,14,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,15,TAKEAWAY,2920.00,0.00,2920.00,0.00,146.00,3066.00,16,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,16,TAKEAWAY,7395.72,0.00,7395.72,0.00,369.78,7765.50,39,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,17,TAKEAWAY,5075.24,0.00,5075.24,0.00,253.76,5329.00,28,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,18,TAKEAWAY,2577.62,0.00,2577.62,0.00,128.88,2706.50,15,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,19,TAKEAWAY,1520.00,0.00,1520.00,0.00,76.00,1596.00,8,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,20,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,20,TAKEAWAY,280.00,0.00,280.00,0.00,14.00,294.00,2,

