Generated On: 2026-02-05 01:50:00 pm
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,0,DINE IN,4255.24,0.00,4255.24,212.76,223.40,4691.40,3,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,1,TAKEAWAY,870.00,0.00,870.00,0.00,43.50,913.50,3,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,1,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,2,TAKEAWAY,560.00,0.00,560.00,0.00,28.00,588.00,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,3,DELIVERY,519.00,124.99,394.01,20.00,20.70,434.71,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,5,DINE IN,1090.00,109.00,981.00,49.05,51.50,1081.55,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,7,TAKEAWAY,210.00,0.00,210.00,0.00,10.50,220.50,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,7,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,7,DELIVERY,330.00,80.00,250.00,20.00,13.50,283.50,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,8,DINE IN,1820.86,0.00,1820.86,91.04,156.07,2067.97,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,9,TAKEAWAY,250.00,0.00,250.00,0.00,12.50,262.50,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,9,DINE IN,210.00,52.50,157.50,7.88,8.27,173.65,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,10,DELIVERY,1909.17,674.99,1234.18,80.00,65.71,1379.89,4,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,10,DINE IN,1659.00,340.00,1319.00,82.95,70.11,1472.06,2,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,11,TAKEAWAY,400.00,0.00,400.00,0.00,20.00,420.00,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,11,DINE IN,1180.00,295.00,885.00,44.25,46.48,975.73,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,12,DINE IN,3490.00,315.00,3175.00,158.75,166.69,3500.44,4,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,12,TAKEAWAY,290.00,5.00,285.00,0.00,14.25,299.25,1,
