Generated On: 2026-02-06 10:37:48 am
Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,8,TAKEAWAY,160.00,0.00,160.00,0.00,8.00,168.00,1,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,9,TAKEAWAY,1450.00,0.00,1450.00,0.00,72.50,1522.50,8,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,10,TAKEAWAY,2082.86,0.00,2082.86,0.00,104.14,2187.00,11,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,11,TAKEAWAY,1985.24,0.00,1985.24,0.00,99.26,2084.50,11,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,12,TAKEAWAY,2147.62,0.00,2147.62,0.00,107.38,2255.00,12,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,13,TAKEAWAY,4557.62,0.00,4557.62,0.00,227.88,4785.50,24,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,14,TAKEAWAY,3153.82,0.00,3153.82,0.00,157.68,3311.50,8,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,15,TAKEAWAY,6150.96,0.00,6150.96,0.00,307.54,6458.50,32,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,16,TAKEAWAY,5820.00,0.00,5820.00,0.00,291.00,6111.00,33,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,17,TAKEAWAY,6958.10,0.00,6958.10,0.00,347.90,7306.00,37,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,18,TAKEAWAY,1657.62,0.00,1657.62,0.00,82.88,1740.50,9,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,18,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,19,TAKEAWAY,950.00,0.00,950.00,0.00,47.50,997.50,5,
MSFT Hyd,Hydrerabad,Corporate,2026-02-05,20,TAKEAWAY,180.00,0.00,180.00,0.00,9.00,189.00,1,

