Generated On: 2026-02-06 10:37:34 am
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,0,TAKEAWAY,850.00,0.00,850.00,0.00,42.50,892.50,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,0,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,3,DELIVERY,1115.00,0.00,1115.00,20.00,56.75,1191.75,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,7,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,7,DELIVERY,250.00,125.00,125.00,20.00,7.25,152.25,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,8,TAKEAWAY,310.00,0.00,310.00,0.00,15.50,325.50,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,8,DINE IN,1170.00,52.50,1117.50,55.88,58.67,1232.05,2,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,8,DELIVERY,460.00,230.00,230.00,20.00,12.50,262.50,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,9,DELIVERY,728.00,179.99,548.01,20.00,28.40,596.41,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,10,DELIVERY,260.00,67.00,193.00,20.00,10.65,223.65,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,10,DINE IN,960.00,0.00,960.00,48.00,50.40,1058.40,2,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,10,TAKEAWAY,230.00,0.00,230.00,0.00,11.50,241.50,1,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,11,DELIVERY,613.56,197.00,416.56,40.00,44.83,501.39,2,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,12,DINE IN,290.00,72.50,217.50,10.88,11.42,239.80,2,
