Deployment Name,Warehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-09-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,30-09-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,23-12-2025, 05:34:26 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000004,,Beans - Ethiopian Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,1063.33,-,1063.33,5,265.83,5316.65,5582.48,-,02-09-2025,5,265.83,5316.65,5582.48,-,110,11-09-2025,5,265.83,5316.65,5582.48,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000005,,Beans - Ethiopian Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,3013.33,-,3013.33,4.5,678,13559.99,14237.99,-,02-09-2025,4.5,678,13559.985,14237.99,-,110,11-09-2025,4.5,678,13559.99,14237.99,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000003,,Beans - Kenya Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,1093.33,-,1093.33,5,273.33,5466.65,5739.98,-,02-09-2025,5,273.33,5466.65,5739.98,-,110,11-09-2025,5,273.33,5466.65,5739.98,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000006,,Beans - Kenya Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,3463.33,-,3463.33,5,865.83,17316.65,18182.48,-,02-09-2025,5,865.83,17316.65,18182.48,-,110,11-09-2025,5,865.83,17316.65,18182.48,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,25,997.91,19958.25,20956.16,-,02-09-2025,25,997.91,19958.25,20956.16,-,110,11-09-2025,25,997.91,19958.25,20956.16,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,768.33,-,768.33,35,1344.58,26891.55,28236.13,-,02-09-2025,35,1344.58,26891.55,28236.13,-,110,11-09-2025,35,1344.58,26891.55,28236.13,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000034,,Chocolate Powder - 0% Sugar,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,1039,-,1039,5,935.1,5195,6130.1,-,02-09-2025,5,935.1,5195,6130.1,-,110,11-09-2025,5,935.1,5195,6130.1,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,1413,7850,9263,-,02-09-2025,10,1413,7850,9263,-,110,11-09-2025,10,1413,7850,9263,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,CNC0000031,,CI Branded Hand Cut 12OZ Glass,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,234,-,234,24,1010.88,5616,6626.88,-,02-09-2025,24,1010.88,5616,6626.88,-,110,11-09-2025,24,1010.88,5616,6626.88,-,No,0,0,0,0,0,0,Received
