Deployment Name,Warehouse NCR
Start Date,01-12-2025
End Date,31-12-2025
Report Generation Date&Time,05/01/2026, 01:09:59 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,

Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,CNC0000033,,CI Whisky Glass for 100 ML Cork Bottle,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,146.02,-,146.02,12,87.61,1752.25,1839.86,-,02-12-2025,12,87.61,1752.2533333333333,1839.86,-,237,03-12-2025,12,87.61,1752.25,1839.86,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,CAP0000004,,Commercial Induction Cook Top,CT_02,BOH FOOD EQUIPMENT,-,CAPEX,PCS..,12000,-,12000,3,6480,36000,42480,-,02-12-2025,3,6480,36000,42480,-,237,03-12-2025,3,6480,36000,42480,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,CNC0000016,,Dinner Fork,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,38.75,-,38.75,18,125.55,697.5,823.05,-,02-12-2025,18,125.55,697.5,823.05,-,237,03-12-2025,18,125.55,697.5,823.05,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,CNC0000015,,Dinner Spoon,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,38.75,-,38.75,18,125.55,697.5,823.05,-,02-12-2025,18,125.55,697.5,823.05,-,237,03-12-2025,18,125.55,697.5,823.05,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,,,GM Kala Khatta Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML,407.55,-,407.55,1,20.38,407.55,427.93,-,02-12-2025,1,20.38,407.55000000000007,427.93,-,237,03-12-2025,1,20.38,407.55,427.93,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,,,GM Masala Lemonade Syrup 1000ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(1LTR),465,-,465,1,23.25,465,488.25,-,02-12-2025,1,23.25,465,488.25,-,237,03-12-2025,1,23.25,465,488.25,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,,,GM Nimbu Masala Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML,380,-,380,1,19,380,399,-,02-12-2025,1,19,380,399,-,237,03-12-2025,1,19,380,399,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,,,GM Orange Crush 1000ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(1LTR),245,-,245,1,12.25,245,257.25,-,02-12-2025,1,12.25,245,257.25,-,237,03-12-2025,1,12.25,245,257.25,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,,,GM Spicy Mango Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML,251,-,251,1,12.55,251,263.55,-,02-12-2025,1,12.55,251,263.55,-,237,03-12-2025,1,12.55,251,263.55,-,No,0,0.00,0,0,0,0,Received,
