Deployment Name,Warehouse Mumbai
Start Date,01-02-2026
End Date,15-02-2026
Report Generation Date&Time,17/02/2026, 04:59:05 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,

Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,RAW0000004,,Beans - Ethiopian Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,1063.33,-,1063.33,1,53.167,1063.33,1116.5,-,11-02-2026,1,53.17,1063.33,1116.5,-,45,12-02-2026,1,53.17,1063.33,1116.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,5,199.583,3991.65,4191.23,-,11-02-2026,5,199.58,3991.6500000000005,4191.23,-,45,12-02-2026,5,199.58,3991.65,4191.23,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,RAW0000002,09011111,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,812.4,-,812.4,40,1624.8,32496,34120.8,-,11-02-2026,40,1624.8,32496,34120.8,-,45,12-02-2026,30,1218.6,24372,25590.6,short recieve,No,10,8124,0,0,0,0,Suspicious,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,RAW0000034,,Chocolate Powder - 0% Sugar,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,550,-,550,1,27.5,550,577.5,-,11-02-2026,1,27.5,550,577.5,-,45,12-02-2026,1,27.5,550,577.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,15,588.75,11775,12363.75,-,11-02-2026,15,588.75,11775,12363.75,-,45,12-02-2026,15,588.75,11775,12363.75,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,CNC0000035,70131000,CI Boba Beverage Glassware 360ML,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,56,-,56,18,181.44,1008,1189.44,-,11-02-2026,18,181.44,1008,1189.44,-,45,12-02-2026,18,181.44,1008,1189.44,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,PKG0000034,,Coffee Island Bag Sealing Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.25,-,1.25,500,112.5,625,737.5,-,11-02-2026,497,111.83,621.25,733.08,-,45,12-02-2026,497,111.83,621.25,733.08,short recieve,No,0,0.00,0,3.75,0,0,Suspicious Resolved By Supplier,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,PKG0000035,,Coffee Island Coin Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.23,-,0.23,500,20.7,115,135.7,-,11-02-2026,500,20.7,115,135.7,-,45,12-02-2026,500,20.7,115,135.7,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,PKG0000036,,Coffee Island MRD Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.35,-,0.35,1100,69.3,385,454.3,-,11-02-2026,1100,69.3,385,454.3,-,45,12-02-2026,1100,69.3,385,454.3,-,No,0,0.00,0,0,0,0,Received,
