Deployment Name,Warehouse Mumbai
Start Date,01-11-2025
End Date,30-11-2025
Report Generation Date&Time,26/12/2025, 03:57:01 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,

Warehouse Mumbai,Coffee Island Eros Churchgate - Mumbai,-,28-11-2025,29-11-2025,IN14,Received,RAW0000169,,Bird Eye Chilli Syrup,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(500ML/560GM),360,-,360,1,18,360,378,-,28-11-2025,1,18,360,378,-,4,06-12-2025,1,18,360,378,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island Eros Churchgate - Mumbai,-,28-11-2025,29-11-2025,IN14,Received,RAW0000168,,Orange syrup,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(500ML/560GM),360,-,360,4,72,1440,1512,-,28-11-2025,4,72,1440,1512,-,4,06-12-2025,4,72,1440,1512,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island Phoenix Market City - Mumbai,-,28-11-2025,29-11-2025,IN8,Received,RAW0000169,,Bird Eye Chilli Syrup,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(500ML/560GM),360,-,360,1,18,360,378,-,28-11-2025,1,18,360,378,-,3,02-12-2025,1,18,360,378,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island Phoenix Market City - Mumbai,-,28-11-2025,29-11-2025,IN8,Received,RAW0000168,,Orange syrup,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(500ML/560GM),360,-,360,4,72,1440,1512,-,28-11-2025,4,72,1440,1512,-,3,02-12-2025,4,72,1440,1512,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,-,28-11-2025,29-11-2025,IN19,Received,RAW0000169,,Bird Eye Chilli Syrup,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(500ML/560GM),360,-,360,1,18,360,378,-,28-11-2025,1,18,360,378,-,2,03-12-2025,1,18,360,378,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,-,28-11-2025,29-11-2025,IN19,Received,RAW0000168,,Orange syrup,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(500ML/560GM),360,-,360,4,72,1440,1512,-,28-11-2025,4,72,1440,1512,-,2,03-12-2025,4,72,1440,1512,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Tribeca Pune,-,28-11-2025,29-11-2025,IN18,Received,RAW0000169,,Bird Eye Chilli Syrup,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(500ML/560GM),360,-,360,1,18,360,378,-,28-11-2025,1,18,360,378,-,1,07-12-2025,1,18,360,378,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Tribeca Pune,-,28-11-2025,29-11-2025,IN18,Received,RAW0000168,,Orange syrup,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(500ML/560GM),360,-,360,4,72,1440,1512,-,28-11-2025,4,72,1440,1512,-,1,07-12-2025,4,72,1440,1512,-,No,0,0.00,0,0,0,0,Received,
,,,,,,,,,,,,,,,,,,Grand Total,360,7200,7560,,,,360,7200,7560,,,,,360,7200,7560,,,,0,,0,,0,
