Deployment Name,Warehouse NCR
Start Date,16-02-2026
End Date,10-03-2026
Report Generation Date&Time,11/03/2026, 05:13:28 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,

Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,16-02-2026,17-02-2026,IN61,Received,RAW0000002,09011111,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,812.4,-,812.4,10,406.2,8124,8530.2,-,17-02-2026,10,406.2,8124,8530.2,-,334,20-02-2026,10,406.2,8124,8530.2,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,16-02-2026,17-02-2026,IN61,Received,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,784.8,-,784.8,10,392.4,7848.04,8240.44,-,17-02-2026,10,392.4,7848.0375,8240.44,-,334,20-02-2026,10,392.4,7848.04,8240.44,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,16-02-2026,17-02-2026,IN61,Received,CNC0000035,70131000,CI Boba Beverage Glassware 360ML,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,56,-,56,6,60.48,336,396.48,-,17-02-2026,6,60.48,336,396.48,-,334,20-02-2026,6,60.48,336,396.48,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,16-02-2026,17-02-2026,IN61,Received,PKG0000034,,Coffee Island Bag Sealing Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.25,-,1.25,1008,226.8,1260,1486.8,-,17-02-2026,1008,226.8,1260,1486.8,-,334,20-02-2026,1008,226.8,1260,1486.8,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,16-02-2026,17-02-2026,IN61,Received,PKG0000001,48239090,Disposable - Cutlery Sleeve,CT_18,DISPOSABLE CUTLERY - CUTLERY POUCH,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,500,99,550,649,-,17-02-2026,500,99,550,649,-,334,20-02-2026,500,99,550,649,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,16-02-2026,17-02-2026,IN61,Received,PKG0000016,39239020,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.5,-,1.5,500,135,750,885,-,17-02-2026,500,135,750,885,-,334,20-02-2026,500,135,750,885,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,16-02-2026,17-02-2026,IN61,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.65,-,4.65,500,418.5,2325,2743.5,-,17-02-2026,500,418.5,2325,2743.5,-,334,20-02-2026,500,418.5,2325,2743.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,16-02-2026,17-02-2026,IN61,Received,RAW0000146,,Peach Garden Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML/983GM),407.55,-,407.55,2,40.76,815.1,855.86,-,17-02-2026,2,40.76,815.1,855.86,-,334,20-02-2026,2,40.76,815.1,855.86,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,16-02-2026,17-02-2026,IN61,Received,RAW0000170,,Strawberry Syrup 750 Ml,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML/983GM),407.55,-,407.55,1,20.38,407.55,427.93,-,17-02-2026,1,20.38,407.55,427.93,-,334,20-02-2026,1,20.38,407.55,427.93,-,No,0,0.00,0,0,0,0,Received,
