EXPIRY REPORT EXPORT,,,,,,,,,,,,
Warehouse,Entry No.,Transaction Date,Item Code,Item Name,Category,Unit,Price,Qty,Amount,Manufacture Date,Duration,Expiry Date
Warehouse NCR,PO 2,05-05-2025,,GM Orange Crush 1000ML,RM BEVERAGES - SYRUP/SAUCE,BTL(1LTR),245,6,1470,-,12 Months,05-03-2026
Warehouse NCR,PO 2,05-05-2025,,GM Nimbu Masala Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML,380,6,2280,-,12 Months,05-05-2026
Warehouse NCR,PO 10,15-05-2025,,Ecolab Quik Care N70 E,CLEANING CHEMICALS - POWDERS,PCS,120,6,720,-,12 Months,15-05-2026
Warehouse NCR,PO 16,26-05-2025,,GM Masala Lemonade Syrup 1000ML,RM BEVERAGES - SYRUP/SAUCE,BTL(1LTR),465,12,5580,-,12 Months,26-05-2026
Warehouse NCR,PO 15,22-05-2025,,GM Spicy Mango Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML,251,12,3012,08-04-2025,12 Months,08-04-2026
Warehouse NCR,PO 8,13-05-2025,,GM Choco Lava Cake Mix 1000GM,RM FOOD - VEG INGREDIENTS,KG,212,12,2544,-,6 Months,23-09-2025
Warehouse NCR,PO 1,05-05-2025,,GM Blue Curacao Syrup 1000ML,RM BEVERAGES - SYRUP/SAUCE,BTL(1LTR),411,6,2466,-,6 Months,05-11-2025
Warehouse NCR,PO 25,18-06-2025,,GM Blue Curacao Syrup 1000ML,RM BEVERAGES - SYRUP/SAUCE,BTL(1LTR),411,12,4932,-,10 Months,12-01-2026
Warehouse NCR,PO 26,16-06-2025,,GM Nimbu Masala Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML,380,12,4560,-,12 Months,16-06-2026
Warehouse NCR,PO 26,16-06-2025,,GM Orange Crush 1000ML,RM BEVERAGES - SYRUP/SAUCE,BTL(1LTR),245,12,2940,-,12 Months,16-06-2026
Warehouse NCR,PO 27,24-06-2025,,Degreaser,CLEANING CHEMICALS - LIQUID,PCS,740,4,2960,-,12 Months,24-06-2026
Warehouse NCR,PO 27,24-06-2025,,Kay AMH Handwash Plus,CLEANING CHEMICALS - LIQUID,PCS,725,4,2900,-,12 Months,24-06-2026
Warehouse NCR,PO 21,10-06-2025,,GM Choco Lava Cake Mix 1000GM,RM FOOD - VEG INGREDIENTS,KG,212,24,5088,28-05-2025,6 Months,28-11-2025
Warehouse NCR,PO 38,18-07-2025,,GM Masala Lemonade Syrup 1000ML,RM BEVERAGES - SYRUP/SAUCE,BTL(1LTR),465,12,5580,-,6 Months,18-01-2026
Warehouse NCR,PO 37,22-07-2025,,GM Kala Khatta Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML,407.55,12,4890.6,-,24 Months,22-07-2027
Warehouse NCR,PO 37,22-07-2025,,GM Peach Garden Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML,407.55,12,4890.6,-,24 Months,22-07-2027
Warehouse NCR,PO 39,07-08-2025,,GM Spicy Mango Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML,251,8,2008,-,12 Months,07-08-2025
Warehouse NCR,PO 62,19-09-2025,RAW0000148,Passion Fruit Syrup 1 Ltr,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML/983GM),407.55,24,9781.2,-,12 Months,24-10-2026
Warehouse NCR,PO 62,19-09-2025,RAW0000147,Apple Zest syrup 1 Ltr,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML/983GM),407.55,24,9781.2,-,12 Months,20-11-2026
Warehouse NCR,PO 62,19-09-2025,RAW0000146,Peach Garden Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML/983GM),407.55,24,9781.2,-,12 Months,01-03-2027
Warehouse NCR,PO 59,17-09-2025,RAW0000145,J1 Matcha Powder,RM BEVERAGES - POWDERS,PCS(20GM),157.14,100,15714,-,12 Months,01-07-2027
Warehouse NCR,PO 69,10-10-2025,RAW0000145,J1 Matcha Powder,RM BEVERAGES - POWDERS,PCS(20GM),126,50,6300,-,12 Months,10-05-2026
Warehouse NCR,PO 66,31-10-2025,RAW0000145,J1 Matcha Powder,RM BEVERAGES - POWDERS,PCS(20GM),126,400,50400,-,12 Months,10-05-2026
Warehouse NCR,PO 61,03-10-2025,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,KG,768.33,378,290428.74,-,12 Months,23-05-2026
Warehouse NCR,PO 67,09-10-2025,RAW0000147,Apple Zest syrup 750 Ml,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML/983GM),407.55,24,9781.2,-,12 Months,20-11-2026
Warehouse NCR,PO 57,11-10-2025,RAW0000024,Protein Powder - Cookie & Cream,RM BEVERAGES - POWDERS,KG,1460,30,43800,-,12 Months,28-02-2027
Warehouse NCR,PO 67,09-10-2025,RAW0000148,Passion Fruit Syrup 750 Ml,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML/983GM),407.55,15,6113.25,-,12 Months,14-08-2027
Warehouse NCR,PO 67,09-10-2025,RAW0000146,Peach Garden Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML/983GM),407.55,24,9781.2,-,12 Months,09-09-2027
Warehouse NCR,PO 77,01-11-2025,RAW0000025,Chocolate Powder - Hot,RM BEVERAGES - POWDERS,PKT(500GM),392.5,200,78500,-,12 Months,28-04-2026
Warehouse NCR,PO 85,24-11-2025,RAW0000169,Bird Eye Chilli Syrup,RM BEVERAGES - SYRUP/SAUCE,BTL(500ML/560GM),360,4,1440,-,12 Months,30-04-2026
Warehouse NCR,PO 85,24-11-2025,RAW0000168,Orange syrup,RM BEVERAGES - SYRUP/SAUCE,BTL(500ML/560GM),360,16,5760,-,12 Months,05-05-2026
Warehouse NCR,PO 75,10-11-2025,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,KG,798.33,118.5,94602.11,-,12 Months,30-05-2026
Warehouse NCR,PO 81,10-11-2025,RAW0000147,Apple Zest syrup 750 Ml,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML/983GM),407.55,36,14671.8,-,12 Months,20-11-2026
Warehouse NCR,PO 92,26-11-2025,RAW0000170,Strawberry Syrup 750 Ml,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML/983GM),407.55,12,4890.6,-,12 Months,27-02-2027
Warehouse NCR,PO 81,10-11-2025,RAW0000146,Peach Garden Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML/983GM),407.55,36,14671.8,-,12 Months,03-09-2027
Warehouse NCR,PO 81,10-11-2025,RAW0000148,Passion Fruit Syrup 750 Ml,RM BEVERAGES - SYRUP/SAUCE,BTL(750ML/983GM),407.55,36,14671.8,-,12 Months,08-09-2027
Warehouse NCR,PO 98,17-12-2025,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,KG,798.33,49.5,39517.34,-,12 Months,21-05-2026
