Outlet Name,Category Name,Item Code,Item Name,Unit,Qty,Primary Shelf Life(In Months),Manufacture Date,Purchase Date,Opening date (when packet is opened),After Opening Shelf Life(days),Expiry Date
,RM FOOD - VEG INGREDIENTS,RAW0000120,Aop Spice Mix,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000126,Aop Veggie Mix,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000089,Arabica Cold Brew Tiramisu,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000151,Basil and Oven Dried Tomato Pinwheel,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000112,Basil Pesto Sauce,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000102,Belgian Chocolate Fudge Brownie,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000119,Blanched Broccoli Floret,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000137,Blanched Marconi Pasta,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000123,Bocconcini Cheese,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000164,Boiled Egg,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000113,Broccomole,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000084,Butter Croissant,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000111,Chipotle Mayo,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000153,Chocochip Berliner,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000154,Chocolate Truffle Pastry,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000109,Cream Cheese,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000124,Jaggery Powder Sachet - 0.5Gm (Pack Of 200),,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000116,Fajita Cottage Cheese,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000157,Fried Paneer,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000086,Garlic Mushroom & Caramelized Onion Melt,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000118,Grated Parmesan Cheese,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000165,Guacamole,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000121,Honey Twigs Sachet - 0.8Gm,,,18,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000155,Korean Bun Filled,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000093,Korean Chilli Garlic Mushroom Puff Base,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000156,Korean Chilli Seasoning,,,0.13,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000138,Mac & Cheese Sauce,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000085,Meatball Melts,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000136,Mexican Rice Mix,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000143,Mustard Sauce 8 Grm,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000083,Naturesmith Pepper Sachet - 1Gm,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000082,Naturesmith Salt Sachet - 1Gm (Pack Of 200),,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000088,Nolen Gur Banoffee Jar,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000122,Oil Olive,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000132,Olives Black Whole,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000091,Oven Roasted Tomato Basil & Bocconcini Cheese Pide Base,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000161,Paris Brest Chocochip,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000162,Paris Brest Tiramisu,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000107,Parsley Chopped,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000090,Pecan & Date Tea Cake,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000087,Peri Peri Cheese Chilli Toastie,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000141,Potato Chips,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000158,Potato Shot (Frozen),,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000100,Roasted Tomato & Bocconcini Croissant,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000104,Rocky Road & Pecan Muffin,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000098,Sea Salt Caramel Brookie,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000095,Smoked Cottage Cheese Wrap,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000115,Sour Cream,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000159,Sour Dough Loaf,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000134,Spaghetti Pasta Blanched,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000092,Sriracha Chicken & Avocado Wrap,,,,,,,,
,RM FOOD - VEG INGREDIENTS,RAW0000114,Tomato Salsa,,,,,,,,
,RM BEVERAGES - SYRUP/SAUCE,RAW0000147,Apple Zest syrup 750 Ml,,,,,,,,
,RM BEVERAGES - SYRUP/SAUCE,RAW0000051,Chip - Chocolate Chip - Morde,,,,,,,,
,RM BEVERAGES - SYRUP/SAUCE,RAW0000148,Passion Fruit SyrupÂ 750 Ml,,,,,,,,
,RM BEVERAGES - SYRUP/SAUCE,RAW0000146,Peach Garden Syrup 750ML,,,,,,,,
,RM BEVERAGES - SYRUP/SAUCE,RAW0000045,Sauce - Chocolate,,,09 Months,,,,30 Days,
,RM BEVERAGES - SYRUP/SAUCE,RAW0000050,Syrup - Brown Butter,,,,,,,,
,RM BEVERAGES - SYRUP/SAUCE,RAW0000046,Syrup - Irish,,,36 Months,,,,60 Days,
,RM BEVERAGES - SYRUP/SAUCE,RAW0000047,Syrup- Roasted Hazelnut,,,,,,,,
,RM BEVERAGES - BEANS,RAW0000004,Beans - Ethiopian Blend,,,12 Months,,,,01 Days,
,RM BEVERAGES - BEANS,RAW0000005,Beans - Ethiopian Single Estate,,,12 Months,,,,01 Days,
