Super Category ,Category Name,Item Name ,Has Expiry,Tax Rate,Purchase UOM,Base UOM,Conversion Factor
CAPEX,UPS STABILIZER & PROTECTION SYSTEM,10 KVA 3 Phase Stabilizer,no,18,PCS,PCS,1
DISPOSABLE TAKE AWAY PACKAGING,DISPOSABLE PACKAGING - BEVERAGES - Bottles & Cans,100 ML Glass Bottle with Cork for Drip Coffee,no,18,PCS,PCS,1
DISPOSABLE TAKE AWAY PACKAGING,DISPOSABLE PACKAGING - BEVERAGES - STRAW,12MM Corn Straw in Sleeve - 200mm Length,no,18,PCS,PCS,1
CAPEX,UPS STABILIZER & PROTECTION SYSTEM,1KVA UPS BPE With Inbuilt Battery Bank,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,2 Door Vertical Chiller - Plus Temperature,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,2 Door Vertical Freezer - Minus Temperature,no,18,PCS,PCS,1
CAPEX,UPS STABILIZER & PROTECTION SYSTEM,2KVA UPS BPE With Inbuilt Battery Bank,no,18,PCS,PCS,1
CAPEX,OUTLET EQUIPMENT,3 Star Inverter AC 1.5 Ton,no,28,PCS,PCS,1
CAPEX,UPS STABILIZER & PROTECTION SYSTEM,3KVA UPS BPE With Inbuilt Battery Bank,no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - WIPES/SCRUBBERS/PADS,3M Sponge Wipe 4 Pcs Pack,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,3M Tape,no,18,PCS,PCS,1
CAPEX,SMALLWARE,4 Grid Cup Holder,no,18,PCS,PCS,1
CAPEX,CCTV CAMERA & NETWORKING,4 Port Gigabite POE Switch,no,18,PCS,PCS,1
CAPEX,DIGITAL MENU BOARD,43 Inch Commercial Screen,no,28,PCS,PCS,1
CAPEX,DIGITAL MENU BOARD,43 Inch Eazel Standee Regular,no,18,PCS,PCS,1
CAPEX,DIGITAL MENU BOARD,55 Inch Commercial Screen,no,28,PCS,PCS,1
DISPOSABLE TAKE AWAY PACKAGING,DISPOSABLE PACKAGING - BEVERAGES - STRAW,8MM Corn Straw in Sleeve - 200mm Length,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,A3 Aluminium Frame Fssai,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,A3 Frame FSSAI,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,A3 Poster & Lamination,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,A4 Colour Printout,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,A4 Colour Printout & Lamination,no,18,PCS,PCS,1
KITCHEN ACCESSORIES,FOOD DISPLAY ACCESSORIES,A4 Double-Layer Acrylic Card Slot Display,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,A4 Frame,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,A4 Paper,no,18,RIM,RIM,
CAPEX,OTHER ELECTRONIC & ELECTRICAL ITEMS,A4 Translight,no,18,PCS,PCS,1
CAPEX,FIRE FIGHTING SYSTEM,ABC Fire Extinguisher 2 Kgs,no,18,PCS,PCS,1
CAPEX,FIRE FIGHTING SYSTEM,ABC Fire Extinguisher 4 Kgs,no,18,PCS,PCS,1
CAPEX,FIRE FIGHTING SYSTEM,ABC Fire Extinguisher 6 Kgs,no,18,PCS,PCS,1
CAPEX,OTHER ELECTRONIC & ELECTRICAL ITEMS,AC & Exhaust,no,18,PCS,PCS,1
CAPEX,CCTV CAMERA & NETWORKING,AMP I/O,no,18,PCS,PCS,1
CAPEX,SMALLWARE,Accessories - Milk Steaming Pitchers - 900Ml (With Spout),no,18,PCS,PCS,1
CAPEX,BOH DEAD FABRICATION EQUIPMENT,Acrylic Board,no,18,PCS,PCS,1
CAPEX,POS HARDWARE,Adaptor,no,,Piece,Piece,1
CAPEX,BOH BEVERAGE EQUIPMENT,Aeropress Coffee And Espresso Maker,no,18,PCS,PCS,1
KITCHEN ACCESSORIES,COOKING ACCESSORIES,Aeropress Filter Paper: 81R24,no,18,PKT(100PC),PCS,100
CAPEX,MUSIC SYSTEM,Ahuja Amplifier 120 Watt,no,18,PCS,PCS,1
CAPEX,MUSIC SYSTEM,Ahuja Amplifier 160 Watt,no,18,PCS,PCS,1
