Deployment Name,Coffee Island AIPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-08-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-08-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:14:09 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Island HQ-27,Coffee Island AIPL,-,03-08-2025,-,DD8,Received,RAW0000145,,J1 Matcha Powder,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,GM,4.9,-,4.9,0,-,0,0,-,03-08-2025,160,39.2,784,823.2,-,8,03-08-2025,160,39.2,784,823.2,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,05-08-2025,06-08-2025,IN9,Received,RAW0000004,,Beans - Ethiopian Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,1063.33,-,1063.33,3,159.5,3189.99,3349.49,-,05-08-2025,3,159.5,3189.99,3349.49,-,86,11-08-2025,3,159.5,3189.99,3349.49,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,05-08-2025,06-08-2025,IN9,Received,RAW0000006,,Beans - Kenya Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,3463.33,-,3463.33,3,519.5,10389.99,10909.49,-,05-08-2025,3,519.5,10389.99,10909.49,-,86,11-08-2025,3,519.5,10389.99,10909.49,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island HQ-27,Coffee Island AIPL,-,06-08-2025,-,DD9,Received,RAW0000013,,Ice Cream Vanilla - Amul,CT_46,RM BEVERAGES - ICE CREAMS,-,RAW MATERIAL,GM,0.16,-,0.16,0,-,0,0,-,06-08-2025,4880,141.12,783.9860432,925.11,-,9,06-08-2025,4880,141.12,783.99,925.11,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island HQ-27,Coffee Island AIPL,-,06-08-2025,-,DD9,Received,RET0000051,,Sipper - Biggest White With Steel Rim,CT_69,SIPPERS/BOTTLES,-,RETAIL,PCS..,400,-,400,0,-,0,0,-,06-08-2025,5,240,2000,2240,-,9,06-08-2025,5,240,2000,2240,-,No,-,-,0,0,0,0,0,0,Received
Gimme Mo ! Global Foyer,Coffee Island AIPL,-,08-08-2025,09-08-2025,IN10,Received,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.25,-,2.25,150,60.75,337.5,398.25,-,08-08-2025,150,60.75,337.5,398.25,-,5,09-08-2025,150,60.75,337.5,398.25,-,No,-,-,0,0,0,0,0,0,Received
Gimme Mo ! NSP,Coffee Island AIPL,-,09-08-2025,09-08-2025,IN11,Received,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.25,-,2.25,60,24.3,135,159.3,-,09-08-2025,60,24.3,135,159.3,-,5,31-08-2025,60,24.3,135,159.3,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,14-08-2025,16-08-2025,IN12,Received,CNC0000016,,Dinner Fork,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,38.75,-,38.75,200,1395,7750,9145,-,18-08-2025,0,-,0,0,-,93,21-08-2025,0,-,0,0,return to warehouse,No,-,-,0,0,0,7750,0,0,Suspicious Resolved By Supplier
Warehouse NCR,Coffee Island AIPL,-,14-08-2025,16-08-2025,IN12,Received,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.25,-,2.25,600,243,1350,1593,-,18-08-2025,0,-,0,0,-,,21-08-2025,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,14-08-2025,16-08-2025,IN12,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.15,-,3.15,1000,567,3150,3717,-,18-08-2025,1000,567,3150,3717,-,93,21-08-2025,1000,567,3150,3717,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,14-08-2025,16-08-2025,IN12,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.3,-,2.3,500,207,1150,1357,-,18-08-2025,500,207,1150,1357,-,93,21-08-2025,500,207,1150,1357,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,14-08-2025,16-08-2025,IN12,Received,PKG0000017,,Disposable - Lid (Hot) 12Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.95,-,3.95,1000,711,3950,4661,-,18-08-2025,1000,711,3950,4661,-,93,21-08-2025,1000,711,3950,4661,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,14-08-2025,16-08-2025,IN12,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,1000,846,4700,5546,-,18-08-2025,1000,846,4700,5546,-,93,21-08-2025,1000,846,4700,5546,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,14-08-2025,16-08-2025,IN12,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.97,-,4.97,1000,894.6,4970,5864.6,-,18-08-2025,1000,894.6,4970,5864.6,-,93,21-08-2025,1000,894.6,4970,5864.6,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,14-08-2025,16-08-2025,IN12,Received,PKG0000014,,Disposable - Paper Cup 16Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,5.95,-,5.95,1000,1071,5950,7021,-,18-08-2025,1000,1071,5950,7021,-,93,21-08-2025,1000,1071,5950,7021,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,14-08-2025,16-08-2025,IN12,Received,PKG0000023,,Disposable - Stirrer,CT_27,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,0.11,-,0.11,1000,19.8,110,129.8,-,18-08-2025,1000,19.8,110,129.8,-,93,21-08-2025,1000,19.8,110,129.8,-,No,-,-,0,0,0,0,0,0,Received
