Deployment Name,Coffee Island - Amanora Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:08:28 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warehouse NCR,Coffee Island - Amanora Mall,-,05-10-2025,08-10-2025,IN11,Received,RAW0000005,,Beans - Ethiopian Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,3013.33,-,3013.33,2,301.33,6026.66,6327.99,-,06-10-2025,2,301.33,6026.66,6327.99,-,157,10-10-2025,2,301.33,6026.66,6327.99,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,05-10-2025,08-10-2025,IN11,Received,CNC0000031,,CI Branded Hand Cut 12OZ Glass,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,234,-,234,24,1010.88,5616,6626.88,-,06-10-2025,24,1010.88,5616,6626.88,-,157,10-10-2025,24,1010.88,5616,6626.88,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,05-10-2025,08-10-2025,IN11,Received,PKG0000036,,Coffee Island MRD Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,3,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.44,-,0.44,500,39.6,220,259.6,-,06-10-2025,480,38.02,211.2,249.22,-,157,10-10-2025,480,38.02,211.2,249.22,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,05-10-2025,08-10-2025,IN11,Received,PKG0000001,,Disposable - Cutlery Sleeve,CT_18,DISPOSABLE CUTLERY - CUTLERY POUCH,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,1000,198,1100,1298,-,06-10-2025,1000,198,1100,1298,-,157,10-10-2025,1000,198,1100,1298,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,05-10-2025,08-10-2025,IN11,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.3,-,2.3,1000,414,2300,2714,-,06-10-2025,1000,414,2300,2714,-,157,10-10-2025,1000,414,2300,2714,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,05-10-2025,08-10-2025,IN11,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,1000,846,4700,5546,-,06-10-2025,1000,846,4700,5546,-,157,10-10-2025,1000,846,4700,5546,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,05-10-2025,08-10-2025,IN11,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.97,-,4.97,2000,1789.2,9940,11729.2,-,06-10-2025,2000,1789.2,9940,11729.2,-,157,10-10-2025,2000,1789.2,9940,11729.2,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,05-10-2025,08-10-2025,IN11,Received,PKG0000002,,Disposable - Wooden Fork,CT_19,DISPOSABLE CUTLERY - WOODEN FORK,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,1000,78,650,728,-,06-10-2025,1000,78,650,728,-,157,10-10-2025,1000,78,650,728,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,05-10-2025,08-10-2025,IN11,Received,PKG0000004,,Disposable - Wooden Spoon,CT_20,DISPOSABLE CUTLERY - WOODEN SPOON,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,1000,78,650,728,-,06-10-2025,1000,78,650,728,-,157,10-10-2025,1000,78,650,728,-,No,-,-,0,0,0,0,0,0,Received
