Deployment Name,Coffee Island Beyond GK II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:18:37 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warehouse NCR,Coffee Island Beyond GK II,-,02-10-2025,04-10-2025,IN34,Received,CNC0000031,,CI Branded Hand Cut 12OZ Glass,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,234,-,234,6,252.72,1404,1656.72,-,04-10-2025,6,252.72,1404,1656.72,-,155,06-10-2025,6,252.72,1404,1656.72,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,02-10-2025,04-10-2025,IN34,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.97,-,4.97,2000,1789.2,9940,11729.2,-,04-10-2025,2000,1789.2,9940,11729.2,-,155,06-10-2025,2000,1789.2,9940,11729.2,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,02-10-2025,04-10-2025,IN34,Received,PKG0000020,,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.63,-,0.63,2000,225.05,1250.27,1475.32,-,04-10-2025,2500,281.31,1562.831921,1844.14,-,155,06-10-2025,2500,281.31,1562.83,1844.14,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,02-10-2025,04-10-2025,IN34,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,5000,351,1950,2301,-,04-10-2025,5000,351,1950,2301,-,155,06-10-2025,5000,351,1950,2301,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,02-10-2025,04-10-2025,IN34,Received,PKG0000004,,Disposable - Wooden Spoon,CT_20,DISPOSABLE CUTLERY - WOODEN SPOON,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,500,39,325,364,-,04-10-2025,500,39,325,364,-,155,06-10-2025,500,39,325,364,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,02-10-2025,04-10-2025,IN34,Received,RAW0000029,,Milkshake Powder - Strawberry,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,400,-,400,5,100,2000,2100,-,04-10-2025,5,100,2000,2100,-,155,06-10-2025,5,100,2000,2100,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,03-10-2025,04-10-2025,IN35,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,768.33,-,768.33,10,384.17,7683.3,8067.47,-,04-10-2025,10,384.17,7683.3,8067.47,-,154,06-10-2025,10,384.17,7683.3,8067.47,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,09-10-2025,10-10-2025,IN36,Received,PKG0000021,,Disposable - Straw - 12Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.93,-,0.93,200,33.37,185.38,218.75,-,09-10-2025,0,-,0,0,-,161,09-10-2025,0,-,0,0,NO SEND,No,-,-,0,0,0,185.38,0,0,Suspicious Resolved By Supplier
Warehouse NCR,Coffee Island Beyond GK II,-,09-10-2025,10-10-2025,IN37,Received,PKG0000021,,Disposable - Straw - 12Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.65,-,1.65,200,59.4,330,389.4,-,09-10-2025,200,59.4,330,389.4,-,162,09-10-2025,200,59.4,330,389.4,-,No,-,-,0,0,0,0,0,0,Received
