Deployment Name,Coffee Island HQ-27
Start Date,01-12-2025
End Date,30-12-2025
Report Generation Date&Time,31/12/2025, 01:06:31 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,

Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,RAW0000005,,Beans - Ethiopian Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,3013.33,-,3013.33,2,301.33,6026.66,6327.99,-,04-12-2025,0,-,0,0,-,,05-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,RAW0000003,,Beans - Kenya Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,1093.33,-,1093.33,2,109.33,2186.66,2295.99,-,04-12-2025,0,-,0,0,-,,05-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,10,399.17,7983.3,8382.47,-,04-12-2025,5,199.58,3991.6500000000005,4191.23,-,241,05-12-2025,5,199.58,3991.65,4191.23,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,768.33,-,768.33,15,576.25,11524.95,12101.2,-,04-12-2025,0,-,0,0,-,,05-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,RAW0000034,,Chocolate Powder - 0% Sugar,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,1039,-,1039,1,51.95,1039,1090.95,-,04-12-2025,0,-,0,0,-,,05-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,392.5,7850,8242.5,-,04-12-2025,10,392.5,7850,8242.5,-,241,05-12-2025,10,392.5,7850,8242.5,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,CNC0000025,,CI Spanish Bom Bom Glass - BR-4010,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,306.25,-,306.25,6,330.75,1837.5,2168.25,-,04-12-2025,0,-,0,0,-,,05-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,PKG0000021,,Disposable - Straw - 12Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.65,-,1.65,200,59.4,330,389.4,-,04-12-2025,200,59.4,330,389.4,-,241,05-12-2025,200,59.4,330,389.4,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,3000,210.6,1170,1380.6,-,04-12-2025,2500,175.5,975,1150.5,-,241,05-12-2025,2500,175.5,975,1150.5,500 Pcs short Receiving,No,-,-,0,0.00,0,195,0,0,Suspicious Resolved By Supplier,
Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,STC0000004,,Kot Roll - 30Mtr,CT_78,STATIONARY,-,STORE CONSUMABLES,PCS,-,-,0,50,-,0,0,-,04-12-2025,50,-,0,0,-,241,05-12-2025,50,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,03-12-2025,05-12-2025,IN41,Received,CNC0000034,,Saucer for Spanish Bom Bom Cup,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,60.6,-,60.6,6,65.45,363.6,429.05,-,04-12-2025,0,-,0,0,-,,05-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island Beyond GK II,Coffee Island HQ-27,-,04-12-2025,-,DD12,Received,STC0000004,,Kot Roll - 30Mtr,CT_78,STATIONARY,-,STORE CONSUMABLES,PCS,31.56,-,31.56,0,-,0,0,-,04-12-2025,2,11.36,63.12692307692308,74.49,-,12,04-12-2025,2,11.36,63.13,74.49,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island Beyond GK II,Coffee Island HQ-27,-,04-12-2025,-,DD12,Received,RAW0000015,,Milk - Oat,CT_47,RM BEVERAGES - MILK PRODUCTS,-,RAW MATERIAL,GM,0.23,-,0.23,0,-,0,0,-,04-12-2025,1800,72.93,405.18,478.11,-,12,04-12-2025,1800,72.93,405.18,478.11,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island Beyond GK II,Coffee Island HQ-27,-,04-12-2025,-,DD12,Received,RAW0000053,,Tea Bag - Chamomile And Lemon Grass,CT_50,RM BEVERAGES - TEA BAGS,-,RAW MATERIAL,PCS,8,-,8,0,-,0,0,-,04-12-2025,10,4,80,84,-,12,04-12-2025,10,4,80,84,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,05-12-2025,-,DD27,Received,RAW0000034,,Chocolate Powder - 0% Sugar,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,GM,2.08,-,2.08,0,-,0,0,-,05-12-2025,500,51.95,1039,1090.95,-,28,07-12-2025,500,51.95,1039,1090.95,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,05-12-2025,-,DD27,Received,RAW0000017,,Milk - Almond,CT_47,RM BEVERAGES - MILK PRODUCTS,-,RAW MATERIAL,GM,0.25,-,0.25,0,-,0,0,-,05-12-2025,900,40.52,225.1,265.62,-,28,07-12-2025,900,40.52,225.1,265.62,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,05-12-2025,-,DD27,Received,RAW0000015,,Milk - Oat,CT_47,RM BEVERAGES - MILK PRODUCTS,-,RAW MATERIAL,GM,0.23,-,0.23,0,-,0,0,-,05-12-2025,900,36.83,204.59825668896323,241.43,-,28,07-12-2025,900,36.83,204.6,241.43,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,05-12-2025,-,DD27,Received,RAW0000029,,Milkshake Powder - Strawberry,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,GM,0.4,-,0.4,0,-,0,0,-,05-12-2025,500,10,200,210,-,28,07-12-2025,500,10,200,210,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,05-12-2025,-,DD27,Received,RAW0000057,,Sugar - Sachet - Brown (5Gm),CT_51,RM BEVERAGES - VEG INGREDIENTS,-,RAW MATERIAL,PCS,0.9,-,0.9,0,-,0,0,-,05-12-2025,200,9.01,180.18255578093306,189.19,-,28,07-12-2025,200,9.01,180.18,189.19,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,05-12-2025,-,DD27,Received,RAW0000056,,Sugar Sachets (White),CT_51,RM BEVERAGES - VEG INGREDIENTS,-,RAW MATERIAL,PCS,0.8,-,0.8,0,-,0,0,-,05-12-2025,200,8,160,168,-,28,07-12-2025,200,8,160,168,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,UNI0000004,,Apron With Ci Logo,CT_80,UNIFORM - APRON,-,UNIFORM,PCS..,300,-,300,1,15,300,315,-,09-12-2025,1,15,300,315,-,245,09-12-2025,1,15,300,315,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,RAW0000005,,Beans - Ethiopian Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,3013.33,-,3013.33,1,150.67,3013.33,3164,-,09-12-2025,0,-,0,0,-,,09-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
