Deployment Name,Coffee Island NSP - New Delhi
Start Date,01-12-2025
End Date,30-12-2025
Report Generation Date&Time,31/12/2025, 01:08:56 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,

Warehouse NCR,Coffee Island NSP - New Delhi,-,05-12-2025,06-12-2025,IN12,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,768.33,-,768.33,15,576.25,11524.95,12101.2,-,05-12-2025,15,576.25,11524.949999999999,12101.2,-,243,08-12-2025,15,576.25,11524.95,12101.2,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,05-12-2025,06-12-2025,IN12,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,5,196.25,3925,4121.25,-,05-12-2025,5,196.25,3925,4121.25,-,243,08-12-2025,5,196.25,3925,4121.25,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,05-12-2025,06-12-2025,IN12,Received,PKG0000001,,Disposable - Cutlery Sleeve,CT_18,DISPOSABLE CUTLERY - CUTLERY POUCH,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,1200,237.6,1320,1557.6,-,05-12-2025,1200,237.6,1319.9999999999998,1557.6,-,243,08-12-2025,1200,237.6,1320,1557.6,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,05-12-2025,06-12-2025,IN12,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.23,-,2.23,300,120.15,667.5,787.65,-,05-12-2025,300,120.15,667.5011249437529,787.65,-,243,08-12-2025,300,120.15,667.5,787.65,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,05-12-2025,06-12-2025,IN12,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,500,423,2350,2773,-,05-12-2025,450,380.7,2115,2495.7,-,243,08-12-2025,450,380.7,2115,2495.7,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,05-12-2025,06-12-2025,IN12,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.65,-,4.65,400,334.8,1860,2194.8,-,05-12-2025,400,334.8,1860.0000000000002,2194.8,-,243,08-12-2025,400,334.8,1860,2194.8,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,05-12-2025,06-12-2025,IN12,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,3400,238.68,1326,1564.68,-,05-12-2025,3400,238.68,1326,1564.68,-,243,08-12-2025,3400,238.68,1326,1564.68,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,5,199.58,3991.65,4191.23,-,16-12-2025,2.5,99.79,1995.8250000000003,2095.62,-,251,18-12-2025,2.5,99.79,1995.83,2095.62,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,812.4,-,812.4,10,406.2,8124,8530.2,-,16-12-2025,10,406.2,8124,8530.2,-,251,18-12-2025,10,406.2,8124,8530.2,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,3,117.75,2355,2472.75,-,16-12-2025,3,117.75,2355,2472.75,-,251,18-12-2025,3,117.75,2355,2472.75,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,PKG0000034,,Coffee Island Bag Sealing Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.05,-,1.05,1000,189,1050,1239,-,16-12-2025,1000,189,1050,1239,-,251,18-12-2025,1000,189,1050,1239,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.8,-,1.8,500,162,900.01,1062.01,-,16-12-2025,500,162,900.0107137755346,1062.01,-,251,18-12-2025,500,162,900.01,1062.01,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.23,-,2.23,200,80.1,445,525.1,-,16-12-2025,200,80.1,445.0007499625019,525.1,-,251,18-12-2025,200,80.1,445,525.1,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,PKG0000020,,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.63,-,0.63,1200,136.59,758.81,895.4,-,16-12-2025,1200,136.59,758.8141385354536,895.4,-,251,18-12-2025,1200,136.59,758.81,895.4,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,2000,140.4,780,920.4,-,16-12-2025,2000,140.4,780,920.4,-,251,18-12-2025,2000,140.4,780,920.4,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,PKG0000004,,Disposable - Wooden Spoon,CT_20,DISPOSABLE CUTLERY - WOODEN SPOON,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,200,15.6,130,145.6,-,16-12-2025,200,15.6,130,145.6,-,251,18-12-2025,200,15.6,130,145.6,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,PKG0000031,,Kitchen Roll 1 Kg,CT_30,DISPOSABLE PACKAGING - KITCHEN ROLL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,115,-,115,6,124.2,690,814.2,-,16-12-2025,6,124.2,690,814.2,-,251,18-12-2025,6,124.2,690,814.2,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,14-12-2025,15-12-2025,IN13,Received,STC0000004,,Kot Roll - 30Mtr,CT_78,STATIONARY,-,STORE CONSUMABLES,PCS,33,-,33,30,178.2,990,1168.2,-,16-12-2025,30,178.2,990,1168.2,-,251,18-12-2025,30,178.2,990,1168.2,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,19-12-2025,20-12-2025,IN14,Received,PKG0000011,,Disposable - Sealing Foil,CT_24,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,1.1,-,1.1,1000,198,1100,1298,-,19-12-2025,1000,198,1099.9959185339374,1298,-,258,20-12-2025,1000,198,1100,1298,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island HQ-27,Coffee Island NSP - New Delhi,-,21-12-2025,-,DD38,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.94,-,4.94,0,-,0,0,-,21-12-2025,250,222.28,1234.8703170028818,1457.15,-,38,26-12-2025,250,222.28,1234.87,1457.15,-,No,-,-,0,0.00,0,0,0,0,Received,
