Deployment Name,Coffee Island - Tribeca Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:11:39 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,03-10-2025,-,DD1,Received,RAW0000014,,Milk - Regular,CT_47,RM BEVERAGES - MILK PRODUCTS,-,RAW MATERIAL,GM,0.07,-,0.07,0,-,0,0,-,03-10-2025,15000,50.81,1016.129032,1066.94,-,1,03-10-2025,15000,50.81,1016.13,1066.94,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,06-10-2025,09-10-2025,IN11,Received,CNC0000031,,CI Branded Hand Cut 12OZ Glass,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,234,-,234,12,505.44,2808,3313.44,-,06-10-2025,12,505.44,2808,3313.44,-,156,10-10-2025,12,505.44,2808,3313.44,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,06-10-2025,09-10-2025,IN11,Received,CNC0000008,,Cup And Saucer Set - 08Oz,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,298,-,298,10,357.6,2980,3337.6,-,06-10-2025,10,357.6,2980,3337.6,-,156,10-10-2025,10,357.6,2980,3337.6,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,06-10-2025,09-10-2025,IN11,Received,RAW0000145,,J1 Matcha Powder,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,PCS(20GM),157.17,-,157.17,7,55.01,1100.19,1155.2,-,06-10-2025,7,55.01,1100.19,1155.2,-,156,10-10-2025,7,55.01,1100.19,1155.2,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,07-10-2025,-,DD3,Received,RAW0000151,,Basil & Oven Dried Tomato Pinwheel,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,41.45,-,41.45,0,-,0,0,-,07-10-2025,1,7.46,41.45,48.91,-,3,08-10-2025,1,7.46,41.45,48.91,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,07-10-2025,-,DD3,Received,RAW0000077,,Chipotle Chicken Mozzarella Pide Base,CT_54,RM FOOD - NON VEG INGREDIENTS,-,RAW MATERIAL,PCS,68.42,-,68.42,0,-,0,0,-,07-10-2025,1,12.32,68.42,80.74,-,3,08-10-2025,1,12.32,68.42,80.74,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,07-10-2025,-,DD3,Received,RAW0000161,,Double Chocochip Paris-Brest,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,72.5,-,72.5,0,-,0,0,-,07-10-2025,1,13.05,72.5,85.55,-,3,08-10-2025,1,13.05,72.5,85.55,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,07-10-2025,-,DD3,Received,RAW0000163,,Fried Chicken Flaky Burger,CT_54,RM FOOD - NON VEG INGREDIENTS,-,RAW MATERIAL,PCS,137.87,-,137.87,0,-,0,0,-,07-10-2025,1,24.82,137.87,162.69,-,3,08-10-2025,1,24.82,137.87,162.69,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,07-10-2025,-,DD3,Received,RAW0000075,,Herb Chicken Open Puff Base,CT_54,RM FOOD - NON VEG INGREDIENTS,-,RAW MATERIAL,PCS,39.19,-,39.19,0,-,0,0,-,07-10-2025,1,7.05,39.19,46.24,-,3,08-10-2025,1,7.05,39.19,46.24,-,No,-,-,0,0,0,0,0,0,Received
