Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,LOCAL Vendor,1-7-2025,SE-70,GK-25-CSB-2594,-,-,PO-77,30-6-2025,CAP0000337,Library Books,STATIONARY,STORE CONSUMABLES,-,12,PCS,0,451.61,-,5419.32,0,-,-,-,-,-,-,0,0,5419.32,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000127,Farm Fresh Lettuce Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.25,KG,0,446.05,-,111.51,0,18,20.07,-,-,-,-,20.07,0,131.58,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000128,Farm Fresh Pre Tossed Veggie Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.25,KG,0,275.03,-,68.76,0,18,12.38,-,-,-,-,12.38,0,81.14,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000131,Mediterranean Pre-Tossed Veggie Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.25,KG,0,335.47,-,83.87,0,18,15.1,-,-,-,-,15.1,0,98.97,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000136,Mexican Rice Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2.5,KG,0,166.43,-,416.08,0,18,74.89,-,-,-,-,74.89,0,490.97,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000137,Blanched Marconi Pasta,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1,KG,0,302.01,-,302.01,0,18,54.36,-,-,-,-,54.36,0,356.37,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000138,Mac & Cheese Sauce,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1,KG,0,299.47,-,299.47,0,18,53.9,-,-,-,-,53.9,0,353.37,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000141,Potato Chips,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PKT(75GM),0,55,-,330,0,5,16.5,-,-,-,-,16.5,0,346.5,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000087,Peri Peri Cheese Chilli Toastie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,7,NOS,0,65.24,-,456.68,0,18,82.2,-,-,-,-,82.2,0,538.88,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000088,Nolen Gur Banoffee Jar,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,NOS,0,66.55,-,399.3,0,18,71.87,-,-,-,-,71.87,0,471.17,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000089,Arabica Cold Brew Tiramisu,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,NOS,0,146.55,-,586.2,0,18,105.52,-,-,-,-,105.52,0,691.72,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000102,Belgian Chocolate Fudge Brownie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,7,NOS,0,53.1,-,371.7,0,18,66.91,-,-,-,-,66.91,0,438.61,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000107,Parsley Chopped,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.05,KG,0,390.04,-,19.5,0,18,3.51,-,-,-,-,3.51,0,23.01,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000090,Pecan & Date Tea Cake,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,NOS,0,88.07,-,264.21,0,18,47.56,-,-,-,-,47.56,0,311.77,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000092,Sriracha Chicken & Avocado Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,NOS,0,118.56,-,711.36,0,18,128.04,-,-,-,-,128.04,0,839.4,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000097,Double Chocolate Chunk Cookie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,NOS,0,55.43,-,332.58,0,18,59.86,-,-,-,-,59.86,0,392.44,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,29-6-2025,SE-69,29062025,-,-,PO-76,29-6-2025,RAW0000091,Oven Roasted Tomato Basil & Bocconcini Cheese Pide Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,NOS,0,23.93,-,119.65,0,18,21.54,-,-,-,-,21.54,0,141.19,,
