Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,WESTFOOD SERVICES,1-10-2025,SE-172,WFS/25-26/TI-1029,-,-,PO-195,30-9-2025,RET0000027,Juice - Valencia Orange,RTD JUICES - BOTTLE/CAN,RETAIL,-,90,PCS,0,93.75,-,8437.5,0,5,421.88,-,-,-,-,421.88,0,8859.38,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-9-2025,SE-171,28092025,-,-,PO-191,28-9-2025,RAW0000141,Potato Chips,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PKT(75GM),0,55,-,275,0,5,13.75,-,-,-,-,13.75,0,288.75,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-9-2025,SE-171,28092025,-,-,PO-191,28-9-2025,RAW0000075,Herb Chicken Open Puff Base,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,39.19,-,156.76,0,18,28.22,-,-,-,-,28.22,0,184.98,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-9-2025,SE-171,28092025,-,-,PO-191,28-9-2025,RAW0000103,Chipotle Paneer Bhurji Broccomole On Ciabatta Toast,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,55.13,-,275.65,0,18,49.62,-,-,-,-,49.62,0,325.27,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-9-2025,SE-171,28092025,-,-,PO-191,28-9-2025,RAW0000093,Korean Chilli Garlic Mushroom Puff Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PCS..,0,33.84,-,203.04,0,18,36.55,-,-,-,-,36.55,0,239.59,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-9-2025,SE-171,28092025,-,-,PO-191,28-9-2025,RAW0000077,Chipotle Chicken Mozzarella Pide Base,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,3,PCS..,0,68.42,-,205.26,0,18,36.95,-,-,-,-,36.95,0,242.21,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-9-2025,SE-171,28092025,-,-,PO-191,28-9-2025,RAW0000091,Oven Roasted Tomato Basil & Bocconcini Cheese Pide Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,23.93,-,95.72,0,18,17.23,-,-,-,-,17.23,0,112.95,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-9-2025,SE-171,28092025,-,-,PO-191,28-9-2025,RAW0000098,Sea Salt Caramel Brookie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,PCS..,0,59.62,-,178.86,0,18,32.19,-,-,-,-,32.19,0,211.05,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-9-2025,SE-171,28092025,-,-,PO-191,28-9-2025,RAW0000099,Mushroom & Scrambled Egg White Broccomole Bagel,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,PCS..,0,103.5,-,207,0,18,37.26,-,-,-,-,37.26,0,244.26,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-9-2025,SE-171,28092025,-,-,PO-191,28-9-2025,RAW0000095,Smoked Cottage Cheese Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PCS..,0,101.2,-,607.2,0,18,109.3,-,-,-,-,109.3,0,716.5,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-9-2025,SE-171,28092025,-,-,PO-191,28-9-2025,RAW0000092,Sriracha Chicken & Avocado Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,118.56,-,592.8,0,18,106.7,-,-,-,-,106.7,0,699.5,,
