Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Adcount Technologies Private Limited,31-7-2025,SE-110,INV-058134,-,-,PO-117,26-7-2025,STC0000004,Kot Roll - 30Mtr,STATIONARY,STORE CONSUMABLES,-,10,PCS,0,33,-,330,0,18,59.4,-,-,-,-,59.4,0,389.4,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Adcount Technologies Private Limited,31-7-2025,SE-110,INV-058134,-,-,PO-117,26-7-2025,RAW0000064,Oregano,RM FOOD - CONDIMENTS,RAW MATERIAL,-,2,BAG(250PC),0,124,-,248,0,12,29.76,-,-,-,-,29.76,0,277.76,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Adcount Technologies Private Limited,31-7-2025,SE-110,INV-058134,-,-,PO-117,26-7-2025,RAW0000058,Sugar - Sachet - Sugar Free (7.5Gm),RM BEVERAGES - VEG INGREDIENTS,RAW MATERIAL,-,2,BOX(100PC),0,95,-,190,0,12,22.8,-,-,-,-,22.8,0,212.8,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Adcount Technologies Private Limited,31-7-2025,SE-110,INV-058134,-,-,PO-117,26-7-2025,RAW0000065,Chilli Flakes - Sachet,RM FOOD - CONDIMENTS,RAW MATERIAL,-,2,BAG(250PC),0,127,-,254,0,12,30.48,-,-,-,-,30.48,0,284.48,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Adcount Technologies Private Limited,31-7-2025,SE-110,INV-058134,-,-,PO-117,26-7-2025,RAW0000063,Ketchup,RM FOOD - CONDIMENTS,RAW MATERIAL,-,4,BAG(100PC),0,75,-,300,0,12,36,-,-,-,-,36,0,336,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Adcount Technologies Private Limited,31-7-2025,SE-110,INV-058134,-,-,PO-117,26-7-2025,RAW0000015,Milk - Oat,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,-,27,PKT(200ML/200GM),0,45.02,-,1215.54,0,18,218.8,-,-,-,-,218.8,0,1434.34,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Adcount Technologies Private Limited,31-7-2025,SE-110,INV-058134,-,-,PO-117,26-7-2025,RAW0000017,Milk - Almond,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,-,54,PKT(180ML/180GM),0,45.02,-,2431.08,0,18,437.59,-,-,-,-,437.59,0,2868.67,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Adcount Technologies Private Limited,31-7-2025,SE-110,INV-058134,-,-,PO-117,26-7-2025,RAW0000018,Milk - Skimmed,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,-,12,PKT(1L/930GM),0,72.38,-,868.56,0,5,43.43,-,-,-,-,43.43,0,911.99,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Origami Dripbag Private Limited,29-7-2025,SE-109,ORG/IN/25-26/589,-,-,PO-124,28-7-2025,RAW0000145,J1 Matcha Powder,RM BEVERAGES - POWDERS,RAW MATERIAL,-,15,PCS(20GM),0,98,-,1470,0,5,73.5,-,-,-,-,73.5,0,1543.5,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Origami Dripbag Private Limited,29-7-2025,SE-109,ORG/IN/25-26/589,-,-,PO-124,28-7-2025,-,-,-,-,-,-,-,0,0,Fright Charges,69,0,-,-,-,-,-,-,12.42,0,81.42,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Ocean Food And Beverages,29-7-2025,SE-108,OFB-2424/25-26,-,-,PO-125,28-7-2025,RAW0000050,Syrup - Brown Butter,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,2,BTL(700ML/910GM),0,560,-,1120,0,18,201.6,-,-,-,-,201.6,0,1321.6,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Distributionmasters Traders LLP,29-7-2025,SE-107,2526DMT05500,-,-,PO-121,28-7-2025,RAW0000013,Ice Cream Vanilla - Amul,RM BEVERAGES - ICE CREAMS,RAW MATERIAL,-,20,BRICK(4LTR/2.240KG),0,301.69,-,6033.8,0,18,1086.08,-,-,-,-,1086.08,0,7119.88,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,BANGLA FOODS,28-7-2025,SE-106,25-26/TI-8500,-,-,PO-122,28-7-2025,RAW0000010,Crema - Base - Rich Cream,RM BEVERAGES - GARNISHING,RAW MATERIAL,-,10,PKT(1KG),0,175,-,1750,0,18,315,-,-,-,-,315,0,2065,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000105,Banana Whole,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,PCS,0,10,-,30,0,18,5.4,-,-,-,-,5.4,0,35.4,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000127,Farm Fresh Lettuce Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.25,KG,0,446.05,-,111.51,0,18,20.07,-,-,-,-,20.07,0,131.58,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000128,Farm Fresh Pre Tossed Veggie Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.25,KG,0,275.03,-,68.76,0,18,12.38,-,-,-,-,12.38,0,81.14,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000130,Yogurt Muesli,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.25,KG,0,272.99,-,68.25,0,18,12.28,-,-,-,-,12.28,0,80.53,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000132,Olives Black Whole,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.35,KG,0,646.92,-,226.42,0,18,40.76,-,-,-,-,40.76,0,267.18,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000129,Farm Fresh Salad Dressing,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.25,KG,0,648.96,-,162.24,0,18,29.2,-,-,-,-,29.2,0,191.44,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000131,Mediterranean Pre-Tossed Veggie Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.25,KG,0,335.47,-,83.87,0,18,15.1,-,-,-,-,15.1,0,98.97,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000136,Mexican Rice Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,KG,0,166.43,-,499.29,0,18,89.87,-,-,-,-,89.87,0,589.16,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000134,Spaghetti Pasta Blanched,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1,KG,0,301.57,-,301.57,0,18,54.28,-,-,-,-,54.28,0,355.85,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000137,Blanched Marconi Pasta,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.5,KG,0,302.01,-,151.01,0,18,27.18,-,-,-,-,27.18,0,178.19,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000138,Mac & Cheese Sauce,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.5,KG,0,299.47,-,149.74,0,18,26.95,-,-,-,-,26.95,0,176.69,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000141,Potato Chips,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,8,PKT(75GM),0,55,-,440,0,5,22,-,-,-,-,22,0,462,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000087,Peri Peri Cheese Chilli Toastie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,8,PCS..,0,65.24,-,521.92,0,18,93.95,-,-,-,-,93.95,0,615.87,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000088,Nolen Gur Banoffee Jar,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,66.55,-,266.2,0,18,47.92,-,-,-,-,47.92,0,314.12,,
Coffee Island GK II,Coffee Island GK Main  Store,Deepanshu Kahrana,Compass India Food Services Private Limited,27-7-2025,SE-105,27072025,-,-,PO-123,27-7-2025,RAW0000089,Arabica Cold Brew Tiramisu,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,146.55,-,586.2,0,18,105.52,-,-,-,-,105.52,0,691.72,,
