Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000123,Bocconcini Cheese,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1,PKT(200GM),0,453.85,-,453.85,0,18,81.69,-,-,-,-,81.69,0,535.54,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000074,New Yorkshire Baked Cheesecake,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,141.39,-,565.56,0,18,101.8,-,-,-,-,101.8,0,667.36,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000075,Herb Chicken Open Puff Base,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,39.19,-,156.76,0,18,28.22,-,-,-,-,28.22,0,184.98,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000103,Chipotle Paneer Bhurji Broccomole On Ciabatta Toast,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PCS..,0,55.13,-,330.78,0,18,59.54,-,-,-,-,59.54,0,390.32,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000093,Korean Chilli Garlic Mushroom Puff Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,33.84,-,169.2,0,18,30.46,-,-,-,-,30.46,0,199.66,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000077,Chipotle Chicken Mozzarella Pide Base,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,68.42,-,273.68,0,18,49.26,-,-,-,-,49.26,0,322.94,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000091,Oven Roasted Tomato Basil & Bocconcini Cheese Pide Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,23.93,-,95.72,0,18,17.23,-,-,-,-,17.23,0,112.95,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000098,Sea Salt Caramel Brookie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,PCS..,0,65,-,195,0,18,35.1,-,-,-,-,35.1,0,230.1,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000099,Mushroom & Scrambled Egg White Broccomole Bagel,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,PCS..,0,103.5,-,207,0,18,37.26,-,-,-,-,37.26,0,244.26,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000095,Smoked Cottage Cheese Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PCS..,0,101.2,-,607.2,0,18,109.3,-,-,-,-,109.3,0,716.5,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000092,Sriracha Chicken & Avocado Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,118.56,-,592.8,0,18,106.7,-,-,-,-,106.7,0,699.5,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000086,Garlic Mushroom & Caramelized Onion Melt,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,98.84,-,494.2,0,18,88.96,-,-,-,-,88.96,0,583.16,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000085,Meatball Melts,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,106.58,-,426.32,0,18,76.74,-,-,-,-,76.74,0,503.06,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000072,Herb Roasted Chicken Toastie,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,73.29,-,366.45,0,18,65.96,-,-,-,-,65.96,0,432.41,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000087,Peri Peri Cheese Chilli Toastie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,65.24,-,326.2,0,18,58.72,-,-,-,-,58.72,0,384.92,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000089,Arabica Cold Brew Tiramisu,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,146.55,-,586.2,0,18,105.52,-,-,-,-,105.52,0,691.72,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000097,Double Chocolate Chunk Cookie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,55.43,-,221.72,0,18,39.91,-,-,-,-,39.91,0,261.63,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000102,Belgian Chocolate Fudge Brownie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,53.1,-,265.5,0,18,47.79,-,-,-,-,47.79,0,313.29,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000088,Nolen Gur Banoffee Jar,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,66.55,-,266.2,0,18,47.92,-,-,-,-,47.92,0,314.12,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000090,Pecan & Date Tea Cake,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,88.07,-,352.28,0,18,63.41,-,-,-,-,63.41,0,415.69,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000101,Jaggery Cinnamon Tea Cake,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,33.58,-,134.32,0,18,24.18,-,-,-,-,24.18,0,158.5,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000100,Roasted Tomato & Bocconcini Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,144.13,-,720.65,0,18,129.72,-,-,-,-,129.72,0,850.37,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000076,Roasted Turkey Tomato & Cheese Croissant,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,162.13,-,648.52,0,18,116.73,-,-,-,-,116.73,0,765.25,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000096,Pistachio Cream Flat Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,61.14,-,305.7,0,18,55.03,-,-,-,-,55.03,0,360.73,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000073,Boston Cream Pie Croissant,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,4,PCS..,0,52.47,-,209.88,0,18,37.78,-,-,-,-,37.78,0,247.66,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000084,Butter Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,27.44,-,137.2,0,18,24.7,-,-,-,-,24.7,0,161.9,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000094,Oats And Honey Muffin,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,PCS..,0,40.7,-,122.1,0,18,21.98,-,-,-,-,21.98,0,144.08,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,31-8-2025,SE-141,31082025,-,-,PO-164,31-8-2025,RAW0000104,Rocky Road & Pecan Muffin,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,PCS..,0,89.55,-,268.65,0,18,48.36,-,-,-,-,48.36,0,317.01,,
