Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Zomato Hyperpure Pvt Ltd (DL),27-12-2025,SE-293,00309788,-,-,CIGKII-PO-317,27-12-2025,RAW0000185,Green Lettuce,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PKT(200GM),0,17,-,102,0,-,-,-,-,-,-,0,0,102,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Zomato Hyperpure Pvt Ltd (DL),27-12-2025,SE-293,00309788,-,-,CIGKII-PO-317,27-12-2025,RAW00000313,Cheese Slice (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,765,GM,0,0.48,-,367.2,0,5,18.36,-,-,-,-,18.36,0,385.56,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Adcount Technologies Private Limited,27-12-2025,SE-292,000150,-,-,CIGKII-PO-310,27-12-2025,RAW0000015,Milk - Oat,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,-,10,PKT(200ML/200GM),0,45.02,-,450.2,0,5,22.51,-,-,-,-,22.51,0,472.71,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Adcount Technologies Private Limited,27-12-2025,SE-292,000150,-,-,CIGKII-PO-310,27-12-2025,RAW0000017,Milk - Almond,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,-,90,PKT(180ML/180GM),0,45.02,-,4051.8,0,5,202.59,-,-,-,-,202.59,0,4254.39,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW00000326,The Walnut Date Teacake (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS,0,55.45,-,277.25,0,5,13.86,-,-,-,-,13.86,0,291.11,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000102,Belgian Chocolate Fudge Brownie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,50.13,-,250.65,0,18,45.12,-,-,-,-,45.12,0,295.77,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000084,Butter Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,18,PCS..,0,20.2,-,363.6,0,18,65.45,-,-,-,-,65.45,0,429.05,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000265,Sour Cream (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,600,GM,0,0.29,-,174,0,5,8.7,-,-,-,-,8.7,0,182.7,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000263,Roasted Veggies (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,500,GM,0,0.39,-,195,0,5,9.75,-,-,-,-,9.75,0,204.75,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000262,Refried Beans (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2000,GM,0,0.13,-,260,0,5,13,-,-,-,-,13,0,273,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000275,Pista Butter Croissant (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,520,GM,0,0.76,-,395.2,0,5,19.76,-,-,-,-,19.76,0,414.96,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000261,Pide Base (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,12,PCS,0,14.04,-,168.48,0,5,8.42,-,-,-,-,8.42,0,176.9,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000256,Panini Bread (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4000,GM,0,0.08,-,320,0,5,16,-,-,-,-,16,0,336,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000273,Pain au chocolat (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,390,GM,0,1.07,-,417.3,0,5,20.87,-,-,-,-,20.87,0,438.17,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000255,Oven Dried Tomato (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,400,GM,0,0.47,-,188,0,5,9.4,-,-,-,-,9.4,0,197.4,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000274,Opera Pastry (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,500,GM,0,0.85,-,425,0,5,21.25,-,-,-,-,21.25,0,446.25,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000264,Sauteed Mushroom (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,400,GM,0,0.52,-,208,0,5,10.4,-,-,-,-,10.4,0,218.4,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000269,Tomato Salsa (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1500,GM,0,0.14,-,210,0,5,10.5,-,-,-,-,10.5,0,220.5,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000251,Mexican Rice (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2000,GM,0,0.17,-,340,0,5,17,-,-,-,-,17,0,357,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000250,Meatball Melt (Assembled) (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,7,PKT(220GM),0,106.58,-,746.06,0,5,37.3,-,-,-,-,37.3,0,783.36,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000272,White Sauce (Mac & Cheese Sauce) (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3000,GM,0,0.3,-,900,0,5,45,-,-,-,-,45,0,945,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000247,Hummus (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,800,GM,0,0.17,-,136,0,5,6.8,-,-,-,-,6.8,0,142.8,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000246,Herb Chicken (CIB),RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,600,GM,0,0.67,-,402,0,5,20.1,-,-,-,-,20.1,0,422.1,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000245,Fried Rice (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1500,GM,0,0.09,-,135,0,5,6.75,-,-,-,-,6.75,0,141.75,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000244,Fried Paneer (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,500,GM,0,0.42,-,210,0,5,10.5,-,-,-,-,10.5,0,220.5,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000243,Fried Chicken (CIB),RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,1000,GM,0,0.45,-,450,0,5,22.5,-,-,-,-,22.5,0,472.5,,
Coffee Island Beyond GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,26-12-2025,SE-291,26122025,-,-,CIGKII-PO-316,26-12-2025,RAW0000242,Flat Bread (CIB),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2800,GM,0,0.07,-,196,0,5,9.8,-,-,-,-,9.8,0,205.8,,
