Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Vita Nova Spark Private Limited (Hr),30-11-2025,SE-244,INV-000157,-,-,CIGKII-PO-266,27-11-2025,RET0000045,Hazelnut Chocolate Shots - 40 Gms,RTE - SNACKS,RETAIL,-,5,PCS,0,45.25,-,226.25,0,18,40.73,-,-,-,-,40.73,0,266.98,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Vita Nova Spark Private Limited (Hr),30-11-2025,SE-244,INV-000157,-,-,CIGKII-PO-266,27-11-2025,RET0000046,Coffee Almond Shots - 40 Gms,RTE - SNACKS,RETAIL,-,3,PCS,0,40.17,-,120.51,0,18,21.69,-,-,-,-,21.69,0,142.2,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Vita Nova Spark Private Limited (Hr),30-11-2025,SE-244,INV-000157,-,-,CIGKII-PO-266,27-11-2025,RET0000042,The Ultimate Sweet Crunchy Nut Mix - 70 Gms,RTE - SNACKS,RETAIL,-,14,PCS,0,58.39,-,817.46,0,12,98.1,-,-,-,-,98.1,0,915.56,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Vita Nova Spark Private Limited (Hr),30-11-2025,SE-244,INV-000157,-,-,CIGKII-PO-266,27-11-2025,RET0000041,The Ultimate Trail Mix - 70 Gms,RTE - SNACKS,RETAIL,-,5,PCS,0,69.11,-,345.55,0,12,41.47,-,-,-,-,41.47,0,387.02,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Vita Nova Spark Private Limited (Hr),30-11-2025,SE-244,INV-000157,-,-,CIGKII-PO-266,27-11-2025,RET0000043,Chocolate Almond - 40 Gms,RTE - SNACKS,RETAIL,-,8,PCS,0,50.34,-,402.72,0,18,72.49,-,-,-,-,72.49,0,475.21,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Vita Nova Spark Private Limited (Hr),30-11-2025,SE-244,INV-000157,-,-,CIGKII-PO-266,27-11-2025,RET0000044,Chocolate Cashew - 40 Gms,RTE - SNACKS,RETAIL,-,15,PCS,0,50.34,-,755.1,0,18,135.92,-,-,-,-,135.92,0,891.02,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Vita Nova Spark Private Limited (Hr),30-11-2025,SE-244,INV-000157,-,-,CIGKII-PO-266,27-11-2025,RET0000047,Masala Almond - 40 Gms,RTE - SNACKS,RETAIL,-,11,PCS,0,53.04,-,583.44,0,12,70.01,-,-,-,-,70.01,0,653.45,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Vita Nova Spark Private Limited (Hr),30-11-2025,SE-244,INV-000157,-,-,CIGKII-PO-266,27-11-2025,RET0000048,Masala Cashew - 40 Gms,RTE - SNACKS,RETAIL,-,16,PCS,0,53.04,-,848.64,0,12,101.84,-,-,-,-,101.84,0,950.48,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000095,Smoked Cottage Cheese Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,10,PCS..,0,97.87,-,978.7,0,18,176.17,-,-,-,-,176.17,0,1154.87,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000084,Butter Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,19,PCS..,0,20.2,-,383.8,0,18,69.08,-,-,-,-,69.08,0,452.88,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000087,Peri Peri Cheese Chilli Toastie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,11,PCS..,0,65.2,-,717.2,0,18,129.1,-,-,-,-,129.1,0,846.3,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000092,Sriracha Chicken & Avocado Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PCS..,0,113.8,-,682.8,0,18,122.9,-,-,-,-,122.9,0,805.7,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000093,Korean Chilli Garlic Mushroom Puff Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,42.02,-,210.1,0,18,37.82,-,-,-,-,37.82,0,247.92,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000107,Parsley Chopped,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1,PKT (50GM),0,19.5,-,19.5,0,18,3.51,-,-,-,-,3.51,0,23.01,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000091,Oven Roasted Tomato Basil & Bocconcini Cheese Pide Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PCS..,0,23.93,-,143.58,0,18,25.84,-,-,-,-,25.84,0,169.42,,
