Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Closing Amt ,Latest Physical ,Physical Qty,Physical Amt,Variance Qty,Variance Amt,Variance Percent,PhysicalGain/Loss Qty ,Amt ,Actual Consumption ,Amt ,Ideal Closing Qty ,Amt ,Physical Adjusted Closing Qty ,Amt
Coffee Island AIPL,Coffee Island AIPL Main Store,CAP0000041,Bose Iza 190Hz Mixer Amplifier,MUSIC SYSTEM,CAPEX,0,01-05-2025,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-05-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Kitchen Store,CAP0000041,Bose Iza 190Hz Mixer Amplifier,MUSIC SYSTEM,CAPEX,0,01-05-2025,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-05-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Kitchen Store,PKG0000023,Disposable - Stirrer,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,DISPOSABLE TAKE AWAY PACKAGING,0,01-05-2025,0,PCS,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,31-05-2025,-3,0,-,NA,NA,NA,NA,NA,0,0,3,0,-3,0,-3,0,
Coffee Island AIPL,Coffee Island AIPL Kitchen Store,RAW0000056,Sugar Sachets (White),RM BEVERAGES - VEG INGREDIENTS,RAW MATERIAL,0,01-05-2025,0,PCS,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,31-05-2025,-12,0,-,NA,NA,NA,NA,NA,0,0,12,0,-12,0,-12,0,
Coffee Island AIPL,Coffee Island AIPL Kitchen Store,PKG0000032,Disposable - Tissue Paper,DISPOSABLE PACKAGING - TISSUE PAPER,DISPOSABLE TAKE AWAY PACKAGING,0,01-05-2025,0,PCS,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,31-05-2025,-25,0,-,NA,NA,NA,NA,NA,0,0,25,0,-25,0,-25,0,
Coffee Island AIPL,Coffee Island AIPL Kitchen Store,PKG0000011,Disposable - Sealing Foil,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,DISPOSABLE TAKE AWAY PACKAGING,0,01-05-2025,0,PCS,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,31-05-2025,-9,0,-,NA,NA,NA,NA,NA,0,0,9,0,-9,0,-9,0,
Coffee Island AIPL,Coffee Island AIPL Kitchen Store,PKG0000017,Disposable - Lid (Hot) 12Oz,DISPOSABLE PACKAGING - BEVERAGES - LIDS,DISPOSABLE TAKE AWAY PACKAGING,0,01-05-2025,0,PCS,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,31-05-2025,-1,0,-,NA,NA,NA,NA,NA,0,0,1,0,-1,0,-1,0,
Coffee Island AIPL,Coffee Island AIPL Kitchen Store,PKG0000009,Disposable - Cup Holder,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,DISPOSABLE TAKE AWAY PACKAGING,0,01-05-2025,0,PCS,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,31-05-2025,-11,0,-,NA,NA,NA,NA,NA,0,0,11,0,-11,0,-11,0,
Coffee Island AIPL,Coffee Island AIPL Kitchen Store,PKG0000013,Disposable - Paper Cup 12Oz,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,0,01-05-2025,0,PCS,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,31-05-2025,-5,0,-,NA,NA,NA,NA,NA,0,0,5,0,-5,0,-5,0,
Coffee Island AIPL,Coffee Island AIPL Kitchen Store,PKG0000001,Disposable - Cutlery Sleeve,DISPOSABLE CUTLERY - CUTLERY POUCH,DISPOSABLE TAKE AWAY PACKAGING,0,01-05-2025,0,PCS,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,31-05-2025,-21,0,-,NA,NA,NA,NA,NA,0,0,21,0,-21,0,-21,0,
