Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Closing Amt ,Latest Physical ,Physical Qty,Physical Amt,Variance Qty,Variance Amt,Variance Percent,PhysicalGain/Loss Qty ,Amt ,Actual Consumption ,Amt ,Ideal Closing Qty ,Amt ,Physical Adjusted Closing Qty ,Amt
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000041,Bose Iza 190Hz Mixer Amplifier,MUSIC SYSTEM,CAPEX,0,01-09-2025,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,RAW0000111,Chipotle Mayo,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,0.29,01-09-2025,0,GM,0,1400,409.7,0,0,0,0,0,0,1400,405.53,1400,405.53,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000046,Ss Dustbin Without Lid,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,560,01-09-2025,0,PCS..,0,2,1120,0,0,0,0,0,0,2,1120,2,1120,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000037,Dustbin Blue (70 Ltrs.) (with paddle & flat lid),CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,1528.1,01-09-2025,0,PCS..,0,1,1528.1,0,0,0,0,0,0,1,1528.1,1,1528.1,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000038,Dustbin Green (70 Ltrs.) (with paddle & flat lid),CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,1528.1,01-09-2025,0,PCS,0,1,1528.1,0,0,0,0,0,0,1,1528.1,1,1528.1,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000073,Ss Dustbin with Lid (10 L),CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,548.8,01-09-2025,0,PCS,0,1,548.8,0,0,0,0,0,0,1,548.8,1,548.8,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000064,Power Pads (No Scratch),CLEANING TOOLS - WIPES/SCRUBBERS/PADS,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,80.24,01-09-2025,0,PCS..,0,10,802.4,0,0,0,0,0,0,10,802.4,10,802.4,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000044,Sanitiser Bottle With Pump (500 Ml),CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,44.8,01-09-2025,0,PCS..,0,3,134.4,0,0,0,0,0,0,3,134.4,3,134.4,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000043,Plastic Dustbin With Paddle Green,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,289.1,01-09-2025,0,PCS..,0,1,289.1,0,0,0,0,0,0,1,289.1,1,289.1,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000063,Microfiber Duster (Green Red Blue Yellow),CLEANING TOOLS - WIPES/SCRUBBERS/PADS,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,39.9,01-09-2025,0,PCS..,0,5,199.5,0,0,0,0,0,0,5,199.5,5,199.5,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000035,Broom And Dust Pan,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,501.5,01-09-2025,0,PCS,0,1,501.5,0,0,0,0,0,0,1,501.5,1,501.5,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store, - ,Disposable Skull Cap Blue,CLEANING CONSUMABLES - GARBAGE BAGS/GLUE PADS/GLOVES/CAPS,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,1.05,01-09-2025,0,PCS,0,1000,1050,0,0,0,0,0,0,1000,1050,1000,1050,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000039,Handwash Refillable Dispenser - Mini 600Ml,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,415.36,01-09-2025,0,PCS..,0,1,415.36,0,0,0,0,0,0,1,415.36,1,415.36,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000040,HRT Dispenser (Autocut : non-electronic) (ABS Plastic Body),CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,3776,01-09-2025,0,PCS..,0,1,3776,0,0,0,0,0,0,1,3776,1,3776,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000025,Biodegradable Garbage Bag Green (Small),CLEANING CONSUMABLES - GARBAGE BAGS/GLUE PADS,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,129.8,01-09-2025,0,PCS,0,10,1298,0,0,0,0,0,0,10,1298,10,1298,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,KIA0000006,Disposable Nitrile Gloves Blue,COOKING ACCESSORIES,KITCHEN ACCESSORIES,3.36,01-09-2025,0,PCS,0,1000,3360,0,0,0,0,0,0,1000,3360,1000,3360,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000023,Biodegradable Garbage Bag Blue (Small),CLEANING CONSUMABLES - GARBAGE BAGS/GLUE PADS,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,129.8,01-09-2025,0,PCS,0,10,1298,0,0,0,0,0,0,10,1298,10,1298,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000024,Biodegradable Garbage Bag Green (Big),CLEANING CONSUMABLES - GARBAGE BAGS/GLUE PADS,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,129.8,01-09-2025,0,PCS,0,20,2596,0,0,0,0,0,0,20,2596,20,2596,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000022,Biodegradable Garbage Bag Blue (Big),CLEANING CONSUMABLES - GARBAGE BAGS/GLUE PADS,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,129.8,01-09-2025,0,PCS,0,20,2596,0,0,0,0,0,0,20,2596,20,2596,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000070,Cafetto Organic Espresso Machine Cleaner - Evo Powder 500g,CLEANING CHEMICALS - POWDERS,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,4.15,01-09-2025,0,GM,0,500,2075.62,0,0,0,0,0,0,500,2075.62,500,2075.62,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,SAN0000071,Cafetto Grinder Cleaner,CLEANING CHEMICALS - POWDERS,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,6.56,01-09-2025,0,GM,0,450,2950,0,0,0,0,0,0,450,2950,450,2950,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000452,Pet Container SP2 500 ML,SMALLWARE,CAPEX,118,01-09-2025,0,PCS,0,10,1180,0,0,0,0,0,0,10,1180,10,1180,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000453,Pet Container SP2 1100 ML,SMALLWARE,CAPEX,147.5,01-09-2025,0,PCS,0,5,737.5,0,0,0,0,0,0,5,737.5,5,737.5,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000459,Bar Caddy,SMALLWARE,CAPEX,236,01-09-2025,0,PCS..,0,1,236,0,0,0,0,0,0,1,236,1,236,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000295,Knife Magnetic Holder,SMALLWARE,CAPEX,295,01-09-2025,0,PCS..,0,1,295,0,0,0,0,0,0,1,295,1,295,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000460,Milk Creamer,SMALLWARE,CAPEX,161.28,01-09-2025,0,PCS..,0,6,967.68,0,0,0,0,0,0,6,967.68,6,967.68,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000294,GN Pans (1/9) X 100 MM,SMALLWARE,CAPEX,207.2,01-09-2025,0,PCS..,0,2,414.4,0,0,0,0,0,0,2,414.4,2,414.4,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000293,GN Pans (1/6) 100 MM,SMALLWARE,CAPEX,235.2,01-09-2025,0,PCS..,0,2,470.4,0,0,0,0,0,0,2,470.4,2,470.4,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000292,GN Pans (1/3),SMALLWARE,CAPEX,408.8,01-09-2025,0,PCS..,0,2,817.6,0,0,0,0,0,0,2,817.6,2,817.6,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000291,Ice Cream GN Pans (LID),SMALLWARE,CAPEX,302.4,01-09-2025,0,PCS..,0,2,604.8,0,0,0,0,0,0,2,604.8,2,604.8,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000290,Ice Cream GN Pans,SMALLWARE,CAPEX,1114.4,01-09-2025,0,PCS..,0,2,2228.8,0,0,0,0,0,0,2,2228.8,2,2228.8,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000288,Stainless Steel Ice Scoop 4.5,SMALLWARE,CAPEX,448,01-09-2025,0,PCS..,0,1,448,0,0,0,0,0,0,1,448,1,448,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000109,Measuring Spoon - 5 Pcs,SMALLWARE,CAPEX,70.8,01-09-2025,0,PCS..,0,2,141.6,0,0,0,0,0,0,2,141.6,2,141.6,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000287,Pasta Strainer Wooden Handle,SMALLWARE,CAPEX,392,01-09-2025,0,PCS..,0,1,392,0,0,0,0,0,0,1,392,1,392,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000284,Non Skid MAT 12*16,SMALLWARE,CAPEX,324.5,01-09-2025,0,PCS..,0,3,973.5,0,0,0,0,0,0,3,973.5,3,973.5,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000285,Boba Stainer,SMALLWARE,CAPEX,78.4,01-09-2025,0,PCS,0,1,78.4,0,0,0,0,0,0,1,78.4,1,78.4,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000133,Boston Shaker,SMALLWARE,CAPEX,336,01-09-2025,0,PCS,0,1,336,0,0,0,0,0,0,1,336,1,336,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000283,GLASS TMZ 300 ML,SMALLWARE,CAPEX,87.32,01-09-2025,0,PCS..,0,12,1047.84,0,0,0,0,0,0,12,1047.84,12,1047.84,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000281,Measuring JUG 250 ML,SMALLWARE,CAPEX,29.5,01-09-2025,0,PCS..,0,1,29.5,0,0,0,0,0,0,1,29.5,1,29.5,0,0,0,0,0,0,30-09-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
