Warehouse,Category Name,Item Name,UOM,Opening Stock,Opening Date
Warehouse NCR,BOH BEVERAGE EQUIPMENT,Soda Maker M/C Black With 500ml Pet Bottle,PCS,4,01-05-2025
Warehouse NCR,BOH DEAD FABRICATION EQUIPMENT,SS TABLE TOP DEEP FAT FRYER 6L,PCS,4,01-05-2025
Warehouse NCR,BOH OTHER EQUIPMENT,GM CO2 Cylinder Cartridge,PCS,4,01-05-2025
Warehouse NCR,BOTTLED WATER,GM Sprite Can 300ML,CASE(24PC) NEW,,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - LIQUID,Degreaser,PCS,6.5,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - LIQUID,Kay AMH Handwash Plus,PCS,5.5,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - LIQUID,KAY Delimer,PCS,48,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - LIQUID,Kay QSR Heavy Duty Multipurpose Sink Detergent,PCS,363,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - POWDERS,Ecolab Quik Care N70 E,PCS,126,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - POWDERS,Kay 5 Sanitiser/ Cleaner,PCS,206,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - POWDERS,Kay Bio Shield Drain Treatment,PCS,6,01-05-2025
Warehouse NCR,CROCKERY,Cup And Saucer Set - 04Oz,UNITS(6PCS),166,01-05-2025
Warehouse NCR,CROCKERY,Cup And Saucer Set - 08Oz,UNITS(6PCS),280,01-05-2025
Warehouse NCR,CROCKERY,Cup And Saucer Set - 08Oz,UNITS(6PCS),196,01-05-2025
Warehouse NCR,CROCKERY,Cup And Saucer Set - 12Oz,UNITS(6PCS),459,01-05-2025
Warehouse NCR,CROCKERY,Dinner Plate,UNITS(6PCS),308,01-05-2025
Warehouse NCR,CROCKERY,Dip Bowl,UNITS(6PCS),77,01-05-2025
Warehouse NCR,CROCKERY,Dip Bowl,UNITS(6PCS),56,01-05-2025
Warehouse NCR,CROCKERY,Pasta Bowl,UNITS(6PCS),369,01-05-2025
Warehouse NCR,CROCKERY,Salad Plate,UNITS(6PCS),317,01-05-2025
Warehouse NCR,CUTLERY,Demitasse Spoon,UNITS(6PCS),239,01-05-2025
Warehouse NCR,CUTLERY,Dinner Fork,UNITS(6PCS),358,01-05-2025
Warehouse NCR,CUTLERY,Dinner Fork,UNITS(6PCS),244,01-05-2025
Warehouse NCR,CUTLERY,Dinner Knife,UNITS(6PCS),233,01-05-2025
Warehouse NCR,CUTLERY,Dinner Knife,UNITS(6PCS),143,01-05-2025
Warehouse NCR,CUTLERY,Dinner Spoon,UNITS(6PCS),355,01-05-2025
Warehouse NCR,CUTLERY,Dinner Spoon,UNITS(6PCS),241,01-05-2025
Warehouse NCR,CUTLERY,Tea Spoon,UNITS(6PCS),440,01-05-2025
Warehouse NCR,DISPOSABLE CUTLERY - CUTLERY POUCH,Disposable - Cutlery Sleeve,PKT(100PC),6500,01-05-2025
Warehouse NCR,DISPOSABLE CUTLERY - WOODEN SPOON,GM Wooden Chopstick,PCS,3095,01-05-2025
Warehouse NCR,DISPOSABLE CUTLERY - WOODEN SPOON,Wooden Dessert Spoon 110 Mm,PKT(100PC),19600,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,Yellow Carry Bag Large - Ci,PKT(25PC),9600,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,Yellow Carry Bag Medium - Ci,PKT(25PC),11500,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,Yellow Carry Bag Small - Ci,PKT(25PC),10400,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,Disposable - Cup Holder,PKT(25PC),5211,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,Coffee Island Bag Sealing Sticker,PCS,0,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,GM Sealing Sticker 100/40mm,PCS,8224,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,GM V/NV Sticker 10/10mm,PCS,13033,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - Bottles & Cans,100 ML Glass Bottle with Cork for Drip Coffee,PCS,30,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,Disposable - Sealing Foil,BUNCH(500PC),10395,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUPS,Disposable - Paper Cup 08Oz,PKT(25PC),32940,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUPS,Disposable - Paper Cup 12Oz,PKT(25PC),31135,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUPS,Disposable - Paper Cup 16Oz,PKT(25PC),35502,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUPS,GM Plastic Glass 350ml With Pink Lid,PCS,10786,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUPS,Plastic Transparent Bowl,PKT(25PC),3720,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - LIDS,Bagasse Lid 80 Mm,PCS,,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - LIDS,Disposable - Lid (Cold) 12Oz - Dome,PKT(100PC),31010,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - LIDS,Disposable - Lid (Hot) 08Oz,PKT(100PC),5500,01-05-2025
